symbol,status,rows,path,error
1301.T,skipped_exists,,data\prices\1301_T.csv,
1305.T,ok,4463.0,data\prices\1305_T.csv,
1306.T,ok,4463.0,data\prices\1306_T.csv,
1308.T,ok,4463.0,data\prices\1308_T.csv,
1309.T,ok,4218.0,data\prices\1309_T.csv,
130A.T,ok,508.0,data\prices\130A_T.csv,
1311.T,ok,4464.0,data\prices\1311_T.csv,
1319.T,ok,4465.0,data\prices\1319_T.csv,
131A.T,ok,506.0,data\prices\131A_T.csv,
1320.T,ok,4218.0,data\prices\1320_T.csv,
1321.T,ok,4218.0,data\prices\1321_T.csv,
1322.T,ok,4401.0,data\prices\1322_T.csv,
1325.T,ok,4332.0,data\prices\1325_T.csv,
1326.T,ok,4453.0,data\prices\1326_T.csv,
1328.T,ok,4218.0,data\prices\1328_T.csv,
1329.T,ok,4216.0,data\prices\1329_T.csv,
132A.T,ok,514.0,data\prices\132A_T.csv,
1330.T,skipped_exists,,data\prices\1330_T.csv,
1332.T,ok,6535.0,data\prices\1332_T.csv,
1333.T,skipped_exists,,data\prices\1333_T.csv,
133A.T,ok,515.0,data\prices\133A_T.csv,
1343.T,ok,4289.0,data\prices\1343_T.csv,
1345.T,ok,4268.0,data\prices\1345_T.csv,
1346.T,ok,4185.0,data\prices\1346_T.csv,
1348.T,ok,4133.0,data\prices\1348_T.csv,
1349.T,ok,4442.0,data\prices\1349_T.csv,
134A.T,ok,500.0,data\prices\134A_T.csv,
1356.T,ok,2900.0,data\prices\1356_T.csv,
1357.T,ok,2867.0,data\prices\1357_T.csv,
1358.T,ok,2838.0,data\prices\1358_T.csv,
135A.T,skipped_exists,,data\prices\135A_T.csv,
1360.T,ok,2787.0,data\prices\1360_T.csv,
1364.T,ok,2773.0,data\prices\1364_T.csv,
1365.T,ok,2752.0,data\prices\1365_T.csv,
1366.T,ok,2752.0,data\prices\1366_T.csv,
1367.T,ok,2752.0,data\prices\1367_T.csv,
1368.T,ok,2752.0,data\prices\1368_T.csv,
1369.T,ok,2746.0,data\prices\1369_T.csv,
136A.T,ok,497.0,data\prices\136A_T.csv,
1375.T,ok,1337.0,data\prices\1375_T.csv,
1376.T,skipped_exists,,data\prices\1376_T.csv,
1377.T,ok,6276.0,data\prices\1377_T.csv,
1379.T,skipped_exists,,data\prices\1379_T.csv,
137A.T,ok,496.0,data\prices\137A_T.csv,
1380.T,ok,6535.0,data\prices\1380_T.csv,
1381.T,ok,6290.0,data\prices\1381_T.csv,
1382.T,ok,5081.0,data\prices\1382_T.csv,
1383.T,ok,3513.0,data\prices\1383_T.csv,
1384.T,ok,2721.0,data\prices\1384_T.csv,
138A.T,ok,495.0,data\prices\138A_T.csv,
1397.T,ok,2698.0,data\prices\1397_T.csv,
1398.T,ok,2698.0,data\prices\1398_T.csv,
1399.T,ok,2530.0,data\prices\1399_T.csv,
139A.T,ok,496.0,data\prices\139A_T.csv,
1401.T,ok,2602.0,data\prices\1401_T.csv,
1407.T,ok,5368.0,data\prices\1407_T.csv,
140A.T,ok,474.0,data\prices\140A_T.csv,
1414.T,ok,6276.0,data\prices\1414_T.csv,
1417.T,skipped_exists,,data\prices\1417_T.csv,
1418.T,ok,6535.0,data\prices\1418_T.csv,
1419.T,ok,3187.0,data\prices\1419_T.csv,
141A.T,ok,481.0,data\prices\141A_T.csv,
1420.T,ok,3178.0,data\prices\1420_T.csv,
