horizon,threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate
20,0.6,0.0,0.07,0.2,3562459.0,562459.0,150,20,0.13333333333333333
20,0.6,-0.02,0.07,0.2,3551496.580000001,551496.580000001,150,21,0.14
20,0.6,-0.01,0.07,0.2,3536469.980000002,536469.9800000018,150,20,0.13333333333333333
20,0.6,0.0,0.07,0.16,3489604.0,489604.0,150,21,0.14
20,0.6,-0.01,0.07,0.16,3458920.1600000015,458920.16000000155,150,21,0.14
20,0.62,0.0,0.07,0.16,3377881.0,377881.0,105,12,0.11428571428571428
20,0.62,0.0,0.07,0.2,3377881.0,377881.0,105,12,0.11428571428571428
20,0.62,-0.02,0.07,0.2,3376961.2400000007,376961.2400000007,105,13,0.12380952380952381
20,0.6,-0.02,0.07,0.16,3371332.840000001,371332.8400000008,150,23,0.15333333333333332
20,0.62,-0.01,0.07,0.16,3355111.1500000004,355111.1500000004,105,12,0.11428571428571428
20,0.62,-0.01,0.07,0.2,3355111.1500000004,355111.1500000004,105,12,0.11428571428571428
20,0.58,0.0,0.07,0.16,3338446.0,338446.0,220,50,0.22727272727272727
20,0.58,-0.02,0.07,0.2,3325106.66,325106.66000000015,220,54,0.24545454545454545
20,0.62,-0.02,0.07,0.16,3282060.4400000004,282060.4400000004,105,14,0.13333333333333333
20,0.58,-0.01,0.07,0.2,3273232.130000002,273232.1300000022,220,51,0.2318181818181818
20,0.58,0.0,0.07,0.2,3264578.0,264578.0,220,48,0.21818181818181817
20,0.58,-0.01,0.07,0.16,3261589.860000001,261589.8600000008,220,53,0.2409090909090909
20,0.58,-0.02,0.07,0.16,3233154.7199999997,233154.71999999974,220,56,0.2545454545454545
20,0.58,0.0,0.05,0.16,3160770.9955444336,160770.9955444336,1944,169,0.08693415637860083
20,0.58,0.0,0.05,0.2,2910537.000427246,-89462.9995727539,1944,156,0.08024691358024691
20,0.62,0.0,0.05,0.2,2823780.0,-176220.0,657,118,0.1796042617960426
20,0.6,0.0,0.05,0.16,2771927.0,-228073.0,1097,157,0.1431175934366454
20,0.58,-0.01,0.05,0.2,2771498.9704315206,-228501.0295684794,1944,158,0.08127572016460906
20,0.62,-0.01,0.05,0.2,2762231.5451171882,-237768.45488281175,657,121,0.1841704718417047
20,0.6,-0.01,0.05,0.16,2680409.550000002,-319590.44999999786,1097,152,0.13855970829535097
20,0.62,0.0,0.05,0.16,2675945.0,-324055.0,657,114,0.1735159817351598
20,0.6,0.0,0.05,0.2,2652240.0,-347760.0,1097,153,0.13947128532360983
20,0.6,-0.01,0.05,0.2,2607600.200000003,-392399.799999997,1097,154,0.14038286235186873
20,0.62,-0.01,0.05,0.16,2605638.9851171887,-394361.01488281135,657,123,0.1872146118721461
20,0.6,-0.02,0.05,0.2,2594778.295117189,-405221.7048828108,1097,139,0.1267092069279854
20,0.58,-0.01,0.05,0.16,2573700.0154315196,-426299.9845684804,1944,161,0.08281893004115226
20,0.58,-0.02,0.05,0.2,2534102.1404357934,-465897.85956420656,1944,149,0.07664609053497942
20,0.62,-0.02,0.05,0.2,2515034.6951171886,-484965.3048828114,657,118,0.1796042617960426
20,0.62,-0.02,0.05,0.16,2404597.5751171885,-595402.4248828115,657,118,0.1796042617960426
20,0.6,-0.02,0.05,0.16,2159638.120000002,-840361.879999998,1097,139,0.1267092069279854
20,0.58,-0.02,0.05,0.16,2063587.0104357926,-936412.9895642074,1944,142,0.07304526748971193
