horizon,threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate
30,0.7,-0.01,0.05,0.2,3657044.562500001,657044.5625000009,471,95,0.20169851380042464
20,0.6,0.0,0.07,0.2,3562459.0,562459.0,150,20,0.13333333333333333
20,0.6,-0.02,0.07,0.2,3551496.580000001,551496.580000001,150,21,0.14
20,0.6,-0.01,0.07,0.2,3536469.980000002,536469.9800000018,150,20,0.13333333333333333
20,0.6,-0.03,0.07,0.2,3507603.35,507603.3500000001,150,22,0.14666666666666667
20,0.6,0.0,0.07,0.16,3489604.0,489604.0,150,21,0.14
20,0.6,-0.01,0.07,0.16,3458920.1600000015,458920.16000000155,150,21,0.14
15,0.55,0.0,0.07,0.2,3451557.0,451557.0,135,15,0.1111111111111111
15,0.55,-0.02,0.07,0.2,3443856.5400000005,443856.5400000005,135,16,0.11851851851851852
15,0.55,-0.03,0.07,0.2,3434124.9500000007,434124.95000000065,135,17,0.1259259259259259
30,0.6,0.0,0.07,0.2,3431116.0,431116.0,678,106,0.15634218289085547
15,0.55,-0.01,0.07,0.2,3422580.210000001,422580.2100000009,135,15,0.1111111111111111
20,0.6,0.0,0.07,0.12,3409144.0,409144.0,150,25,0.16666666666666666
20,0.6,0.0,0.07,0.08,3407636.5,407636.5,150,26,0.17333333333333334
20,0.6,-0.02,0.07,0.16,3371332.840000001,371332.8400000008,150,23,0.15333333333333332
20,0.55,0.0,0.05,0.2,3366624.4955444336,366624.4955444336,4780,195,0.04079497907949791
20,0.6,-0.01,0.07,0.12,3327528.4100000015,327528.41000000155,150,26,0.17333333333333334
20,0.6,-0.03,0.07,0.08,3324751.230000001,324751.2300000009,150,31,0.20666666666666667
20,0.6,-0.03,0.07,0.16,3319755.555,319755.55500000017,150,24,0.16
15,0.55,0.0,0.07,0.16,3318317.0,318317.0,135,16,0.11851851851851852
30,0.6,0.0,0.07,0.16,3316253.0,316253.0,678,106,0.15634218289085547
30,0.65,0.0,0.07,0.08,3304459.0,304459.0,221,52,0.23529411764705882
30,0.65,0.0,0.07,0.12,3304351.0,304351.0,221,50,0.22624434389140272
20,0.6,-0.02,0.07,0.12,3300380.580000001,300380.580000001,150,26,0.17333333333333334
20,0.55,0.0,0.05,0.08,3299758.0004272466,299758.00042724656,4780,226,0.047280334728033474
30,0.65,0.0,0.07,0.2,3299261.0,299261.0,221,47,0.21266968325791855
30,0.65,0.0,0.07,0.16,3299130.000000001,299130.00000000093,221,47,0.21266968325791855
30,0.65,-0.01,0.07,0.08,3294164.4350000024,294164.4350000024,221,60,0.27149321266968324
20,0.6,-0.02,0.07,0.08,3293875.7700000005,293875.7700000005,150,31,0.20666666666666667
20,0.55,0.0,0.05,0.12,3287749.500427246,287749.5004272461,4780,209,0.04372384937238494
30,0.65,-0.02,0.07,0.08,3285321.8100000015,285321.81000000145,221,65,0.29411764705882354
15,0.55,-0.01,0.07,0.16,3284699.0500000007,284699.05000000075,135,16,0.11851851851851852
15,0.6,-0.01,0.05,0.2,3267972.5500000007,267972.55000000075,315,85,0.2698412698412698
15,0.6,0.0,0.05,0.12,3261752.0,261752.0,315,84,0.26666666666666666
10,0.55,0.0,0.05,0.2,3260925.0,260925.0,201,42,0.208955223880597
30,0.65,-0.01,0.07,0.16,3257543.1500000013,257543.1500000013,221,51,0.23076923076923078
30,0.6,-0.01,0.07,0.2,3255328.460000002,255328.46000000183,678,109,0.1607669616519174
30,0.7,0.0,0.05,0.2,3255155.0,255155.0,471,82,0.1740976645435244
30,0.65,-0.02,0.07,0.2,3249764.240000001,249764.24000000115,221,52,0.23529411764705882
15,0.65,-0.03,0.05,0.2,3240103.175,240103.1749999998,104,13,0.125
15,0.55,-0.03,0.07,0.08,3239275.27,239275.27000000002,135,23,0.17037037037037037
20,0.6,-0.03,0.07,0.12,3234532.4450000008,234532.44500000076,150,28,0.18666666666666668
