horizon,threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate
30,0.58,0.0,0.07,0.2,3761643.0,761643.0,1167,127,0.10882604970008569
20,0.6,0.0,0.07,0.2,3562459.0,562459.0,150,20,0.13333333333333333
30,0.62,-0.01,0.07,0.2,3552080.4199999995,552080.4199999995,418,81,0.1937799043062201
20,0.6,-0.02,0.07,0.2,3551496.580000001,551496.580000001,150,21,0.14
20,0.6,-0.01,0.07,0.2,3536469.980000002,536469.9800000018,150,20,0.13333333333333333
20,0.6,0.0,0.07,0.16,3489604.0,489604.0,150,21,0.14
20,0.6,-0.01,0.07,0.16,3458920.1600000015,458920.16000000155,150,21,0.14
30,0.62,0.0,0.07,0.2,3453978.0000000005,453978.00000000047,418,82,0.19617224880382775
30,0.6,0.0,0.07,0.2,3431116.0,431116.0,678,106,0.15634218289085547
20,0.62,0.0,0.07,0.16,3377881.0,377881.0,105,12,0.11428571428571428
20,0.62,0.0,0.07,0.2,3377881.0,377881.0,105,12,0.11428571428571428
20,0.62,-0.02,0.07,0.2,3376961.2400000007,376961.2400000007,105,13,0.12380952380952381
30,0.58,0.0,0.07,0.16,3374457.0,374457.0,1167,121,0.1036846615252785
20,0.6,-0.02,0.07,0.16,3371332.840000001,371332.8400000008,150,23,0.15333333333333332
20,0.62,-0.01,0.07,0.16,3355111.1500000004,355111.1500000004,105,12,0.11428571428571428
20,0.62,-0.01,0.07,0.2,3355111.1500000004,355111.1500000004,105,12,0.11428571428571428
20,0.58,0.0,0.07,0.16,3338446.0,338446.0,220,50,0.22727272727272727
20,0.58,-0.02,0.07,0.2,3325106.66,325106.66000000015,220,54,0.24545454545454545
30,0.6,0.0,0.07,0.16,3316253.0,316253.0,678,106,0.15634218289085547
30,0.62,0.0,0.07,0.16,3304668.0000000005,304668.00000000047,418,84,0.20095693779904306
20,0.62,-0.02,0.07,0.16,3282060.4400000004,282060.4400000004,105,14,0.13333333333333333
20,0.58,-0.01,0.07,0.2,3273232.130000002,273232.1300000022,220,51,0.2318181818181818
15,0.6,-0.01,0.05,0.2,3267972.5500000007,267972.55000000075,315,85,0.2698412698412698
20,0.58,0.0,0.07,0.2,3264578.0,264578.0,220,48,0.21818181818181817
20,0.58,-0.01,0.07,0.16,3261589.860000001,261589.8600000008,220,53,0.2409090909090909
30,0.6,-0.01,0.07,0.2,3255328.460000002,255328.46000000183,678,109,0.1607669616519174
15,0.58,-0.02,0.07,0.2,3248127.9600000004,248127.96000000043,99,8,0.08080808080808081
10,0.58,0.0,0.05,0.2,3246800.0,246800.0,120,12,0.1
20,0.58,-0.02,0.07,0.16,3233154.7199999997,233154.71999999974,220,56,0.2545454545454545
10,0.58,-0.01,0.05,0.2,3229128.4999999995,229128.49999999953,120,12,0.1
10,0.58,-0.02,0.05,0.2,3222569.8,222569.7999999998,120,14,0.11666666666666667
15,0.58,0.0,0.05,0.16,3220690.0,220690.0,472,105,0.22245762711864406
15,0.58,-0.01,0.07,0.16,3219449.0050000004,219449.00500000035,99,7,0.0707070707070707
15,0.58,-0.01,0.07,0.2,3219449.0050000004,219449.00500000035,99,7,0.0707070707070707
30,0.62,-0.01,0.07,0.16,3195452.0800000005,195452.08000000054,418,82,0.19617224880382775
15,0.6,0.0,0.05,0.16,3187071.0,187071.0,315,80,0.25396825396825395
15,0.58,0.0,0.07,0.16,3187001.5,187001.5,99,6,0.06060606060606061
15,0.58,0.0,0.07,0.2,3187001.5,187001.5,99,6,0.06060606060606061
15,0.6,-0.01,0.05,0.16,3173865.7,173865.7000000002,315,85,0.2698412698412698
15,0.62,0.0,0.05,0.16,3170855.0,170855.0,192,37,0.19270833333333334
30,0.62,-0.01,0.05,0.16,3170288.722931519,170288.72293151915,5996,165,0.027518345563709138
20,0.58,0.0,0.05,0.16,3160770.9955444336,160770.9955444336,1944,169,0.08693415637860083
15,0.62,0.0,0.05,0.2,3159465.0,159465.0,192,36,0.1875
15,0.6,0.0,0.05,0.2,3157955.0,157955.0,315,78,0.24761904761904763
15,0.58,-0.02,0.07,0.16,3152659.5300000003,152659.53000000026,99,9,0.09090909090909091
10,0.6,-0.02,0.05,0.2,3144084.1500000004,144084.15000000037,92,7,0.07608695652173914
15,0.6,-0.02,0.07,0.16,3131061.2700000005,131061.27000000048,79,4,0.05063291139240506
15,0.6,-0.02,0.07,0.2,3131061.2700000005,131061.27000000048,79,4,0.05063291139240506
10,0.58,0.0,0.05,0.16,3114902.5,114902.5,120,13,0.10833333333333334
30,0.6,-0.02,0.07,0.2,3103238.860000002,103238.8600000022,678,101,0.14896755162241887
15,0.58,-0.01,0.05,0.2,3102666.6500000022,102666.65000000224,472,107,0.2266949152542373
10,0.6,-0.01,0.05,0.16,3100298.075,100298.07500000019,92,5,0.05434782608695652
10,0.6,-0.01,0.05,0.2,3100298.075,100298.07500000019,92,5,0.05434782608695652
10,0.62,-0.02,0.05,0.2,3099536.7,99536.70000000019,76,4,0.05263157894736842
15,0.62,-0.02,0.07,0.16,3097499.7,97499.70000000019,68,3,0.04411764705882353
15,0.62,-0.02,0.07,0.2,3097499.7,97499.70000000019,68,3,0.04411764705882353
10,0.58,-0.01,0.05,0.16,3096475.1,96475.1000000001,120,13,0.10833333333333334
15,0.62,-0.01,0.05,0.16,3079850.65,79850.6499999999,192,43,0.22395833333333334
10,0.6,0.0,0.05,0.16,3079397.5,79397.5,92,4,0.043478260869565216
10,0.6,0.0,0.05,0.2,3079397.5,79397.5,92,4,0.043478260869565216
30,0.62,-0.02,0.07,0.2,3078597.9400000023,78597.94000000227,418,78,0.18660287081339713
15,0.58,-0.01,0.05,0.16,3074333.1000000006,74333.10000000056,472,106,0.2245762711864407
15,0.62,-0.01,0.05,0.2,3069109.3000000003,69109.30000000028,192,42,0.21875
15,0.6,-0.01,0.07,0.16,3067253.375,67253.375,79,2,0.02531645569620253
15,0.6,-0.01,0.07,0.2,3067253.375,67253.375,79,2,0.02531645569620253
10,0.58,-0.02,0.07,0.16,3066899.7,66899.70000000019,65,3,0.046153846153846156
10,0.58,-0.02,0.07,0.2,3066899.7,66899.70000000019,65,3,0.046153846153846156
10,0.6,-0.02,0.07,0.16,3066899.7,66899.70000000019,51,3,0.058823529411764705
10,0.6,-0.02,0.07,0.2,3066899.7,66899.70000000019,51,3,0.058823529411764705
10,0.62,-0.02,0.07,0.16,3065723.7,65723.70000000019,36,2,0.05555555555555555
10,0.62,-0.02,0.07,0.2,3065723.7,65723.70000000019,36,2,0.05555555555555555
15,0.62,-0.02,0.05,0.2,3061542.2000000007,61542.20000000065,192,45,0.234375
10,0.62,-0.01,0.05,0.16,3052075.6,52075.60000000009,76,2,0.02631578947368421
10,0.62,-0.01,0.05,0.2,3052075.6,52075.60000000009,76,2,0.02631578947368421
15,0.62,-0.01,0.07,0.16,3034020.84,34020.83999999985,68,1,0.014705882352941176
15,0.62,-0.01,0.07,0.2,3034020.84,34020.83999999985,68,1,0.014705882352941176
15,0.6,0.0,0.07,0.16,3032903.5,32903.5,79,1,0.012658227848101266
15,0.6,0.0,0.07,0.2,3032903.5,32903.5,79,1,0.012658227848101266
10,0.62,0.0,0.05,0.16,3027500.0,27500.0,76,1,0.013157894736842105
10,0.62,0.0,0.05,0.2,3027500.0,27500.0,76,1,0.013157894736842105
10,0.6,-0.02,0.05,0.16,3026274.1500000004,26274.150000000373,92,7,0.07608695652173914
10,0.58,-0.02,0.05,0.16,3017333.05,17333.049999999814,120,17,0.14166666666666666
10,0.58,-0.01,0.07,0.16,3005988.0,5988.0,65,1,0.015384615384615385
10,0.58,-0.01,0.07,0.2,3005988.0,5988.0,65,1,0.015384615384615385
10,0.6,-0.01,0.07,0.16,3005988.0,5988.0,51,1,0.0196078431372549
10,0.6,-0.01,0.07,0.2,3005988.0,5988.0,51,1,0.0196078431372549
30,0.58,-0.02,0.07,0.2,3004703.760000002,4703.760000002105,1167,116,0.09940017137960583
15,0.62,-0.02,0.05,0.16,3001362.08,1362.0800000000745,192,48,0.25
10,0.58,0.0,0.07,0.16,3000000.0,0.0,65,0,0.0
10,0.58,0.0,0.07,0.2,3000000.0,0.0,65,0,0.0
10,0.6,0.0,0.07,0.16,3000000.0,0.0,51,0,0.0
10,0.6,0.0,0.07,0.2,3000000.0,0.0,51,0,0.0
10,0.62,-0.01,0.07,0.16,3000000.0,0.0,36,0,0.0
10,0.62,-0.01,0.07,0.2,3000000.0,0.0,36,0,0.0
10,0.62,0.0,0.07,0.16,3000000.0,0.0,36,0,0.0
10,0.62,0.0,0.07,0.2,3000000.0,0.0,36,0,0.0
15,0.62,0.0,0.07,0.16,3000000.0,0.0,68,0,0.0
15,0.62,0.0,0.07,0.2,3000000.0,0.0,68,0,0.0
30,0.58,-0.01,0.07,0.2,2994037.0100000016,-5962.989999998361,1167,112,0.0959725792630677
10,0.62,-0.02,0.05,0.16,2981726.7,-18273.299999999814,76,4,0.05263157894736842
30,0.58,0.0,0.05,0.2,2974754.500427246,-25245.499572753906,12857,151,0.011744574939721553
30,0.6,-0.01,0.05,0.16,2935558.372931519,-64441.62706848094,9798,153,0.015615431720759338
15,0.58,0.0,0.05,0.2,2933625.0,-66375.0,472,99,0.2097457627118644
30,0.58,-0.01,0.05,0.2,2928700.5704315198,-71299.42956848023,12857,140,0.010889009877887532
30,0.6,-0.01,0.05,0.2,2928700.5704315198,-71299.42956848023,9798,140,0.014288630332720964
30,0.58,-0.01,0.07,0.16,2910865.070000001,-89134.92999999877,1167,115,0.09854327335047129
20,0.58,0.0,0.05,0.2,2910537.000427246,-89462.9995727539,1944,156,0.08024691358024691
30,0.6,0.0,0.05,0.2,2910082.000427246,-89917.9995727539,9798,142,0.014492753623188406
15,0.6,-0.02,0.05,0.2,2903820.800000001,-96179.19999999879,315,83,0.2634920634920635
30,0.6,-0.02,0.07,0.16,2898039.0600000024,-101960.93999999762,678,101,0.14896755162241887
30,0.6,-0.01,0.07,0.16,2890513.8600000003,-109486.13999999966,678,107,0.15781710914454278
30,0.62,0.0,0.05,0.16,2840719.000427246,-159280.9995727539,5996,137,0.02284856571047365
30,0.58,0.0,0.05,0.16,2831155.000427246,-168844.9995727539,12857,142,0.011044567161857354
30,0.62,0.0,0.05,0.2,2827487.000427246,-172512.9995727539,5996,141,0.02351567711807872
20,0.62,0.0,0.05,0.2,2823780.0,-176220.0,657,118,0.1796042617960426
30,0.58,-0.01,0.05,0.16,2812269.4129315196,-187730.58706848044,12857,151,0.011744574939721553
30,0.62,-0.01,0.05,0.2,2782508.67043152,-217491.32956848014,5996,139,0.023182121414276183
30,0.58,-0.02,0.07,0.16,2774637.620000001,-225362.37999999896,1167,111,0.09511568123393316
15,0.6,-0.02,0.05,0.16,2773794.0000000005,-226205.99999999953,315,80,0.25396825396825395
20,0.6,0.0,0.05,0.16,2771927.0,-228073.0,1097,157,0.1431175934366454
20,0.58,-0.01,0.05,0.2,2771498.9704315206,-228501.0295684794,1944,158,0.08127572016460906
30,0.62,-0.02,0.07,0.16,2770824.560000001,-229175.439999999,418,79,0.18899521531100477
20,0.62,-0.01,0.05,0.2,2762231.5451171882,-237768.45488281175,657,121,0.1841704718417047
20,0.6,-0.01,0.05,0.16,2680409.550000002,-319590.44999999786,1097,152,0.13855970829535097
20,0.62,0.0,0.05,0.16,2675945.0,-324055.0,657,114,0.1735159817351598
20,0.6,0.0,0.05,0.2,2652240.0,-347760.0,1097,153,0.13947128532360983
15,0.58,-0.02,0.05,0.16,2644598.2400000016,-355401.7599999984,472,104,0.22033898305084745
20,0.6,-0.01,0.05,0.2,2607600.200000003,-392399.799999997,1097,154,0.14038286235186873
20,0.62,-0.01,0.05,0.16,2605638.9851171887,-394361.01488281135,657,123,0.1872146118721461
30,0.6,0.0,0.05,0.16,2602062.000427246,-397937.9995727539,9798,136,0.01388038375178608
20,0.6,-0.02,0.05,0.2,2594778.295117189,-405221.7048828108,1097,139,0.1267092069279854
30,0.6,-0.02,0.05,0.2,2582899.290435794,-417100.7095642062,9798,134,0.013676260461318637
30,0.62,-0.02,0.05,0.2,2582899.290435794,-417100.7095642062,5996,134,0.022348232154769845
20,0.58,-0.01,0.05,0.16,2573700.0154315196,-426299.9845684804,1944,161,0.08281893004115226
20,0.58,-0.02,0.05,0.2,2534102.1404357934,-465897.85956420656,1944,149,0.07664609053497942
20,0.62,-0.02,0.05,0.2,2515034.6951171886,-484965.3048828114,657,118,0.1796042617960426
30,0.6,-0.02,0.05,0.16,2426105.4904357926,-573894.5095642074,9798,127,0.012961828944682589
15,0.58,-0.02,0.05,0.2,2405908.400000002,-594091.5999999982,472,97,0.2055084745762712
20,0.62,-0.02,0.05,0.16,2404597.5751171885,-595402.4248828115,657,118,0.1796042617960426
30,0.58,-0.02,0.05,0.2,2399260.390435794,-600739.6095642061,12857,136,0.010577895309947889
30,0.58,-0.02,0.05,0.16,2325480.330435793,-674519.6695642071,12857,128,0.0099556661740686
30,0.62,-0.02,0.05,0.16,2313372.960435793,-686627.0395642072,5996,126,0.021014009339559707
20,0.6,-0.02,0.05,0.16,2159638.120000002,-840361.879999998,1097,139,0.1267092069279854
20,0.58,-0.02,0.05,0.16,2063587.0104357926,-936412.9895642074,1944,142,0.07304526748971193
