horizon,threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate,avg_trade_ret,win_rate,max_drawdown
20,0.6,-0.01,0.05,0.1,4218949.925000003,1218949.9250000026,781,179,0.22919334186939821,0.014133523897079258,0.7374301675977654,0.10439478802179157
20,0.55,0.01,0.05,0.15,4203864.150842288,1203864.1508422876,3224,280,0.08684863523573201,0.009120169734873097,0.7392857142857143,0.2474811887281549
20,0.55,0.01,0.05,0.2,4117653.7753021275,1117653.7753021275,3252,245,0.07533825338253383,0.010207506825063094,0.7673469387755102,0.22175351283475217
20,0.55,0.0,0.05,0.1,4005472.000732422,1005472.0007324219,3340,286,0.08562874251497006,0.009115795451386969,0.6923076923076923,0.18429944709829202
20,0.55,-0.01,0.07,0.2,3958616.665000001,958616.665000001,296,61,0.20608108108108109,0.033967683270505984,0.7868852459016393,0.07523848123827874
20,0.55,0.01,0.05,0.1,3949080.3503021263,949080.3503021263,3331,317,0.09516661663164215,0.0066921771599145405,0.6908517350157729,0.22385199904749456
20,0.55,-0.01,0.07,0.15,3937504.045000001,937504.0450000009,299,64,0.2140468227424749,0.031125014890627967,0.765625,0.07041586114949952
20,0.55,0.01,0.07,0.1,3923204.7050000015,923204.7050000015,298,68,0.22818791946308725,0.027528047504405694,0.7352941176470589,0.07332464466284655
20,0.55,0.01,0.07,0.15,3867415.7250000015,867415.7250000015,297,65,0.21885521885521886,0.025104029793078547,0.7538461538461538,0.07647270239519978
20,0.6,0.01,0.05,0.1,3836846.975000002,836846.975000002,743,182,0.2449528936742934,0.008547991877982697,0.7142857142857143,0.18946695606636818
20,0.55,0.0,0.07,0.1,3818701.5,818701.5,299,67,0.22408026755852842,0.026223125191434247,0.7313432835820896,0.05427764405947649
20,0.55,0.01,0.07,0.2,3813116.905000002,813116.9050000021,287,60,0.20905923344947736,0.026902070694886517,0.7666666666666667,0.0968246563028172
20,0.65,0.01,0.05,0.1,3798108.875,798108.875,256,61,0.23828125,0.024071594380816522,0.819672131147541,0.06388187075458593
20,0.55,0.0,0.07,0.2,3773248.5,773248.5,295,60,0.2033898305084746,0.027027644399976767,0.7666666666666667,0.06458692921199453
20,0.65,0.01,0.05,0.2,3769827.875000001,769827.8750000009,251,57,0.22709163346613545,0.02465420716438838,0.8421052631578947,0.07174169576669535
20,0.55,0.0,0.07,0.15,3765583.5,765583.5,297,64,0.21548821548821548,0.02418973153482421,0.75,0.06212820594025959
20,0.6,-0.01,0.05,0.15,3756257.0201171897,756257.0201171897,766,164,0.21409921671018275,0.010787432019632837,0.7621951219512195,0.21860869348620524
20,0.6,0.01,0.05,0.2,3751292.9500000007,751292.9500000007,717,144,0.200836820083682,0.008755036111283957,0.7638888888888888,0.20349911081725944
20,0.6,-0.01,0.05,0.2,3744180.270117189,744180.2701171888,745,151,0.20268456375838925,0.0123620086191352,0.7814569536423841,0.1943533668797271
20,0.65,0.01,0.05,0.15,3734182.2250000006,734182.2250000006,255,59,0.23137254901960785,0.022253008529272075,0.8305084745762712,0.0643942953634575
20,0.55,-0.01,0.05,0.2,3719193.8326263456,719193.8326263456,3334,237,0.07108578284343131,0.0068703564078833506,0.7383966244725738,0.20512050501284068
20,0.55,-0.01,0.07,0.1,3715258.225000002,715258.225000002,305,67,0.21967213114754097,0.02224574337660619,0.7014925373134329,0.06347201540245143
20,0.65,0.0,0.05,0.1,3702417.5,702417.5,256,64,0.25,0.022005711246023393,0.796875,0.07190736447769246
20,0.65,-0.01,0.05,0.15,3692595.0249999994,692595.0249999994,261,60,0.22988505747126436,0.024317005881503373,0.8166666666666667,0.06689377261096928
20,0.55,0.0,0.05,0.2,3672247.010498047,672247.0104980469,3331,230,0.06904833383368358,0.007700667377701948,0.7478260869565218,0.19458621396040174
20,0.65,-0.01,0.05,0.1,3665165.075000001,665165.0750000011,266,64,0.24060150375939848,0.020273190720666058,0.78125,0.06275882022292667
20,0.65,0.0,0.05,0.15,3643902.5,643902.5,255,60,0.23529411764705882,0.02206438314221632,0.8166666666666667,0.09251142141848971
20,0.65,-0.01,0.05,0.2,3631809.7249999996,631809.7249999996,260,59,0.22692307692307692,0.022430837608211355,0.8135593220338984,0.08605592282822751
20,0.55,0.0,0.05,0.15,3628044.4958496094,628044.4958496094,3339,251,0.07517220724767895,0.0051676244491333494,0.7250996015936255,0.20631006268024904
20,0.6,0.0,0.05,0.15,3609805.0006103516,609805.0006103516,733,158,0.2155525238744884,0.008392629162872567,0.7341772151898734,0.15890286625035938
20,0.55,-0.01,0.05,0.15,3601642.7173919696,601642.7173919696,3409,239,0.07010853622763273,0.006807350745532364,0.7322175732217573,0.18879594924805757
20,0.6,0.01,0.05,0.15,3592965.100000002,592965.100000002,731,154,0.2106703146374829,0.005888310080109958,0.7337662337662337,0.24069348210657623
20,0.65,0.0,0.05,0.2,3579692.5,579692.5,253,59,0.233201581027668,0.020125064988183658,0.8135593220338984,0.11843030576804385
20,0.6,0.0,0.05,0.1,3564127.5,564127.5,750,169,0.22533333333333333,0.006894445229551471,0.6804733727810651,0.1357757882444531
20,0.6,0.0,0.05,0.2,3528364.9951171875,528364.9951171875,726,149,0.20523415977961432,0.007382084411154749,0.7315436241610739,0.15821671009622898
20,0.6,0.01,0.07,0.2,3516144.955000001,516144.955000001,151,21,0.1390728476821192,0.042006164180954444,0.8571428571428571,0.016721489987783437
20,0.6,0.01,0.07,0.1,3515958.7950000004,515958.7950000004,153,23,0.1503267973856209,0.04043478260869572,0.8260869565217391,0.014404072904404012
20,0.6,-0.01,0.07,0.15,3506261.5250000004,506261.5250000004,152,21,0.13815789473684212,0.047185468104648354,0.8571428571428571,0.027388421235838935
20,0.6,-0.01,0.07,0.2,3501713.5250000004,501713.5250000004,152,21,0.13815789473684212,0.046746068192760205,0.8571428571428571,0.028889048168273493
20,0.6,0.0,0.07,0.15,3494649.5,494649.5,152,22,0.14473684210526316,0.04314618061916108,0.8636363636363636,0.03544844640808282
20,0.6,0.0,0.07,0.1,3477557.5,477557.5,153,23,0.1503267973856209,0.04043478260869572,0.8260869565217391,0.020107384136041465
20,0.6,0.0,0.07,0.2,3472159.5,472159.5,152,22,0.14473684210526316,0.04083619552229074,0.8636363636363636,0.04286983790083846
20,0.6,0.01,0.07,0.15,3463204.705000001,463204.705000001,153,22,0.1437908496732026,0.0355513385363656,0.8181818181818182,0.03419280059928614
20,0.55,-0.01,0.05,0.1,3424726.7875091606,424726.7875091606,3388,294,0.08677685950413223,0.0033181599454150694,0.6598639455782312,0.19044614967033036
20,0.6,-0.01,0.07,0.1,3333808.535000001,333808.5350000011,155,22,0.14193548387096774,0.023636363636363667,0.7272727272727273,0.03186695454815169
20,0.65,0.0,0.07,0.1,3129136.0,129136.0,51,4,0.0784313725490196,0.07000000000000006,1.0,0.0
20,0.65,0.0,0.07,0.15,3129136.0,129136.0,51,4,0.0784313725490196,0.07000000000000006,1.0,0.0
20,0.65,0.0,0.07,0.2,3129136.0,129136.0,51,4,0.0784313725490196,0.07000000000000006,1.0,0.0
20,0.65,0.01,0.07,0.1,3127844.6399999997,127844.63999999966,51,4,0.0784313725490196,0.07000000000000006,1.0,0.0
20,0.65,0.01,0.07,0.15,3127844.6399999997,127844.63999999966,51,4,0.0784313725490196,0.07000000000000006,1.0,0.0
20,0.65,0.01,0.07,0.2,3127844.6399999997,127844.63999999966,51,4,0.0784313725490196,0.07000000000000006,1.0,0.0
20,0.65,-0.01,0.07,0.1,3112823.06,112823.06000000006,51,4,0.0784313725490196,0.07000000000000006,1.0,0.0
20,0.65,-0.01,0.07,0.15,3112823.06,112823.06000000006,51,4,0.0784313725490196,0.07000000000000006,1.0,0.0
20,0.65,-0.01,0.07,0.2,3112823.06,112823.06000000006,51,4,0.0784313725490196,0.07000000000000006,1.0,0.0
