threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate
0.6,0.0,0.07,0.2,3562459.0,562459.0,150,20,0.13333333333333333
0.6,-0.02,0.07,0.2,3551496.580000001,551496.580000001,150,21,0.14
0.6,-0.01,0.07,0.2,3536469.980000002,536469.9800000018,150,20,0.13333333333333333
0.6,-0.03,0.07,0.2,3507603.35,507603.3500000001,150,22,0.14666666666666667
0.6,0.0,0.07,0.16,3489604.0,489604.0,150,21,0.14
0.6,-0.01,0.07,0.16,3458920.1600000015,458920.16000000155,150,21,0.14
0.6,0.0,0.07,0.12,3409144.0,409144.0,150,25,0.16666666666666666
0.6,0.0,0.07,0.08,3407636.5,407636.5,150,26,0.17333333333333334
0.6,-0.02,0.07,0.16,3371332.840000001,371332.8400000008,150,23,0.15333333333333332
0.55,0.0,0.05,0.2,3366624.4955444336,366624.4955444336,4780,195,0.04079497907949791
0.6,-0.01,0.07,0.12,3327528.4100000015,327528.41000000155,150,26,0.17333333333333334
0.6,-0.03,0.07,0.08,3324751.230000001,324751.2300000009,150,31,0.20666666666666667
0.6,-0.03,0.07,0.16,3319755.555,319755.55500000017,150,24,0.16
0.6,-0.02,0.07,0.12,3300380.580000001,300380.580000001,150,26,0.17333333333333334
0.55,0.0,0.05,0.08,3299758.0004272466,299758.00042724656,4780,226,0.047280334728033474
0.6,-0.02,0.07,0.08,3293875.7700000005,293875.7700000005,150,31,0.20666666666666667
0.55,0.0,0.05,0.12,3287749.500427246,287749.5004272461,4780,209,0.04372384937238494
0.6,-0.03,0.07,0.12,3234532.4450000008,234532.44500000076,150,28,0.18666666666666668
0.55,-0.01,0.07,0.2,3227528.29,227528.29000000004,395,88,0.22278481012658227
0.7,-0.02,0.05,0.2,3207452.7,207452.7000000002,94,9,0.09574468085106383
0.7,-0.03,0.05,0.2,3206810.8000000003,206810.80000000028,94,9,0.09574468085106383
0.65,-0.02,0.07,0.2,3206606.6100000003,206606.61000000034,76,6,0.07894736842105263
0.65,-0.01,0.05,0.12,3203284.3500000006,203284.35000000056,322,88,0.2732919254658385
0.65,-0.03,0.07,0.2,3195300.875,195300.875,76,6,0.07894736842105263
0.7,0.0,0.05,0.16,3191655.0,191655.0,94,8,0.0851063829787234
0.7,0.0,0.05,0.2,3191655.0,191655.0,94,8,0.0851063829787234
0.7,-0.01,0.05,0.16,3183072.6000000006,183072.60000000056,94,8,0.0851063829787234
0.7,-0.01,0.05,0.2,3183072.6000000006,183072.60000000056,94,8,0.0851063829787234
0.55,0.0,0.07,0.2,3181179.000000001,181179.00000000093,395,82,0.20759493670886076
0.6,-0.01,0.07,0.08,3180385.4950000015,180385.4950000015,150,27,0.18
0.65,0.0,0.05,0.12,3176403.0,176403.0,322,83,0.2577639751552795
