Date,Adj Close,Close,High,Low,Open,Volume
2024-10-25,1103.57275390625,1130.0,1260.0,1067.0,1205.0,38099000
2024-10-28,1071.344482421875,1097.0,1150.0,1078.0,1080.0,5513900
2024-10-29,1181.7017822265625,1210.0,1213.0,1110.0,1115.0,3755700
2024-10-30,1222.719482421875,1252.0,1255.0,1204.0,1240.0,3638800
2024-10-31,1229.5557861328125,1259.0,1265.0,1222.0,1259.0,2733400
2024-11-01,1220.7662353515625,1250.0,1259.0,1215.0,1246.0,1355400
2024-11-05,1171.9356689453125,1200.0,1245.0,1178.0,1245.0,1322800
2024-11-06,1159.2396240234375,1187.0,1228.0,1168.0,1225.0,1384900
2024-11-07,1124.08154296875,1151.0,1175.0,1113.0,1170.0,1942600
2024-11-08,1112.3621826171875,1139.0,1147.0,1101.0,1125.0,1794700
2024-11-11,1157.286376953125,1185.0,1198.0,1122.0,1125.0,1176600
2024-11-12,1169.982421875,1198.0,1229.0,1185.0,1189.0,1618900
2024-11-13,1161.1927490234375,1189.0,1229.0,1174.0,1175.0,1311700
2024-11-14,1132.87109375,1160.0,1202.0,1122.0,1186.0,1886800
2024-11-15,1102.5960693359375,1129.0,1149.0,1106.0,1123.0,2243000
2024-11-18,1069.3912353515625,1095.0,1155.0,1094.0,1116.0,1463100
2024-11-19,1084.04052734375,1110.0,1121.0,1076.0,1082.0,1193300
2024-11-20,1077.2042236328125,1103.0,1120.0,1087.0,1100.0,1629600
2024-11-21,1072.321044921875,1098.0,1109.0,1085.0,1085.0,791700
2024-11-22,1112.3621826171875,1139.0,1152.0,1087.0,1087.0,1674200
2024-11-25,1118.2220458984375,1145.0,1177.0,1145.0,1161.0,1480400
2024-11-26,1130.9178466796875,1158.0,1168.0,1141.0,1159.0,1110900
2024-11-27,1127.011474609375,1154.0,1178.0,1141.0,1158.0,1586400
2024-11-28,1132.87109375,1160.0,1220.0,1157.0,1214.0,12838300
2024-11-29,1083.0638427734375,1109.0,1149.0,1091.0,1149.0,1823800
2024-12-02,1036.1864013671875,1061.0,1092.0,1061.0,1092.0,1859300
2024-12-03,1047.90576171875,1073.0,1074.0,1038.0,1055.0,1464300
2024-12-04,983.4492797851562,1007.0,1077.0,1007.0,1056.0,1749500
2024-12-05,947.3146362304688,970.0,1037.0,969.0,1013.0,2265000
2024-12-06,952.1976928710938,975.0,984.0,951.0,970.0,1650900
2024-12-09,957.0807495117188,980.0,1012.0,973.0,990.0,1786500
2024-12-10,944.384765625,967.0,994.0,961.0,980.0,1454800
2024-12-11,937.5484619140625,960.0,980.0,945.0,962.0,1590600
2024-12-12,924.8525390625,947.0,974.0,940.0,960.0,1699300
2024-12-13,908.2501220703125,930.0,947.0,926.0,938.0,1755600
2024-12-16,894.5775146484375,916.0,949.0,916.0,928.0,1505600
2024-12-17,866.2557373046875,887.0,921.0,883.0,912.0,2650500
2024-12-18,862.3493041992188,883.0,894.0,876.0,884.0,2241400
2024-12-19,873.092041015625,894.0,909.0,872.0,872.0,2084900
2024-12-20,899.4605712890625,921.0,934.0,898.0,911.0,1998500
2024-12-23,881.881591796875,903.0,921.0,900.0,921.0,1236200
2024-12-24,888.7178344726562,910.0,915.0,888.0,900.0,1328800
2024-12-25,868.2089233398438,889.0,910.0,880.0,905.0,1477800
2024-12-26,865.2791137695312,886.0,890.0,873.0,881.0,1931200
2024-12-27,890.75732421875,909.0,922.0,888.0,896.0,1104900
2024-12-30,901.53662109375,920.0,920.0,898.0,900.0,578100
2025-01-06,872.138671875,890.0,924.0,890.0,920.0,1135600
2025-01-07,881.93798828125,900.0,925.0,900.0,905.0,870800
2025-01-08,942.6936645507812,962.0,969.0,900.0,900.0,2055600
2025-01-09,938.7739868164062,958.0,985.0,939.0,977.0,1960900
2025-01-10,969.15185546875,989.0,989.0,950.0,958.0,1273000
2025-01-14,942.6936645507812,962.0,984.0,946.0,980.0,1528600
2025-01-15,921.1351928710938,940.0,971.0,933.0,966.0,1378000
2025-01-16,910.35595703125,929.0,940.0,924.0,934.0,973200
2025-01-17,896.636962890625,915.0,924.0,909.0,920.0,1071700
2025-01-20,920.1552734375,939.0,963.0,929.0,930.0,997500
2025-01-21,914.2756958007812,933.0,944.0,918.0,939.0,603500
2025-01-22,922.1151733398438,941.0,953.0,934.0,938.0,901300
2025-01-23,911.3359375,930.0,949.0,922.0,947.0,601100
2025-01-24,890.75732421875,909.0,926.0,905.0,918.0,980700
2025-01-27,875.0784301757812,893.0,915.0,893.0,910.0,955400
2025-01-28,862.33935546875,880.0,896.0,876.0,888.0,946500
2025-01-29,876.058349609375,894.0,898.0,879.0,884.0,690000
2025-01-30,865.2791137695312,883.0,891.0,879.0,887.0,744400
2025-01-31,895.656982421875,914.0,919.0,876.0,883.0,1717900
2025-02-03,906.436279296875,925.0,937.0,917.0,921.0,1324800
2025-02-04,935.8341674804688,955.0,960.0,934.0,940.0,1236900
2025-02-05,936.8141479492188,956.0,990.0,953.0,980.0,1676200
2025-02-06,955.4328002929688,975.0,978.0,957.0,971.0,741400
2025-02-07,955.4328002929688,975.0,994.0,971.0,990.0,1036000
2025-02-10,937.7940063476562,957.0,964.0,947.0,960.0,508700
2025-02-12,956.4127807617188,976.0,976.0,959.0,972.0,906500
2025-02-13,965.2321166992188,985.0,985.0,959.0,971.0,845600
2025-02-14,976.9912719726562,997.0,1022.0,942.0,985.0,1928000
2025-02-17,1080.864013671875,1103.0,1138.0,1040.0,1050.0,3360300
2025-02-18,1098.502685546875,1121.0,1144.0,1104.0,1112.0,1457100
2025-02-19,1126.920654296875,1150.0,1154.0,1094.0,1115.0,1417900
2025-02-20,1110.261962890625,1133.0,1171.0,1109.0,1140.0,1194700
2025-02-21,1080.864013671875,1103.0,1168.0,1094.0,1163.0,1115700
2025-02-25,1067.1448974609375,1089.0,1111.0,1050.0,1050.0,838200
2025-02-26,1100.462646484375,1123.0,1158.0,1112.0,1151.0,1345700
2025-02-27,1103.4024658203125,1126.0,1135.0,1091.0,1111.0,1290100
2025-02-28,1050.486083984375,1072.0,1142.0,1071.0,1133.0,3725900
2025-03-03,1050.486083984375,1072.0,1093.0,1063.0,1086.0,851100
2025-03-04,1047.5462646484375,1069.0,1087.0,1061.0,1066.0,588600
2025-03-05,1034.8072509765625,1056.0,1065.0,1030.0,1050.0,947800
2025-03-06,1048.5262451171875,1070.0,1079.0,1050.0,1055.0,617200
2025-03-07,1061.265380859375,1083.0,1093.0,1044.0,1060.0,1146700
2025-03-10,1019.1282958984375,1040.0,1060.0,1030.0,1053.0,1078200
2025-03-11,1009.3290405273438,1030.0,1048.0,1018.0,1030.0,1202000
2025-03-12,1017.1685180664062,1038.0,1053.0,1019.0,1020.0,1219300
2025-03-13,1022.068115234375,1043.0,1065.0,1025.0,1025.0,884600
2025-03-14,1039.706787109375,1061.0,1070.0,1032.0,1037.0,956400
2025-03-17,1077.9241943359375,1100.0,1115.0,1073.0,1075.0,1024100
2025-03-18,1066.1650390625,1088.0,1118.0,1082.0,1111.0,880200
2025-03-19,1065.1851806640625,1087.0,1108.0,1083.0,1083.0,950200
2025-03-21,1018.1483154296875,1039.0,1083.0,1028.0,1083.0,1265500
2025-03-24,998.5497436523438,1019.0,1031.0,1008.0,1021.0,901700
2025-03-25,999.5297241210938,1020.0,1037.0,1016.0,1035.0,546800
2025-03-26,994.6300659179688,1015.0,1021.0,1006.0,1018.0,774600
2025-03-27,975.0314331054688,995.0,1013.0,983.0,1012.0,664600
2025-03-28,958.37255859375,978.0,998.0,977.0,985.0,706800
2025-03-31,926.0348510742188,945.0,960.0,940.0,951.0,825900
