signal_date,fill_date,symbol,prob,entry,shares,cost,exit_date,exit_value,ret
2025-01-06,2025-01-07,2160.T,0.6171520254434788,3120.9,100,312090.0,2025-01-28,327694.5,0.050000000000000044
2025-01-06,2025-01-07,5032.T,0.6139825792659224,2697.71,100,269771.0,2025-01-15,283259.55000000005,0.050000000000000266
2025-01-06,2025-01-07,6254.T,0.6115627268708826,2839.11,100,283911.0,2025-01-07,255519.9,-0.09999999999999998
2025-01-08,2025-01-09,6254.T,0.6035093453354563,2759.32,100,275932.0,2025-01-10,289728.60000000003,0.050000000000000044
2025-01-10,2025-01-14,6254.T,0.6063431892611638,3050.2,100,305020.0,2025-01-14,274518.0,-0.09999999999999998
2025-01-16,2025-01-17,1434.T,0.6148072285717137,868.6,500,434300.0,2025-01-21,456015.00000000006,0.050000000000000044
2025-01-17,2025-01-20,135A.T,0.6339923296236388,1569.54,300,470862.0,2025-01-22,494405.10000000003,0.050000000000000044
2025-01-20,2025-01-21,6254.T,0.6317307903647843,2532.07,100,253207.00000000003,2025-01-22,265867.35000000003,0.050000000000000044
2025-01-24,2025-01-27,135A.T,0.6074277407615445,1928.09,200,385618.0,2025-01-29,404898.9,0.050000000000000044
2025-01-28,2025-01-29,8035.T,0.6204058268056504,24568.25,100,2456825.0,2025-01-31,2579666.25,0.050000000000000044
2025-02-04,2025-02-05,9552.T,0.6880681074809364,1463.49,300,439047.0,2025-02-10,460999.35000000003,0.050000000000000044
2025-02-05,2025-02-06,4475.T,0.6030817103356327,1504.9,300,451470.0,2025-02-14,474043.50000000006,0.050000000000000044
2025-02-07,2025-02-10,3491.T,0.6828842781529872,1232.2,400,492880.0,2025-02-25,443592.0,-0.09999999999999998
2025-02-07,2025-02-10,3563.T,0.6078004055156452,4181.4,100,418139.99999999994,2025-03-05,439047.0,0.050000000000000044
2025-02-07,2025-02-10,4385.T,0.6075365242820033,2330.07,200,466014.00000000006,2025-02-14,489314.70000000007,0.050000000000000044
2025-02-10,2025-02-12,9552.T,0.6199020350938201,1614.99,300,484497.0,2025-02-21,436047.3,-0.09999999999999998
2025-02-14,2025-02-17,2395.T,0.6097333706129985,1631.15,300,489345.0,2025-03-04,440410.5,-0.09999999999999998
2025-02-14,2025-02-17,3993.T,0.6053617183316138,4767.2,100,476720.0,2025-02-18,429047.99999999994,-0.10000000000000009
2025-02-17,2025-02-18,9341.T,0.6278614573792299,1064.54,400,425816.0,2025-03-18,416400.0,-0.02211283746970527
2025-02-17,2025-02-18,4933.T,0.6241270288547758,1722.05,200,344410.0,2025-03-18,340400.0,-0.011643099793850364
2025-02-18,2025-02-19,2780.T,0.6822049622188505,3105.75,100,310575.0,2025-03-06,279517.5,-0.09999999999999998
2025-02-25,2025-02-26,9552.T,0.6612938963175301,1386.73,300,416019.0,2025-03-04,374417.1,-0.10000000000000009
2025-02-25,2025-02-26,3491.T,0.6574189603481425,1085.75,400,434300.0,2025-03-14,456015.00000000006,0.050000000000000044
2025-03-04,2025-03-05,9552.T,0.6842134583108833,1241.29,400,496516.0,2025-03-18,521341.8,0.050000000000000044
2025-03-04,2025-03-05,3993.T,0.6659913639836668,3221.9,100,322190.0,2025-03-06,338299.50000000006,0.050000000000000266
2025-03-05,2025-03-06,2160.T,0.646204095571321,2499.75,200,499950.0,2025-03-06,524947.5,0.050000000000000044
2025-03-06,2025-03-07,4475.T,0.6244705349755476,1329.16,300,398748.0,2025-03-11,418685.4,0.050000000000000044
2025-03-07,2025-03-10,2980.T,0.6623665603673025,2978.4900000000002,100,297849.0,2025-03-26,312741.45,0.050000000000000044
2025-03-07,2025-03-10,3993.T,0.6293252429477478,3156.25,100,315625.0,2025-03-12,331406.25,0.050000000000000044
2025-03-11,2025-03-12,6227.T,0.6338822071964529,3171.4,100,317140.0,2025-03-18,332997.0,0.050000000000000044
2025-03-12,2025-03-13,4442.T,0.6413072132527498,417.13,1100,458843.0,2025-03-21,481785.15,0.050000000000000044
2025-03-12,2025-03-13,2780.T,0.6208020015987262,2840.12,100,284012.0,2025-03-18,298212.60000000003,0.050000000000000044
2025-03-14,2025-03-17,2160.T,0.603267242928341,2565.4,100,256540.0,2025-03-24,230886.0,-0.09999999999999998
2025-03-26,2025-03-27,2160.T,0.66708112323718,2178.57,200,435714.00000000006,2025-04-03,392142.60000000003,-0.10000000000000009
2025-03-26,2025-03-27,5032.T,0.6009902238138928,3312.8,100,331280.0,2025-04-07,298152.00000000006,-0.09999999999999987
2025-03-31,2025-04-01,4385.T,0.6203575803536854,2378.55,200,475710.00000000006,2025-04-04,428139.00000000006,-0.09999999999999998
2025-03-31,2025-04-01,6920.T,0.6147892481901478,12806.8,100,1280680.0,2025-04-04,1152612.0,-0.09999999999999998
2025-04-01,2025-04-02,6227.T,0.6428021776147955,2812.85,100,281285.0,2025-04-03,253156.5,-0.09999999999999998
2025-04-01,2025-04-02,9279.T,0.6266617881596667,2807.8,100,280780.0,2025-04-10,294819.00000000006,0.050000000000000266
2025-04-07,2025-04-08,5027.T,0.700061190510126,810.02,600,486012.0,2025-04-08,510312.60000000003,0.050000000000000044
2025-04-07,2025-04-08,6062.T,0.6084199616388808,1153.42,400,461368.0,2025-04-08,484436.4,0.050000000000000044
2025-04-08,2025-04-09,4667.T,0.6802073388660609,1250.38,300,375114.00000000006,2025-04-10,393869.7,0.04999999999999982
2025-04-08,2025-04-09,4413.T,0.6799193502570624,2143.725,200,428745.0,2025-04-10,450182.25,0.050000000000000044
2025-04-08,2025-04-09,3983.T,0.6611050772879717,2227.05,200,445410.00000000006,2025-04-10,467680.5,0.04999999999999982
2025-04-08,2025-04-09,3697.T,0.6289586830550329,1067.065,400,426826.0,2025-04-10,448167.30000000005,0.050000000000000044
2025-04-08,2025-04-09,1799.T,0.6276050952093778,2354.31,200,470862.0,2025-04-18,494405.10000000003,0.050000000000000044
2025-04-09,2025-04-10,7318.T,0.6976087114895929,339.1075,1400,474750.5,2025-04-10,498488.025,0.050000000000000044
2025-04-10,2025-04-11,7012.T,0.6834743156174442,7531.57,100,753157.0,2025-04-16,790814.85,0.050000000000000044
2025-04-10,2025-04-11,4667.T,0.6672503398567696,1321.08,300,396324.0,2025-04-16,416140.2,0.050000000000000044
2025-04-10,2025-04-11,3498.T,0.6639993685756754,5787.3,100,578730.0,2025-04-11,607666.5000000001,0.050000000000000266
2025-04-10,2025-04-11,3916.T,0.6544665545123635,1163.52,400,465408.0,2025-04-15,488678.4000000001,0.050000000000000266
2025-04-10,2025-04-11,3993.T,0.6251742673128259,2810.83,100,281083.0,2025-04-14,295137.15,0.050000000000000044
2025-04-11,2025-04-14,5191.T,0.6630637336764726,1373.6,300,412080.0,2025-04-18,432684.0,0.050000000000000044
2025-04-11,2025-04-14,5834.T,0.6043095067008691,2898.7,100,289870.0,2025-04-18,304363.5,0.050000000000000044
2025-04-14,2025-04-15,4186.T,0.6181048610556854,3004.245,100,300424.5,2025-04-28,315445.725,0.04999999999999982
2025-04-15,2025-04-16,4113.T,0.6170579226568221,942.33,500,471165.0,2025-04-18,494723.25000000006,0.050000000000000044
2025-04-16,2025-04-17,6787.T,0.6427313057366659,5666.1,100,566610.0,2025-04-24,594940.5000000001,0.050000000000000266
2025-04-16,2025-04-17,6298.T,0.6423948540220809,713.0600000000001,700,499142.00000000006,2025-04-18,524099.10000000003,0.050000000000000044
2025-04-18,2025-04-21,4113.T,0.6142045527773277,1010.0,400,404000.0,2025-04-30,424200.0,0.050000000000000044
2025-04-21,2025-04-22,5191.T,0.6037055628727452,1459.45,300,437835.0,2025-04-24,459726.75000000006,0.050000000000000044
2025-04-22,2025-04-23,6227.T,0.6516221706459826,2220.9900000000002,200,444198.00000000006,2025-04-25,466407.9000000001,0.050000000000000044
2025-04-25,2025-04-28,6227.T,0.6132499293091983,2424.0,200,484800.0,2025-05-02,509040.00000000006,0.050000000000000044
2025-05-09,2025-05-12,4477.T,0.6093680245602672,412.08,1200,494496.0,2025-05-15,519220.80000000005,0.050000000000000044
2025-05-09,2025-05-12,3186.T,0.6023608264947204,1547.32,300,464196.0,2025-05-13,487405.8,0.050000000000000044
2025-05-14,2025-05-15,2432.T,0.6701858767063286,2953.2400000000002,100,295324.0,2025-06-03,265791.60000000003,-0.09999999999999987
2025-05-14,2025-05-15,4475.T,0.6283053756452347,1533.18,300,459954.0,2025-05-23,482951.70000000007,0.050000000000000044
2025-05-15,2025-05-16,7561.T,0.6164934113284517,589.84,800,471872.0,2025-05-27,495465.6000000001,0.050000000000000266
2025-05-16,2025-05-19,4519.T,0.614636053094885,7602.27,100,760227.0,2025-06-13,745700.0,-0.01910876619746471
2025-05-19,2025-05-20,5027.T,0.7049674829497816,525.2,900,472680.00000000006,2025-05-21,496314.00000000006,0.050000000000000044
2025-05-21,2025-05-22,5027.T,0.7042764550316093,558.53,800,446824.0,2025-05-22,469165.2,0.050000000000000044
2025-05-21,2025-05-22,6871.T,0.6245962323215158,3535.0,100,353500.0,2025-05-28,371175.0,0.050000000000000044
2025-05-22,2025-05-23,5027.T,0.6962235646847567,576.71,800,461368.0,2025-05-26,484436.4,0.050000000000000044
2025-05-26,2025-05-27,5027.T,0.6302683263438081,613.07,800,490456.00000000006,2025-06-06,441410.4,-0.10000000000000009
2025-05-27,2025-05-28,6787.T,0.6071091182682208,5757.0,100,575700.0,2025-06-10,604485.0,0.050000000000000044
2025-05-28,2025-05-29,4477.T,0.6270178602149721,381.78000000000003,1300,496314.00000000006,2025-06-10,521129.7,0.04999999999999982
2025-06-06,2025-06-09,5027.T,0.6203880048701097,560.55,800,448439.99999999994,2025-07-04,428800.0,-0.04379627151904364
2025-07-01,2025-07-02,3905.T,0.6824075683192784,1603.88,300,481164.00000000006,2025-07-04,505222.20000000007,0.050000000000000044
2025-07-01,2025-07-02,135A.T,0.6044851800047393,2663.37,100,266337.0,2025-07-15,239703.3,-0.10000000000000009
2025-07-02,2025-07-03,247A.T,0.6267312406775513,1104.94,400,441976.0,2025-07-10,464074.80000000005,0.050000000000000044
2025-07-02,2025-07-03,7318.T,0.6160811460757468,768.8625,600,461317.5,2025-07-07,484383.375,0.050000000000000044
2025-07-03,2025-07-04,4493.T,0.618266228277992,1646.3,300,493890.0,2025-07-25,518584.5,0.050000000000000044
2025-07-03,2025-07-04,2980.T,0.6159911838936866,3191.6,100,319160.0,2025-08-01,323500.0,0.013598195262564339
2025-07-03,2025-07-04,4475.T,0.6126659264687947,1635.19,300,490557.0,2025-07-09,515084.85000000003,0.050000000000000044
2025-07-10,2025-07-11,3905.T,0.6043099702821112,4130.9,100,413089.99999999994,2025-07-11,371781.0,-0.09999999999999987
2025-07-11,2025-07-14,3697.T,0.6090814751708172,1512.475,300,453742.5,2025-07-17,476429.62499999994,0.04999999999999982
2025-07-11,2025-07-14,3905.T,0.6049647568987894,3423.9,100,342390.0,2025-07-14,359509.5,0.050000000000000044
