strategy,label,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win
long,uptrend,2009-01-06,2009-01-14,6,9130.0,8438.0,-7.57,False
short,downtrend,2009-01-28,2009-03-16,33,8052.0,7704.0,4.32,True
long,uptrend,2009-03-26,2009-04-21,19,8430.0,8711.0,3.33,True
long,uptrend,2009-05-11,2009-06-26,35,9461.0,9877.0,4.4,True
short,downtrend,2009-07-10,2009-07-23,9,9339.0,9793.0,-4.86,False
long,uptrend,2009-08-07,2009-08-28,16,10366.0,10534.0,1.62,True
short,downtrend,2009-09-14,2009-09-24,6,10388.0,10544.0,-1.5,False
short,downtrend,2009-09-29,2009-10-19,14,10089.0,10237.0,-1.46,False
long,uptrend,2009-11-06,2009-11-11,4,9813.0,9872.0,0.6,True
short,downtrend,2009-11-18,2009-12-03,11,9723.0,9978.0,-2.62,False
long,uptrend,2009-12-21,2010-01-25,22,10197.0,10513.0,3.1,True
short,downtrend,2010-02-04,2010-02-25,15,10435.0,10102.0,3.19,True
long,uptrend,2010-03-12,2010-04-16,25,10777.0,11102.0,3.01,True
short,downtrend,2010-05-07,2010-06-16,29,10473.0,10067.0,3.87,True
long,uptrend,2010-06-29,2010-06-30,2,9718.0,9383.0,-3.45,False
short,downtrend,2010-07-22,2010-07-29,6,9216.0,9696.0,-5.21,False
short,downtrend,2010-08-16,2010-08-18,3,9145.0,9241.0,-1.04,False
short,downtrend,2010-08-26,2010-09-10,12,8908.0,9239.0,-3.72,False
long,uptrend,2010-09-28,2010-10-19,15,9547.0,9539.0,-0.08,False
short,downtrend,2010-11-02,2010-11-09,5,9140.0,9694.0,-6.06,False
long,uptrend,2010-11-22,2010-12-22,22,10133.0,10346.0,2.1,True
long,uptrend,2010-12-30,2011-01-21,14,10303.0,10275.0,-0.28,False
long,uptrend,2011-02-09,2011-02-09,1,10687.0,10618.0,-0.64,False
long,uptrend,2011-02-16,2011-03-08,15,10759.0,10525.0,-2.17,False
short,downtrend,2011-03-16,2011-04-12,19,8767.0,9555.0,-8.99,False
long,uptrend,2011-04-25,2011-05-16,12,9706.0,9558.0,-1.52,False
short,downtrend,2011-05-31,2011-06-22,17,9501.0,9629.0,-1.36,False
long,uptrend,2011-07-04,2011-08-01,20,9980.0,9965.0,-0.15,False
short,downtrend,2011-08-10,2011-09-06,20,9111.0,8591.0,5.71,True
long,uptrend,2011-09-29,2011-09-29,1,8528.0,8701.0,2.04,True
short,downtrend,2011-10-12,2011-10-12,1,8720.0,8739.0,-0.22,False
long,uptrend,2011-10-14,2011-11-10,19,8783.0,8501.0,-3.21,False
short,downtrend,2011-11-24,2011-12-07,10,8189.0,8722.0,-6.51,False
long,uptrend,2011-12-27,2012-01-04,5,8443.0,8560.0,1.39,True
short,downtrend,2012-01-17,2012-01-18,2,8420.0,8551.0,-1.55,False
long,uptrend,2012-01-20,2012-04-03,52,8751.0,10050.0,14.85,True
short,downtrend,2012-04-13,2012-06-13,41,9613.0,8588.0,10.67,True
long,uptrend,2012-06-27,2012-07-17,14,8678.0,8755.0,0.89,True
short,downtrend,2012-08-01,2012-08-09,7,8622.0,8979.0,-4.14,False
long,uptrend,2012-08-23,2012-09-04,9,9081.0,8776.0,-3.36,False
short,downtrend,2012-09-24,2012-10-04,9,9071.0,8825.0,2.72,True
short,downtrend,2012-10-12,2012-10-25,10,8608.0,9055.0,-5.2,False
long,uptrend,2012-11-09,2012-11-15,5,8743.0,8830.0,1.0,True
long,uptrend,2012-11-22,2012-12-28,25,9336.0,10395.0,11.34,True
