strategy,label,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win
long,uptrend,2018-01-04,2018-02-01,20,23506.0,23486.0,-0.09,False
short,downtrend,2018-02-08,2018-03-09,21,21891.0,21469.0,1.93,True
short,downtrend,2018-03-23,2018-03-30,6,20618.0,21454.0,-4.06,False
long,uptrend,2018-04-04,2018-04-12,7,21320.0,21660.0,1.6,True
long,uptrend,2018-04-18,2018-05-25,25,22158.0,22451.0,1.32,True
short,downtrend,2018-06-11,2018-06-26,12,22804.0,22342.0,2.03,True
short,downtrend,2018-07-02,2018-07-17,12,21812.0,22697.0,-4.06,False
long,uptrend,2018-08-01,2018-08-10,8,22747.0,22298.0,-1.97,False
short,downtrend,2018-08-28,2018-08-28,1,22813.0,22813.0,-0.0,False
long,uptrend,2018-09-13,2018-10-12,19,22821.0,22695.0,-0.56,False
short,downtrend,2018-10-24,2018-11-12,14,22091.0,22270.0,-0.81,False
short,downtrend,2018-11-19,2018-11-21,3,21821.0,21508.0,1.44,True
long,uptrend,2018-11-30,2018-12-06,5,22351.0,21502.0,-3.8,False
short,downtrend,2018-12-21,2019-01-24,19,20166.0,20575.0,-2.03,False
long,uptrend,2019-02-04,2019-03-18,30,20884.0,21584.0,3.36,True
short,downtrend,2019-04-01,2019-04-05,5,21509.0,21808.0,-1.39,False
long,uptrend,2019-04-16,2019-05-09,12,22222.0,21402.0,-3.69,False
short,downtrend,2019-05-21,2019-06-11,16,21272.0,21204.0,0.32,True
long,uptrend,2019-06-27,2019-07-19,16,21338.0,21467.0,0.6,True
long,uptrend,2019-07-25,2019-07-31,5,21757.0,21522.0,-1.08,False
short,downtrend,2019-08-05,2019-09-04,22,20720.0,20649.0,0.34,True
long,uptrend,2019-09-13,2019-10-08,16,21988.0,21588.0,-1.82,False
long,uptrend,2019-10-21,2019-11-22,23,22549.0,23113.0,2.5,True
short,downtrend,2019-12-10,2019-12-13,4,23410.0,24023.0,-2.62,False
long,uptrend,2019-12-20,2020-01-07,9,23817.0,23576.0,-1.01,False
long,uptrend,2020-01-14,2020-01-21,6,24025.0,23865.0,-0.67,False
short,downtrend,2020-01-28,2020-02-07,9,23216.0,23828.0,-2.64,False
short,downtrend,2020-02-17,2020-04-08,36,23523.0,19353.0,17.73,True
long,uptrend,2020-04-17,2020-06-25,46,19897.0,22260.0,11.87,True
short,downtrend,2020-07-08,2020-07-14,5,22439.0,22587.0,-0.66,False
short,downtrend,2020-08-05,2020-08-05,1,22515.0,22515.0,-0.0,False
long,uptrend,2020-08-13,2020-09-14,23,23250.0,23559.0,1.33,True
long,uptrend,2020-09-16,2020-09-24,5,23476.0,23088.0,-1.65,False
long,uptrend,2020-10-09,2020-10-29,15,23620.0,23332.0,-1.22,False
long,uptrend,2020-11-05,2020-12-15,28,24105.0,26688.0,10.71,True
short,downtrend,2021-01-05,2021-01-05,1,27159.0,27159.0,-0.0,False
long,uptrend,2021-01-13,2021-03-08,37,28457.0,28743.0,1.01,True
short,downtrend,2021-03-19,2021-04-01,10,29792.0,29389.0,1.35,True
short,downtrend,2021-04-15,2021-04-19,3,29643.0,29685.0,-0.14,False
long,uptrend,2021-04-22,2021-04-26,3,29188.0,29126.0,-0.21,False
short,downtrend,2021-05-07,2021-05-27,15,29358.0,28549.0,2.76,True
long,uptrend,2021-06-14,2021-06-28,11,29162.0,29048.0,-0.39,False
short,downtrend,2021-07-12,2021-08-11,20,28569.0,28071.0,1.74,True
short,downtrend,2021-08-16,2021-08-23,6,27523.0,27494.0,0.11,True
long,uptrend,2021-09-01,2021-10-04,22,28451.0,28445.0,-0.02,False
short,downtrend,2021-10-13,2021-10-29,13,28140.0,28893.0,-2.67,False
long,uptrend,2021-11-11,2021-11-26,11,29278.0,28752.0,-1.8,False
short,downtrend,2021-12-06,2021-12-27,16,27927.0,28676.0,-2.68,False
