strategy,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win,entry_slope5
long,2009-01-06,2009-01-14,6,9130.0,8438.0,-7.57,False,0.03046
short,2009-01-16,2009-03-16,41,8125.0,7704.0,5.18,True,-0.00168
long,2009-03-18,2009-04-21,24,8007.0,8711.0,8.8,True,0.00158
short,2009-04-23,2009-05-07,7,8777.0,9386.0,-6.94,False,-0.00077
long,2009-05-11,2009-06-26,35,9461.0,9877.0,4.4,True,0.00341
short,2009-06-30,2009-06-30,1,9897.0,9958.0,-0.63,False,-0.00229
short,2009-07-03,2009-07-23,14,9752.0,9793.0,-0.42,False,-0.00088
long,2009-07-27,2009-08-28,25,10021.0,10534.0,5.12,True,0.00364
short,2009-09-02,2009-09-24,14,10378.0,10544.0,-1.6,False,-0.00241
short,2009-09-29,2009-10-19,14,10089.0,10237.0,-1.46,False,-0.00311
long,2009-10-21,2009-11-11,15,10292.0,9872.0,-4.09,False,0.0014
short,2009-11-13,2009-12-03,14,9793.0,9978.0,-1.88,False,-0.00251
long,2009-12-07,2010-01-25,32,10132.0,10513.0,3.76,True,0.00041
short,2010-01-27,2010-02-25,21,10344.0,10102.0,2.34,True,-0.00406
long,2010-03-01,2010-04-16,34,10129.0,11102.0,9.61,True,0.00016
short,2010-04-20,2010-06-16,38,10960.0,10067.0,8.15,True,-0.00012
long,2010-06-18,2010-06-30,9,10028.0,9383.0,-6.44,False,0.00481
short,2010-07-02,2010-07-29,18,9235.0,9696.0,-5.0,False,-0.00016
long,2010-08-02,2010-08-12,9,9575.0,9213.0,-3.78,False,0.0024
short,2010-08-16,2010-09-10,20,9145.0,9239.0,-1.03,False,-0.00505
long,2010-09-14,2010-10-19,22,9320.0,9539.0,2.36,True,0.00223
short,2010-10-21,2010-11-09,13,9444.0,9694.0,-2.65,False,-0.00267
long,2010-11-11,2010-12-22,29,9878.0,10346.0,4.74,True,0.00342
short,2010-12-27,2010-12-28,2,10293.0,10293.0,0.0,True,-0.00087
long,2010-12-30,2011-01-21,14,10303.0,10275.0,-0.28,False,1e-05
short,2011-01-25,2011-02-07,10,10375.0,10592.0,-2.1,False,-0.00034
long,2011-02-09,2011-03-08,19,10687.0,10525.0,-1.51,False,0.00061
short,2011-03-10,2011-04-12,23,10544.0,9555.0,9.38,True,-0.00099
long,2011-04-14,2011-05-16,19,9580.0,9558.0,-0.22,False,0.00312
short,2011-05-18,2011-06-22,26,9603.0,9629.0,-0.28,False,-0.00326
long,2011-06-24,2011-08-01,26,9626.0,9965.0,3.52,True,0.00305
short,2011-08-03,2011-09-06,25,9705.0,8591.0,11.48,True,-0.00495
long,2011-09-08,2011-09-14,5,8863.0,8519.0,-3.89,False,0.00106
long,2011-09-20,2011-09-29,7,8764.0,8701.0,-0.71,False,0.00129
short,2011-10-03,2011-10-12,7,8568.0,8739.0,-1.99,False,-0.00274
long,2011-10-14,2011-11-10,19,8783.0,8501.0,-3.21,False,0.00592
short,2011-11-14,2011-12-07,17,8631.0,8722.0,-1.05,False,-0.00532
long,2011-12-09,2012-01-04,16,8521.0,8560.0,0.46,True,0.00338
short,2012-01-06,2012-01-18,8,8489.0,8551.0,-0.73,False,-0.00321
long,2012-01-20,2012-04-03,52,8751.0,10050.0,14.85,True,0.00093
short,2012-04-05,2012-06-13,47,9738.0,8588.0,11.81,True,-0.00126
long,2012-06-15,2012-07-17,22,8608.0,8755.0,1.7,True,0.00015
short,2012-07-19,2012-08-09,16,8795.0,8979.0,-2.09,False,-6e-05
long,2012-08-13,2012-09-04,17,8872.0,8776.0,-1.08,False,0.00093
short,2012-09-06,2012-10-04,20,8690.0,8825.0,-1.54,False,-0.00278
long,2012-10-09,2012-10-10,2,8822.0,8596.0,-2.56,False,0.00261
short,2012-10-12,2012-10-25,10,8608.0,9055.0,-5.2,False,-0.00206
long,2012-10-29,2012-11-15,14,8959.0,8830.0,-1.44,False,0.00111
short,2012-11-19,2012-11-20,2,9141.0,9143.0,-0.01,False,-0.00115
long,2012-11-22,2012-12-28,25,9336.0,10395.0,11.34,True,0.00304
