entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win
2009-01-05,2009-01-14,7,9043.0,8438.0,-6.69,False
2009-03-25,2009-04-21,20,8480.0,8711.0,2.73,True
2009-05-11,2009-05-15,5,9452.0,9265.0,-1.98,False
2009-05-21,2009-06-22,23,9264.0,9826.0,6.07,True
2009-08-06,2009-08-24,13,10388.0,10581.0,1.86,True
2009-08-26,2009-08-26,1,10640.0,10640.0,0.0,False
2009-11-06,2009-11-09,2,9789.0,9809.0,0.2,True
2009-12-18,2010-01-22,22,10142.0,10591.0,4.42,True
2010-03-11,2010-04-15,25,10665.0,11274.0,5.71,True
2010-06-28,2010-06-30,3,9694.0,9383.0,-3.21,False
2010-09-27,2010-10-15,14,9603.0,9500.0,-1.07,False
2010-11-19,2010-12-20,21,10022.0,10216.0,1.94,True
2011-01-11,2011-01-14,4,10511.0,10499.0,-0.11,False
2011-02-16,2011-02-25,8,10808.0,10527.0,-2.6,False
2011-03-02,2011-03-07,4,10492.0,10505.0,0.12,True
2011-04-22,2011-05-12,11,9682.0,9717.0,0.36,True
2011-07-01,2011-07-28,19,9868.0,9901.0,0.34,True
2011-10-13,2011-11-09,19,8823.0,8755.0,-0.77,False
2011-12-26,2011-12-30,5,8479.0,8455.0,-0.28,False
2012-01-20,2012-03-28,48,8766.0,10183.0,16.16,True
2012-06-26,2012-07-13,14,8664.0,8724.0,0.69,True
2012-08-22,2012-09-03,9,9132.0,8784.0,-3.81,False
2012-11-08,2012-11-14,5,8837.0,8665.0,-1.95,False
2012-11-22,2012-12-28,25,9367.0,10395.0,10.98,True
