strategy,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win
long,2013-01-07,2013-06-19,112,10744.0,13233.0,23.17,True
long,2013-08-29,2013-10-10,29,13383.0,14098.0,5.34,True
long,2013-10-25,2014-02-12,71,14439.0,14822.0,2.65,True
long,2014-05-09,2014-05-23,11,14102.0,14411.0,2.19,True
long,2014-06-06,2014-09-03,63,15139.0,15798.0,4.35,True
long,2014-09-12,2014-10-22,26,15885.0,15038.0,-5.33,False
long,2014-11-11,2015-02-10,60,16869.0,17663.0,4.7,True
long,2015-03-04,2015-07-13,90,18717.0,19930.0,6.48,True
long,2015-07-22,2015-08-20,22,20658.0,20194.0,-2.24,False
long,2015-11-18,2016-01-18,39,19772.0,16827.0,-14.89,False
long,2016-04-08,2016-06-14,44,15597.0,16001.0,2.59,True
long,2016-08-10,2016-12-30,96,16699.0,19114.0,14.46,True
