period,W,L,tau_enter,tau_exit,n_trades,win_rate,total_return_pct,bnh_pct,gap_vs_bnh,max_dd,avg_hold_days
2009_2012,40,20,0.0,0.0,20,0.35,-20.04,14.95,-34.99,-38.32,27.6
2009_2012,40,20,0.0,0.001,20,0.4,-18.12,14.95,-33.07,-36.84,27.8
2009_2012,40,20,0.0,0.002,18,0.389,-17.69,14.95,-32.64,-36.62,31.0
2009_2012,40,20,0.001,0.0,20,0.35,-22.03,14.95,-36.98,-38.9,27.5
2009_2012,40,20,0.001,0.001,20,0.4,-20.16,14.95,-35.11,-37.43,27.6
2009_2012,40,20,0.001,0.002,18,0.389,-18.81,14.95,-33.76,-36.49,30.9
2009_2012,40,20,0.002,0.0,20,0.35,-21.77,14.95,-36.73,-38.68,27.4
2009_2012,40,20,0.002,0.001,20,0.4,-19.9,14.95,-34.85,-37.21,27.6
2009_2012,40,20,0.002,0.002,18,0.389,-18.55,14.95,-33.5,-36.27,30.8
2009_2012,40,20,0.005,0.0,20,0.35,-21.44,14.95,-36.39,-38.42,27.1
2009_2012,40,20,0.005,0.001,20,0.4,-19.56,14.95,-34.51,-36.94,27.2
2009_2012,40,20,0.005,0.002,18,0.389,-17.75,14.95,-32.71,-35.78,30.6
2009_2012,50,25,0.0,0.0,15,0.333,-17.97,14.95,-32.92,-33.37,36.1
2009_2012,50,25,0.0,0.001,15,0.333,-19.73,14.95,-34.68,-34.49,36.2
2009_2012,50,25,0.0,0.002,15,0.333,-19.06,14.95,-34.01,-33.94,36.3
2009_2012,50,25,0.001,0.0,15,0.333,-18.45,14.95,-33.4,-33.77,36.0
2009_2012,50,25,0.001,0.001,15,0.333,-20.21,14.95,-35.16,-34.88,36.1
2009_2012,50,25,0.001,0.002,15,0.333,-19.54,14.95,-34.49,-34.33,36.2
2009_2012,50,25,0.002,0.0,15,0.333,-19.61,14.95,-34.56,-34.71,35.9
2009_2012,50,25,0.002,0.001,15,0.333,-21.34,14.95,-36.29,-35.8,36.0
2009_2012,50,25,0.002,0.002,15,0.333,-20.68,14.95,-35.63,-35.26,36.1
2009_2012,50,25,0.005,0.0,15,0.333,-26.57,14.95,-41.52,-38.75,35.1
2009_2012,50,25,0.005,0.001,15,0.333,-28.15,14.95,-43.1,-39.78,35.2
2009_2012,50,25,0.005,0.002,15,0.333,-27.55,14.95,-42.5,-39.27,35.3
2009_2012,60,30,0.0,0.0,15,0.267,-23.55,14.95,-38.51,-41.56,36.7
2009_2012,60,30,0.0,0.001,15,0.267,-22.81,14.95,-37.76,-40.99,36.8
2009_2012,60,30,0.0,0.002,15,0.267,-23.97,14.95,-38.92,-40.73,37.1
2009_2012,60,30,0.001,0.0,15,0.267,-28.35,14.95,-43.3,-41.27,36.3
2009_2012,60,30,0.001,0.001,15,0.267,-27.65,14.95,-42.6,-40.69,36.3
2009_2012,60,30,0.001,0.002,15,0.267,-28.74,14.95,-43.69,-40.43,36.7
2009_2012,60,30,0.002,0.0,15,0.267,-31.15,14.95,-46.1,-41.88,36.0
2009_2012,60,30,0.002,0.001,15,0.267,-30.48,14.95,-45.43,-41.31,36.1
2009_2012,60,30,0.002,0.002,15,0.267,-31.53,14.95,-46.48,-41.05,36.4
2009_2012,60,30,0.005,0.0,15,0.267,-29.24,14.95,-44.19,-40.07,35.5
2009_2012,60,30,0.005,0.001,15,0.267,-28.55,14.95,-43.5,-39.48,35.6
2009_2012,60,30,0.005,0.002,15,0.267,-29.63,14.95,-44.58,-39.21,35.9
2009_2012,80,40,0.0,0.0,12,0.417,-21.94,14.95,-36.89,-36.33,49.0
2009_2012,80,40,0.0,0.001,12,0.333,-26.62,14.95,-41.57,-40.15,49.1
2009_2012,80,40,0.0,0.002,12,0.333,-25.89,14.95,-40.84,-39.56,49.2
2009_2012,80,40,0.001,0.0,12,0.417,-22.1,14.95,-37.05,-36.14,48.6
2009_2012,80,40,0.001,0.001,12,0.333,-26.77,14.95,-41.72,-39.97,48.7
2009_2012,80,40,0.001,0.002,12,0.333,-26.05,14.95,-41.0,-39.38,48.8
2009_2012,80,40,0.002,0.0,12,0.417,-24.5,14.95,-39.45,-38.11,48.5
2009_2012,80,40,0.002,0.001,12,0.333,-29.03,14.95,-43.98,-41.82,48.6
