W,L,tau_enter,tau_exit,worst_gap,avg_gap,avg_total_return,avg_n_trades,avg_win_rate,avg_max_dd,avg_hold_days,bull_gap,range_gap
100,50,0.001,0.002,-42.63,-29.32,17.7,10.5,0.486,-18.61,56.3,-37.51,-21.13
100,50,0.001,0.0,-42.74,-31.4,15.61,10.5,0.486,-18.49,55.8,-41.36,-21.45
80,40,0.0,0.002,-42.78,-34.49,12.52,11.5,0.419,-22.04,51.58,-41.86,-27.13
100,50,0.0,0.002,-43.69,-30.03,16.98,10.8,0.475,-19.23,55.2,-38.2,-21.86
100,50,0.001,0.001,-43.72,-31.53,15.49,10.5,0.486,-18.96,56.0,-41.58,-21.47
100,50,0.0,0.0,-44.02,-32.17,14.85,10.8,0.475,-19.15,54.6,-42.16,-22.18
80,40,0.001,0.002,-44.16,-35.6,11.42,11.5,0.419,-22.16,51.35,-43.42,-27.78
100,50,0.002,0.002,-44.47,-31.67,15.34,10.5,0.486,-19.36,55.78,-39.86,-23.48
100,50,0.002,0.0,-44.58,-33.69,13.33,10.5,0.486,-19.31,55.22,-43.62,-23.76
100,50,0.005,0.002,-44.6,-32.64,14.38,10.2,0.548,-19.11,56.05,-41.32,-23.94
