lambda_dd,phase,horizon,threshold,limit,take_profit,stop_loss,objective_mean,final_capital_mean,max_drawdown_mean,folds
0.5,bo12,10,0.62,0.0,0.07,0.12,3107895.2626855774,3108467.4872692497,0.00038148305578176967,4
0.5,bo03,10,0.62,-0.0025,0.07,0.12,3104966.0841064956,3106456.1181920157,0.0009933560570131478,4
0.5,bo13,10,0.62,-0.0025,0.07,0.14,3104966.0841064956,3106456.1181920157,0.0009933560570131478,4
0.5,init,10,0.64,0.0,0.07,0.14,3098931.22214597,3099660.5411662497,0.00048621268018671606,4
0.5,bo05,10,0.62,-0.005,0.07,0.14,3096870.9615492984,3098155.4381642817,0.000856317743322018,4
0.5,bo10,10,0.62,-0.005,0.07,0.12,3096870.9615492984,3098155.4381642817,0.000856317743322018,4
0.5,bo17,10,0.64,-0.0025,0.07,0.12,3094472.5614040764,3095475.3018736406,0.0006684936463761876,4
0.5,init,10,0.58,0.0,0.05,0.12,3093215.9055814426,3117366.046822037,0.016100094160396098,4
0.5,bo18,10,0.58,0.0,0.05,0.14,3091290.4625143604,3116060.853648335,0.016513594089316762,4
0.5,bo15,10,0.58,0.0,0.05,0.16,3091080.6494413773,3112162.4560681656,0.014054537751192095,4
0.5,init,10,0.62,0.0,0.07,0.1,3090915.259949387,3096624.996751612,0.003806491201483591,4
0.5,bo07,10,0.66,0.0,0.05,0.14,3089785.789976188,3099063.840455894,0.006185366986470556,4
0.5,bo08,10,0.62,0.0,0.05,0.14,3087038.602807304,3103600.208815316,0.011041070672008444,4
0.5,bo04,10,0.6,0.0,0.06,0.14,3079678.4528746773,3095353.1408356973,0.010449791974013498,4
0.5,init,10,0.64,-0.005,0.06,0.14,3076932.825765129,3086876.280468844,0.006628969802476379,4
0.5,bo16,10,0.66,0.0,0.05,0.1,3071844.970988391,3086569.9843777097,0.009816675592879048,4
0.5,bo09,20,0.66,-0.005,0.07,0.14,3069877.1790631786,3095707.8386790333,0.01722043974390308,4
0.5,bo11,10,0.66,0.0,0.06,0.14,3066454.879033684,3067382.92929825,0.0006187001763773592,4
0.5,bo14,10,0.58,-0.005,0.07,0.14,3060694.15994013,3079720.8558240943,0.012684463922642476,4
0.5,init,15,0.62,0.0,0.06,0.12,3058119.6093863645,3095055.2134472346,0.024623736040580067,4
0.5,bo02,10,0.66,0.0,0.07,0.1,3055492.1912985947,3056224.46536725,0.00048818271243665143,4
0.5,bo01,10,0.66,-0.0025,0.07,0.16,3052779.206333371,3053786.468884453,0.0006715083673880574,4
0.5,init,25,0.64,-0.005,0.06,0.14,3050121.846052116,3109553.112069968,0.03962084401190166,4
0.5,init,15,0.6,0.0,0.07,0.14,3049484.1424387493,3083044.3713643337,0.02237348595038959,4
0.5,bo06,10,0.58,0.0,0.06,0.1,3036518.7426330266,3068407.563586544,0.021259213969011342,4
0.5,init,25,0.66,-0.005,0.07,0.1,3024986.5429517995,3074554.4877119805,0.03304529650678699,4
0.5,init,15,0.6,-0.0025,0.05,0.1,2974462.375814694,3050782.5329493103,0.050880104756410575,4
0.5,init,30,0.58,0.0,0.07,0.14,2904585.6919723954,2993843.1919372333,0.05950499997655846,4
0.5,init,30,0.6,-0.005,0.05,0.14,2835225.6381667587,2927824.1705584535,0.06173235492779637,4
0.5,init,30,0.6,-0.005,0.05,0.16,2834310.718631259,2923559.5354353725,0.05949921120274209,4
