lambda_dd,phase,horizon,threshold,limit,take_profit,stop_loss,objective_mean,final_capital_mean,max_drawdown_mean,folds
0.5,init,20,0.61,0.002,0.06,0.14,3167979.015897459,3212164.507,0.02945699406836047,4
0.5,init,20,0.63,-0.0025,0.06,0.12,3134296.202449015,3170141.279375,0.023896717950656773,4
0.5,init,10,0.62,0.0,0.06,0.14,3128082.332949547,3131349.5,0.0021781113669686178,4
0.5,bo05,20,0.63,-0.0075,0.06,0.14,3127933.611883419,3166649.0362500004,0.025810282911054108,4
0.5,bo07,15,0.61,-0.0075,0.06,0.12,3101718.888829261,3128413.845,0.017796637447159196,4
0.5,bo04,25,0.63,-0.005,0.06,0.14,3100589.112089145,3158105.055,0.038343961940570034,4
0.5,bo09,20,0.63,0.0,0.07,0.12,3099907.830981047,3135356.875,0.023632696012635325,4
0.5,init,10,0.63,-0.005,0.07,0.1,3080067.450047131,3085791.5625,0.0038160749685790846,4
0.5,init,15,0.6,-0.0025,0.06,0.12,3067365.4265385764,3106853.8600000003,0.026325622307615988,4
0.5,init,10,0.61,-0.0025,0.06,0.14,3066395.2196176206,3087191.8378125,0.0138644121299196,4
0.5,bo11,20,0.63,-0.0025,0.07,0.14,3060219.933501604,3101577.9478125004,0.027572009540597287,4
0.5,bo03,5,0.63,-0.0025,0.05,0.14,3027981.7717181114,3028363.03125,0.00025417302125913574,4
0.5,bo12,30,0.64,0.0,0.06,0.1,3026968.968306877,3095516.7506103516,0.045698521535649614,4
0.5,bo02,5,0.6,-0.01,0.07,0.14,3024843.450670666,3025724.375,0.0005872828862226987,4
0.5,bo10,5,0.64,-0.0025,0.06,0.1,3023611.34375,3023811.40625,0.000133375,4
0.5,init,5,0.61,0.002,0.06,0.1,3022386.1464931527,3025555.37,0.0021128156712313783,4
0.5,bo01,35,0.62,-0.01,0.07,0.14,3010927.046954109,3085830.569991455,0.049935682024897426,4
0.5,bo06,5,0.61,-0.01,0.07,0.12,3009996.0786497407,3010622.0,0.00041728090017288064,4
0.5,init,25,0.6,0.002,0.05,0.12,2935067.2323638294,3019480.818551239,0.056275724124939586,4
0.5,bo08,40,0.63,0.0,0.06,0.14,2817348.0883062463,2914075.547302246,0.06448497266399995,4
0.75,init,25,0.62,-0.01,0.07,0.14,3147834.5116193406,3184663.6081250003,0.016368487335848617,4
0.75,init,15,0.62,0.0,0.05,0.12,3097692.04448981,3157555.5625,0.026606008004528996,4
0.75,bo07,10,0.6,0.0,0.05,0.14,3088974.6333529567,3122475.75,0.014889385176463616,4
0.75,init,20,0.61,0.0,0.06,0.1,3087275.126270935,3146799.125,0.026455110546251014,4
0.75,bo01,20,0.62,-0.01,0.07,0.12,3079783.6745692156,3125168.8899999997,0.02017120685812633,4
0.75,bo02,10,0.61,-0.01,0.05,0.12,3062630.8168331767,3090492.33125,0.012382895296365678,4
0.75,bo04,10,0.63,0.002,0.05,0.1,3059307.367239322,3097082.7875,0.016789075671412447,4
0.75,init,10,0.61,-0.0075,0.06,0.14,3047444.6003174344,3079182.909375,0.014105915136695747,4
0.75,init,5,0.62,-0.005,0.05,0.1,3038533.892421418,3039442.9375,0.00040402003492545294,4
0.75,bo06,35,0.64,0.0,0.07,0.14,3021522.571189251,3119726.9375,0.04364638502699981,4
0.75,bo05,5,0.64,-0.005,0.05,0.1,3020700.25,3021612.4375,0.00040541666666666666,4
0.75,init,5,0.62,-0.005,0.07,0.12,3012439.454921418,3012951.0,0.00022735336825878628,4
0.75,bo09,30,0.63,-0.005,0.05,0.1,2916973.478373351,3025095.1197280893,0.04805406282432806,4
0.75,bo08,40,0.63,-0.0075,0.07,0.1,2875966.5669487044,2996738.5174899288,0.053676422462766576,4
0.75,bo03,40,0.6,-0.01,0.07,0.12,2867934.0646830956,2982513.828785629,0.05092433960112602,4
0.75,init,40,0.62,-0.01,0.06,0.1,2847377.0031881747,2958554.6252423096,0.04941227646850444,4
0.75,bo10,40,0.64,-0.01,0.05,0.12,2814749.869309628,2958505.5428447723,0.06389141046006414,4
0.75,bo11,30,0.6,0.002,0.06,0.1,2787311.0033311443,2940707.3969427487,0.06817617493849068,4
0.75,init,25,0.6,0.002,0.05,0.1,2763185.282934046,2926331.434589844,0.07250940073591039,4
0.75,bo12,40,0.61,0.0,0.06,0.14,2759583.636034932,2925677.5239105225,0.07381950572248461,4
