lambda_dd,phase,horizon,threshold,limit,take_profit,stop_loss,objective_mean,final_capital_mean,max_drawdown_mean,folds
0.5,bo11,20,0.61,-0.0075,0.06,0.1,3226558.617906296,3264593.181882325,0.025356375984019297,4
0.5,bo01,25,0.62,0.002,0.07,0.12,3218943.0553771807,3272459.3927499996,0.03567755824854626,4
0.5,init,25,0.63,0.002,0.07,0.12,3216383.044101876,3268909.031,0.035017324598749205,4
0.5,bo18,25,0.61,0.0,0.06,0.14,3207575.782260621,3263356.1251831055,0.03718689528165617,4
0.5,init,20,0.6,-0.0075,0.05,0.14,3184380.68377979,3251677.917497483,0.04486482247846213,4
0.5,bo10,25,0.6,-0.0075,0.07,0.12,3172748.677953486,3231533.977961427,0.03919020000529394,4
0.5,bo21,15,0.61,-0.005,0.06,0.1,3170372.436728332,3204827.8706250004,0.02297028926444545,4
0.5,bo20,20,0.6,-0.005,0.07,0.1,3167792.190713084,3208870.2484667967,0.027385371835808737,4
0.5,bo05,15,0.61,0.0,0.06,0.12,3164525.8478623456,3202453.5,0.025285101425102853,4
0.5,bo07,20,0.61,0.002,0.05,0.12,3162090.1200430715,3228397.0250272835,0.044204603322808025,4
0.5,bo09,25,0.63,-0.0025,0.07,0.12,3160780.1165371644,3223618.83921875,0.04189248178772349,4
0.5,init,15,0.62,-0.0025,0.07,0.12,3149146.6576250303,3177519.288125,0.01891508699997968,4
0.5,bo04,25,0.6,0.002,0.06,0.14,3143746.739166279,3224115.4092379147,0.053579113381090934,4
0.5,bo17,15,0.62,-0.01,0.06,0.12,3126739.524972876,3165204.2975000003,0.025643181684749477,4
0.5,init,15,0.6,-0.005,0.07,0.12,3125560.531353606,3164415.6918749996,0.025903440347595938,4
0.5,bo15,25,0.63,-0.0075,0.06,0.14,3111179.8970170785,3180664.8893676763,0.04632332823373181,4
0.5,init,25,0.62,-0.01,0.07,0.1,3111162.194162593,3168263.574375001,0.038067586808271645,4
0.5,bo24,15,0.62,0.002,0.06,0.1,3107556.3289349778,3144925.4845000007,0.024912770376682127,4
0.5,bo02,15,0.61,-0.0075,0.07,0.14,3104020.762975336,3142503.0184375006,0.025654836974776295,4
0.5,bo12,25,0.6,0.002,0.07,0.1,3094520.1068650847,3173372.1501249997,0.052568028839943444,4
0.5,bo13,25,0.63,0.002,0.05,0.12,3093318.869573622,3154535.1300126356,0.04081084029267573,4
0.5,bo08,15,0.63,-0.01,0.07,0.12,3092544.2546559563,3122805.69125,0.020174291062696026,4
0.5,init,15,0.64,-0.0025,0.07,0.12,3084399.878112694,3114898.88875,0.02033267375820403,4
0.5,bo06,20,0.61,0.002,0.05,0.14,3081162.3133273004,3179350.1797772828,0.06545857763332202,4
0.5,bo19,15,0.64,-0.0025,0.07,0.14,3080447.207498736,3112253.81125,0.021204402500842275,4
0.5,init,15,0.61,0.002,0.06,0.14,3071986.3988473397,3134038.2570000007,0.04136790543510761,4
0.5,init,15,0.64,-0.0075,0.06,0.1,3071708.807429557,3107424.334375,0.023810351296962188,4
0.5,init,25,0.64,-0.01,0.06,0.1,3062333.4152097073,3135989.73875,0.049104215693528505,4
0.5,bo16,20,0.63,0.002,0.05,0.12,3058475.4678483387,3140701.4256250006,0.05481730518444109,4
0.5,bo03,25,0.63,-0.005,0.05,0.14,3055672.948808672,3126119.3991792295,0.046964300247038196,4
0.5,bo23,25,0.6,-0.0025,0.07,0.1,3054778.5960041117,3139414.555626526,0.056423973081609125,4
0.5,init,15,0.62,-0.01,0.07,0.1,3050765.278241047,3085677.5887499996,0.023274873672635237,4
0.5,bo25,15,0.6,-0.01,0.07,0.1,3041799.5677196896,3084846.06625,0.02869766568687374,4
0.5,bo22,25,0.6,-0.01,0.05,0.12,3035287.1557260663,3111056.546250764,0.05051292701646524,4
0.5,bo14,25,0.62,0.002,0.05,0.1,3013381.1330969855,3089814.732759095,0.05095573310807293,4
0.75,init,20,0.61,-0.0075,0.05,0.12,3256031.0685237767,3339782.077184983,0.03722267051609163,4
0.75,bo23,20,0.62,0.0,0.06,0.14,3237146.211931421,3307646.375,0.031333405808257414,4
0.75,bo24,20,0.61,-0.005,0.06,0.12,3228621.2489604247,3287762.313125,0.02628491740647796,4
0.75,bo13,25,0.6,-0.0075,0.06,0.12,3219401.399958688,3315468.819552156,0.04269663093043023,4
0.75,init,20,0.64,-0.0075,0.05,0.14,3191731.5647281753,3269316.6057505044,0.03448224045436841,4
0.75,bo25,25,0.6,-0.0075,0.06,0.14,3191543.689158265,3280530.124552156,0.03954952684172927,4
0.75,init,20,0.62,0.0,0.07,0.12,3171364.1889400487,3234080.625,0.027873971582200542,4
0.75,bo18,25,0.64,0.002,0.07,0.12,3157481.3641808396,3241836.572875001,0.03749120386407153,4
0.75,init,25,0.62,-0.0075,0.06,0.12,3150666.0078961533,3227552.6524926764,0.03417184204289937,4
0.75,bo14,15,0.61,0.0,0.06,0.1,3140194.7412973484,3189162.0,0.021763226090067346,4
0.75,init,25,0.62,-0.0075,0.06,0.1,3139094.174119896,3206790.4192940528,0.030087220077403196,4
0.75,init,20,0.61,-0.005,0.05,0.12,3135275.52469603,3238536.640778351,0.045893829369920244,4
0.75,bo15,25,0.6,-0.005,0.06,0.1,3130965.621353752,3219817.6492906185,0.039489790194162856,4
0.75,init,25,0.62,-0.005,0.06,0.14,3129774.0957379043,3220626.4559301753,0.04037882675212039,4
0.75,bo08,15,0.62,-0.005,0.07,0.14,3126898.834044613,3171342.5874999994,0.01975277931350518,4
0.75,bo17,25,0.62,0.002,0.07,0.14,3116062.634833218,3221827.3237500004,0.04700652840745881,4
0.75,bo22,25,0.61,-0.005,0.07,0.12,3109755.306083229,3215568.7949926755,0.04702821729308747,4
0.75,bo21,15,0.64,-0.0075,0.06,0.14,3104101.20768627,3150671.0918750004,0.020697726306102608,4
0.75,bo11,20,0.61,-0.01,0.07,0.1,3100736.3375387257,3165827.6169042974,0.028929457495809552,4
0.75,bo02,15,0.6,0.0,0.07,0.12,3098262.5805541994,3158288.375,0.026678130864800358,4
0.75,bo05,20,0.63,-0.0025,0.07,0.1,3093759.8398124794,3164032.2684374996,0.03123219050000923,4
0.75,init,20,0.61,-0.0025,0.05,0.1,3091017.382751056,3195799.5267154695,0.046569841761961724,4
0.75,init,25,0.64,0.002,0.06,0.12,3087871.193737275,3196542.3050000006,0.04829827167232249,4
0.75,bo09,15,0.64,-0.01,0.07,0.14,3078132.400727632,3116735.74875,0.017157043565496834,4
0.75,bo10,25,0.64,-0.005,0.06,0.12,3077965.5628037257,3182230.3946801755,0.046339925278422206,4
0.75,bo06,20,0.63,-0.01,0.07,0.1,3075996.76976485,3146368.6787500004,0.03127640399340004,4
0.75,bo16,15,0.63,-0.005,0.07,0.1,3074362.2619627407,3122651.5862499997,0.02146192190544835,4
