lambda_dd,phase,horizon,threshold,limit,take_profit,stop_loss,objective_mean,final_capital_mean,max_drawdown_mean,folds
0.5,bo11,10,0.62,-0.0025,0.07,0.14,3108742.255821442,3109967.6567509025,0.0008169339529735026,4
0.5,bo09,10,0.62,-0.0025,0.07,0.16,3108742.255821442,3109967.6567509025,0.0008169339529735026,4
0.5,bo06,10,0.62,-0.0025,0.07,0.12,3108742.255821442,3109967.6567509025,0.0008169339529735026,4
0.5,init,10,0.58,0.0,0.05,0.12,3103790.3959580455,3127152.144004793,0.015574498697831556,4
0.5,init,10,0.64,0.0,0.07,0.14,3101863.7815636145,3102418.9052332495,0.00037008244642332505,4
0.5,bo08,10,0.62,-0.005,0.07,0.14,3100333.8250573315,3101347.7572578564,0.0006759548003497707,4
0.5,init,10,0.62,0.0,0.07,0.1,3094540.5468063494,3100090.223941839,0.0036997847569927487,4
0.5,bo12,10,0.64,-0.005,0.07,0.1,3090296.7315460546,3090771.1686845063,0.00031629142563457073,4
0.5,bo10,10,0.6,0.0,0.05,0.16,3088732.7187792156,3109069.3638702687,0.013557763394035461,4
0.5,init,10,0.64,-0.005,0.06,0.14,3081264.8355317707,3090875.6849687686,0.006407232957998863,4
0.5,bo04,20,0.66,-0.005,0.07,0.14,3079858.1391898403,3104874.552711119,0.01667760901418562,4
0.5,bo07,10,0.58,0.0,0.06,0.12,3074902.014983868,3095216.605365099,0.013543060254154266,4
0.5,init,25,0.64,-0.005,0.06,0.14,3072505.379574864,3130142.739692297,0.03842490674495523,4
0.5,init,15,0.62,0.0,0.06,0.12,3070477.6266014483,3106634.333625664,0.024104471349477165,4
0.5,bo05,10,0.66,-0.0025,0.06,0.14,3066167.0618638257,3067747.9669510406,0.001053936724810001,4
0.5,init,15,0.6,0.0,0.07,0.14,3060293.1803307617,3093088.2733728727,0.021863395361407523,4
0.5,bo01,25,0.66,-0.0025,0.06,0.1,3020063.2897615586,3087832.8896688325,0.04517973327151629,4
0.5,bo02,30,0.62,-0.0025,0.07,0.12,3000282.5699526295,3063963.4146363,0.04245389645578017,4
0.5,init,15,0.6,-0.0025,0.05,0.1,2992345.6975815217,3068261.788761519,0.0506107274533318,4
0.5,init,30,0.58,0.0,0.07,0.14,2944192.611299745,3028546.3860156354,0.05623584981059402,4
0.5,bo03,25,0.6,-0.005,0.05,0.12,2894705.020376653,2986206.0367644886,0.06100067759189051,4
0.5,init,30,0.6,-0.005,0.05,0.16,2870098.7718884014,2951229.0409060065,0.05408684601173671,4
