lambda_dd,phase,horizon,threshold,limit,take_profit,stop_loss,objective_mean,final_capital_mean,max_drawdown_mean,folds
0.5,bo08,10,0.62,-0.0025,0.07,0.14,3097884.885939588,3099872.068174312,0.0013247881564830443,4
0.5,init,10,0.64,0.0,0.07,0.14,3093432.2715453957,3094488.687165,0.0007042770797362444,4
0.5,bo04,10,0.64,-0.0025,0.07,0.16,3088966.4096021596,3090297.1731508123,0.0008871756991016197,4
0.5,init,10,0.58,0.0,0.05,0.12,3071806.819518636,3097975.9095022925,0.017446059989104507,4
0.5,init,10,0.64,-0.005,0.06,0.14,3068809.2308415966,3079377.4678128753,0.007045491314185673,4
0.5,bo05,10,0.66,0.0,0.06,0.14,3060371.327358349,3061669.431693,0.0008654028897672226,4
0.5,bo07,10,0.6,-0.005,0.07,0.16,3056434.288452701,3072201.981844125,0.010511795594282496,4
0.5,bo03,10,0.66,-0.0025,0.07,0.12,3049435.9756717198,3050772.8383190627,0.0008912417648951704,4
0.5,bo06,10,0.66,-0.005,0.07,0.16,3048752.178035625,3049439.341096875,0.0004581087075000385,4
0.5,init,15,0.62,0.0,0.06,0.12,3032160.073843076,3071341.373574076,0.02612086648733372,4
0.5,init,15,0.6,0.0,0.07,0.14,3029792.334571802,3065168.115443038,0.023583853914157255,4
0.5,init,25,0.64,-0.005,0.06,0.14,3007600.2896426045,3074071.146215426,0.044313904381880945,4
0.5,bo01,30,0.6,-0.005,0.06,0.14,2921237.8231021166,3002168.0377523405,0.05395347643348288,4
0.5,init,15,0.6,-0.0025,0.05,0.1,2919524.00095103,3004338.010432119,0.056542672987393225,4
0.5,init,30,0.6,-0.005,0.05,0.16,2793119.828914299,2891161.518814788,0.06536112660032575,4
0.5,bo02,30,0.58,0.0,0.05,0.16,2718554.257583053,2833117.8659467762,0.07637573890914921,4
