week,情報・通信業,サービス業,卸売業,小売業,電気機器,機械,化学,建設業,不動産業,銀行業,その他
1,587,527,289,325,227,212,204,142,130,78,986
2,249,227,91,125,89,66,64,43,38,57,326
3,135,123,65,73,46,49,35,17,29,40,198
4,221,204,81,90,73,80,58,31,54,48,292
5,255,214,104,114,62,70,57,49,61,67,337
6,207,154,76,76,65,56,55,68,44,37,289
7,271,225,99,94,70,66,79,75,55,28,355
8,110,109,50,47,28,33,28,21,26,30,182
9,66,81,51,63,21,30,27,18,31,9,184
10,65,66,65,70,25,48,48,36,27,10,217
11,88,87,75,73,36,46,43,25,36,40,246
12,106,103,84,80,38,46,51,46,45,57,326
13,97,98,62,86,21,26,36,28,39,36,202
14,14,18,7,17,4,1,1,4,12,0,23
15,39,27,18,57,5,8,2,6,21,0,49
16,82,65,32,73,9,11,18,19,30,2,104
17,64,51,35,59,11,13,11,32,19,1,99
18,47,24,20,25,11,7,9,22,16,1,60
19,98,58,66,42,31,30,15,44,34,17,122
20,120,92,49,42,25,23,21,24,24,5,104
21,84,57,30,22,23,16,9,20,16,6,72
22,111,80,44,31,36,30,21,25,22,8,128
23,124,72,58,37,32,29,14,27,24,11,128
24,121,72,50,32,31,20,19,24,19,7,98
25,92,89,37,52,32,30,14,36,23,8,108
26,95,88,41,45,49,36,21,35,18,6,109
27,50,46,38,44,23,22,20,34,15,15,95
28,56,80,71,56,30,28,33,47,24,33,147
29,59,44,46,40,23,32,24,34,14,28,92
30,82,75,67,37,37,52,46,53,23,47,217
31,101,91,86,64,55,51,52,75,38,15,244
32,130,121,107,79,69,71,69,90,55,37,313
33,126,120,81,51,63,61,53,45,49,63,259
34,104,110,90,58,55,51,55,39,54,62,259
35,68,87,68,47,45,38,42,29,37,17,215
36,64,78,92,47,63,57,59,56,54,16,298
37,62,53,65,47,69,43,33,35,40,25,177
38,74,44,51,37,65,34,43,15,30,10,149
39,70,64,59,39,52,42,40,27,30,49,173
40,30,33,23,17,51,35,21,13,13,4,75
41,25,21,17,12,36,24,20,16,10,11,77
42,24,21,19,15,27,20,12,15,9,9,71
43,35,28,48,15,76,52,34,50,10,30,137
44,25,14,16,6,67,33,25,42,4,24,81
45,20,21,28,10,34,24,21,41,8,36,107
46,39,42,37,15,34,32,40,46,18,41,147
47,30,28,20,17,9,14,19,22,15,35,99
48,48,33,48,24,33,33,51,47,20,67,180
49,24,22,30,12,38,26,27,15,5,23,92
50,35,30,51,18,38,36,39,29,9,48,133
51,31,46,48,22,25,20,44,31,14,44,129
52,40,48,65,26,35,24,50,44,21,40,174
