week,タイヤ・ゴム,損害保険,地方銀行,生命保険,非鉄金属,銀行,設備工事,ドラッグストア,電気ガス,ガス,空運業,ゴム製品,パルプ紙,大手銀行,家電・コンピュータ小売り,ガラス土石,電気・ガス業,水産農林,リース・消費者金融,ゴム,空運,非鉄金属・金属製品,不動産,鉱業,保険,大幅増額,石油石炭,小売,コンビニ・食品小売り,ガラス・土石製品,民生用エレクトロニクス,保険業,建設,増額,飲料,建設農業機械・産業車両,大幅減額,電子デバイス製造装置,証券先物,その他金融,総合スーパー,石油・石炭製品,不動産(住宅),不動産(非住宅),パッケージソフト,食品,建設関連製品・設備,前号並み,事務機器,水産・農林業,その他
1,100.0,100.0,100.0,100.0,88.88888888888889,100.0,96.7741935483871,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,98.48484848484848,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.10793237971392
2,50.0,100.0,72.72727272727273,50.0,66.66666666666666,72.22222222222221,25.806451612903224,50.0,0.0,14.285714285714285,0.0,40.0,0.0,75.0,55.55555555555556,22.22222222222222,0.0,50.0,8.333333333333332,0.0,0.0,41.66666666666667,23.52941176470588,50.0,42.857142857142854,100.0,0.0,47.45762711864407,28.000000000000004,0.0,60.0,0.0,34.48275862068966,40.0,7.6923076923076925,24.137931034482758,60.0,61.111111111111114,0.0,20.0,0.0,0.0,31.818181818181817,45.45454545454545,41.935483870967744,33.33333333333333,32.55813953488372,27.27272727272727,18.181818181818183,0.0,34.070221066319895
3,50.0,50.0,52.72727272727272,50.0,22.22222222222222,50.0,6.451612903225806,33.33333333333333,0.0,28.57142857142857,0.0,0.0,0.0,50.0,33.33333333333333,22.22222222222222,0.0,0.0,0.0,0.0,0.0,37.5,35.294117647058826,50.0,42.857142857142854,0.0,0.0,18.64406779661017,12.0,25.0,20.0,0.0,24.137931034482758,13.333333333333334,23.076923076923077,27.586206896551722,40.0,16.666666666666664,0.0,0.0,28.57142857142857,0.0,16.666666666666664,24.242424242424242,30.64516129032258,19.65811965811966,20.930232558139537,18.181818181818183,36.36363636363637,100.0,19.733420026007803
4,75.0,0.0,60.0,100.0,55.55555555555556,66.66666666666666,6.451612903225806,66.66666666666666,0.0,14.285714285714285,100.0,20.0,100.0,25.0,33.33333333333333,11.11111111111111,0.0,50.0,8.333333333333332,0.0,0.0,50.0,47.05882352941176,0.0,28.57142857142857,0.0,0.0,27.11864406779661,16.0,25.0,60.0,66.66666666666666,27.586206896551722,46.666666666666664,15.384615384615385,37.93103448275862,60.0,36.11111111111111,66.66666666666666,20.0,28.57142857142857,0.0,33.33333333333333,60.60606060606061,37.096774193548384,28.205128205128204,18.6046511627907,45.45454545454545,36.36363636363637,100.0,30.299089726918076
5,75.0,50.0,89.0909090909091,100.0,33.33333333333333,77.77777777777779,45.16129032258064,16.666666666666664,25.0,14.285714285714285,100.0,60.0,0.0,50.0,66.66666666666666,11.11111111111111,0.0,0.0,25.0,0.0,100.0,45.83333333333333,35.294117647058826,50.0,28.57142857142857,50.0,0.0,33.89830508474576,28.000000000000004,25.0,80.0,0.0,34.48275862068966,56.666666666666664,7.6923076923076925,41.37931034482759,20.0,13.88888888888889,66.66666666666666,0.0,42.857142857142854,0.0,51.515151515151516,54.54545454545454,45.16129032258064,38.46153846153847,32.55813953488372,36.36363636363637,45.45454545454545,100.0,33.387516254876466
6,75.0,50.0,52.72727272727272,0.0,0.0,27.77777777777778,38.70967741935484,0.0,0.0,14.285714285714285,100.0,20.0,25.0,25.0,22.22222222222222,44.44444444444444,0.0,0.0,33.33333333333333,0.0,0.0,45.83333333333333,23.52941176470588,0.0,42.857142857142854,50.0,0.0,28.8135593220339,16.0,25.0,60.0,0.0,62.06896551724138,40.0,15.384615384615385,27.586206896551722,0.0,13.88888888888889,0.0,40.0,14.285714285714285,0.0,36.36363636363637,30.303030303030305,24.193548387096776,32.47863247863248,39.53488372093023,31.818181818181817,9.090909090909092,100.0,27.860858257477243
7,100.0,50.0,29.09090909090909,50.0,33.33333333333333,61.111111111111114,51.61290322580645,16.666666666666664,25.0,14.285714285714285,100.0,60.0,25.0,25.0,0.0,33.33333333333333,33.33333333333333,0.0,8.333333333333332,0.0,100.0,54.166666666666664,23.52941176470588,0.0,57.14285714285714,50.0,100.0,44.06779661016949,36.0,0.0,40.0,0.0,41.37931034482759,36.666666666666664,46.15384615384615,41.37931034482759,20.0,25.0,0.0,80.0,14.285714285714285,33.33333333333333,51.515151515151516,33.33333333333333,48.38709677419355,35.04273504273504,41.86046511627907,31.818181818181817,36.36363636363637,100.0,35.338101430429134
8,0.0,50.0,36.36363636363637,0.0,0.0,55.55555555555556,9.67741935483871,33.33333333333333,25.0,0.0,100.0,20.0,25.0,0.0,11.11111111111111,33.33333333333333,33.33333333333333,0.0,16.666666666666664,0.0,0.0,29.166666666666668,17.647058823529413,0.0,14.285714285714285,0.0,0.0,25.423728813559322,8.0,0.0,40.0,33.33333333333333,13.793103448275861,23.333333333333332,23.076923076923077,17.24137931034483,20.0,11.11111111111111,0.0,0.0,14.285714285714285,33.33333333333333,22.727272727272727,21.21212121212121,19.35483870967742,17.094017094017094,34.883720930232556,13.636363636363635,9.090909090909092,0.0,15.83224967490247
9,25.0,50.0,9.090909090909092,0.0,11.11111111111111,22.22222222222222,16.129032258064516,33.33333333333333,25.0,28.57142857142857,0.0,0.0,25.0,25.0,22.22222222222222,22.22222222222222,0.0,0.0,8.333333333333332,0.0,0.0,29.166666666666668,17.647058823529413,0.0,14.285714285714285,0.0,0.0,30.508474576271187,28.000000000000004,25.0,40.0,0.0,6.896551724137931,20.0,30.76923076923077,17.24137931034483,20.0,8.333333333333332,0.0,20.0,28.57142857142857,0.0,25.757575757575758,27.27272727272727,22.58064516129032,18.803418803418804,13.953488372093023,22.727272727272727,0.0,0.0,13.52405721716515
10,50.0,50.0,12.727272727272727,0.0,33.33333333333333,16.666666666666664,19.35483870967742,16.666666666666664,25.0,28.57142857142857,0.0,20.0,25.0,0.0,33.33333333333333,44.44444444444444,0.0,0.0,16.666666666666664,100.0,0.0,37.5,11.76470588235294,0.0,14.285714285714285,0.0,100.0,32.20338983050847,36.0,50.0,40.0,0.0,27.586206896551722,26.666666666666668,23.076923076923077,37.93103448275862,20.0,5.555555555555555,0.0,0.0,28.57142857142857,0.0,24.242424242424242,21.21212121212121,16.129032258064516,21.367521367521366,20.930232558139537,27.27272727272727,9.090909090909092,0.0,15.767230169050714
