week,タイヤ・ゴム,損害保険,地方銀行,生命保険,非鉄金属,設備工事,銀行,空運業,電気ガス,ドラッグストア,パルプ紙,水産農林,リース・消費者金融,ゴム製品,家電・コンピュータ小売り,ガラス土石,ゴム,大手銀行,ガス,鉱業,電気・ガス業,不動産,空運,ガラス・土石製品,証券先物,保険業,飲料,保険,大幅減額,電子デバイス製造装置,民生用エレクトロニクス,大幅増額,石油石炭,非鉄金属・金属製品,コンビニ・食品小売り,水産・農林業,建設,小売,パッケージソフト,電気機器,百貨店,総合スーパー,石油・石炭製品,増額,建設農業機械・産業車両,225,前号並み,その他金融,建設・土木,不動産(住宅),不動産(非住宅),食品,建設関連製品・設備,鉄道,減額,事務機器,その他金融業,倉庫運輸,その他
1,100.0,100.0,100.0,100.0,88.88888888888889,96.7741935483871,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,100.0,100.0,75.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.5064935064935,100.0,100.0,33.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,98.48484848484848,100.0,100.0,100.0,100.0,100.0,100.0,72.72727272727273,100.0,92.86214135759272
2,50.0,100.0,72.72727272727273,50.0,66.66666666666666,25.806451612903224,72.22222222222221,0.0,0.0,50.0,0.0,50.0,8.333333333333332,40.0,55.55555555555556,22.22222222222222,0.0,75.0,14.285714285714285,50.0,0.0,23.52941176470588,0.0,0.0,0.0,0.0,7.6923076923076925,42.857142857142854,60.0,61.111111111111114,60.0,100.0,0.0,41.66666666666667,28.000000000000004,0.0,34.48275862068966,47.45762711864407,41.935483870967744,29.87012987012987,40.0,0.0,0.0,40.0,24.137931034482758,28.57142857142857,27.27272727272727,20.0,29.268292682926827,31.818181818181817,45.45454545454545,33.33333333333333,32.55813953488372,35.714285714285715,16.666666666666664,18.181818181818183,9.090909090909092,33.33333333333333,34.49965010496851
3,50.0,50.0,52.72727272727272,50.0,22.22222222222222,6.451612903225806,50.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,22.22222222222222,0.0,50.0,28.57142857142857,50.0,0.0,35.294117647058826,0.0,25.0,0.0,0.0,23.076923076923077,42.857142857142854,40.0,16.666666666666664,20.0,0.0,0.0,37.5,12.0,100.0,24.137931034482758,18.64406779661017,30.64516129032258,23.376623376623375,40.0,28.57142857142857,0.0,13.333333333333334,27.586206896551722,14.285714285714285,18.181818181818183,0.0,10.975609756097562,16.666666666666664,24.242424242424242,19.65811965811966,20.930232558139537,14.285714285714285,33.33333333333333,36.36363636363637,18.181818181818183,0.0,19.8740377886634
4,75.0,0.0,60.0,100.0,55.55555555555556,6.451612903225806,66.66666666666666,100.0,0.0,66.66666666666666,100.0,50.0,8.333333333333332,20.0,33.33333333333333,11.11111111111111,0.0,25.0,14.285714285714285,0.0,0.0,47.05882352941176,0.0,25.0,66.66666666666666,66.66666666666666,15.384615384615385,28.57142857142857,60.0,36.11111111111111,60.0,0.0,0.0,50.0,16.0,100.0,27.586206896551722,27.11864406779661,37.096774193548384,33.76623376623377,40.0,28.57142857142857,0.0,46.666666666666664,37.93103448275862,28.57142857142857,45.45454545454545,20.0,20.73170731707317,33.33333333333333,60.60606060606061,28.205128205128204,18.6046511627907,35.714285714285715,25.0,36.36363636363637,45.45454545454545,33.33333333333333,30.405878236529045
5,75.0,50.0,89.0909090909091,100.0,33.33333333333333,45.16129032258064,77.77777777777779,100.0,25.0,16.666666666666664,0.0,0.0,25.0,60.0,66.66666666666666,11.11111111111111,0.0,50.0,14.285714285714285,50.0,0.0,35.294117647058826,100.0,25.0,66.66666666666666,0.0,7.6923076923076925,28.57142857142857,20.0,13.88888888888889,80.0,50.0,0.0,45.83333333333333,28.000000000000004,100.0,34.48275862068966,33.89830508474576,45.16129032258064,32.467532467532465,80.0,42.857142857142854,0.0,56.666666666666664,41.37931034482759,35.714285714285715,36.36363636363637,0.0,42.68292682926829,51.515151515151516,54.54545454545454,38.46153846153847,32.55813953488372,50.0,33.33333333333333,45.45454545454545,45.45454545454545,66.66666666666666,32.89013296011197
6,75.0,50.0,52.72727272727272,0.0,0.0,38.70967741935484,27.77777777777778,100.0,0.0,0.0,25.0,0.0,33.33333333333333,20.0,22.22222222222222,44.44444444444444,0.0,25.0,14.285714285714285,0.0,0.0,23.52941176470588,0.0,25.0,0.0,0.0,15.384615384615385,42.857142857142854,0.0,13.88888888888889,60.0,50.0,0.0,45.83333333333333,16.0,100.0,62.06896551724138,28.8135593220339,24.193548387096776,31.16883116883117,0.0,14.285714285714285,0.0,40.0,27.586206896551722,14.285714285714285,31.818181818181817,40.0,53.65853658536586,36.36363636363637,30.303030303030305,32.47863247863248,39.53488372093023,7.142857142857142,16.666666666666664,9.090909090909092,0.0,33.33333333333333,27.39678096571029
7,100.0,50.0,29.09090909090909,50.0,33.33333333333333,51.61290322580645,61.111111111111114,100.0,25.0,16.666666666666664,25.0,0.0,8.333333333333332,60.0,0.0,33.33333333333333,0.0,25.0,14.285714285714285,0.0,33.33333333333333,23.52941176470588,100.0,0.0,0.0,0.0,46.15384615384615,57.14285714285714,20.0,25.0,40.0,50.0,100.0,54.166666666666664,36.0,100.0,41.37931034482759,44.06779661016949,48.38709677419355,28.57142857142857,0.0,14.285714285714285,33.33333333333333,36.666666666666664,41.37931034482759,21.428571428571427,31.818181818181817,80.0,53.65853658536586,51.515151515151516,33.33333333333333,35.04273504273504,41.86046511627907,57.14285714285714,41.66666666666667,36.36363636363637,27.27272727272727,33.33333333333333,35.02449265220434
8,0.0,50.0,36.36363636363637,0.0,0.0,9.67741935483871,55.55555555555556,100.0,25.0,33.33333333333333,25.0,0.0,16.666666666666664,20.0,11.11111111111111,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,17.647058823529413,0.0,0.0,0.0,33.33333333333333,23.076923076923077,14.285714285714285,20.0,11.11111111111111,40.0,0.0,0.0,29.166666666666668,8.0,0.0,13.793103448275861,25.423728813559322,19.35483870967742,11.688311688311687,20.0,14.285714285714285,33.33333333333333,23.333333333333332,17.24137931034483,14.285714285714285,13.636363636363635,0.0,17.073170731707318,22.727272727272727,21.21212121212121,17.094017094017094,34.883720930232556,21.428571428571427,33.33333333333333,9.090909090909092,9.090909090909092,0.0,15.850244926522045
9,25.0,50.0,9.090909090909092,0.0,11.11111111111111,16.129032258064516,22.22222222222222,0.0,25.0,33.33333333333333,25.0,0.0,8.333333333333332,0.0,22.22222222222222,22.22222222222222,0.0,25.0,28.57142857142857,0.0,0.0,17.647058823529413,0.0,25.0,0.0,0.0,30.76923076923077,14.285714285714285,20.0,8.333333333333332,40.0,0.0,0.0,29.166666666666668,28.000000000000004,0.0,6.896551724137931,30.508474576271187,22.58064516129032,5.194805194805195,20.0,28.57142857142857,0.0,20.0,17.24137931034483,14.285714285714285,22.727272727272727,20.0,15.853658536585366,25.757575757575758,27.27272727272727,18.803418803418804,13.953488372093023,21.428571428571427,16.666666666666664,0.0,9.090909090909092,0.0,13.64590622813156
10,50.0,50.0,12.727272727272727,0.0,33.33333333333333,19.35483870967742,16.666666666666664,0.0,25.0,16.666666666666664,25.0,0.0,16.666666666666664,20.0,33.33333333333333,44.44444444444444,100.0,0.0,28.57142857142857,0.0,0.0,11.76470588235294,0.0,50.0,0.0,0.0,23.076923076923077,14.285714285714285,20.0,5.555555555555555,40.0,0.0,100.0,37.5,36.0,0.0,27.586206896551722,32.20338983050847,16.129032258064516,7.792207792207792,0.0,28.57142857142857,0.0,26.666666666666668,37.93103448275862,21.428571428571427,27.27272727272727,0.0,19.51219512195122,24.242424242424242,21.21212121212121,21.367521367521366,20.930232558139537,35.714285714285715,25.0,9.090909090909092,0.0,0.0,15.815255423372987
