week,情報・通信業,サービス業,卸売業,機械,化学,小売業,電気機器,建設業,不動産業,銀行業,食料品,輸送用機器,その他製品,金属製品,非鉄金属,陸運業,その他
1,587,527,289,212,204,325,227,142,130,78,123,86,106,85,32,57,497
2,249,227,91,66,64,125,89,43,38,57,33,27,40,32,18,16,160
3,135,123,65,49,35,73,46,17,29,40,20,13,22,21,13,7,102
4,221,204,81,80,58,90,73,31,54,48,29,25,33,19,18,26,142
5,255,214,104,70,57,114,62,49,61,67,32,34,32,29,16,32,162
6,207,154,76,56,55,76,65,68,44,37,32,21,31,35,12,13,145
7,271,225,99,66,79,94,70,75,55,28,38,25,42,38,18,22,172
8,110,109,50,33,28,47,28,21,26,30,18,11,20,19,8,15,91
9,66,81,51,30,27,63,21,18,31,9,27,12,19,16,6,20,84
10,65,66,65,48,48,70,25,36,27,10,34,20,19,16,8,22,98
11,88,87,75,46,43,73,36,25,36,40,39,24,15,24,12,19,113
12,106,103,84,46,51,80,38,46,45,57,41,40,27,28,14,22,154
13,97,98,62,26,36,86,21,28,39,36,28,13,25,12,11,11,102
14,14,18,7,1,1,17,4,4,12,0,4,2,3,1,0,2,11
15,39,27,18,8,2,57,5,6,21,0,20,1,6,0,0,5,17
16,82,65,32,11,18,73,9,19,30,2,38,3,11,6,1,9,36
17,64,51,35,13,11,59,11,32,19,1,31,2,9,6,0,9,42
18,47,24,20,7,9,25,11,22,16,1,13,3,7,6,0,5,26
19,98,58,66,30,15,42,31,44,34,17,22,10,10,12,0,13,55
20,120,92,49,23,21,42,25,24,24,5,10,10,15,13,0,6,50
21,84,57,30,16,9,22,23,20,16,6,7,8,10,4,1,6,36
22,111,80,44,30,21,31,36,25,22,8,14,14,11,5,3,7,74
23,124,72,58,29,14,37,32,27,24,11,14,13,12,9,7,10,63
24,121,72,50,20,19,32,31,24,19,7,10,9,8,7,3,9,52
25,92,89,37,30,14,52,32,36,23,8,12,11,7,9,1,9,59
26,95,88,41,36,21,45,49,35,18,6,9,13,8,12,4,8,55
27,50,46,38,22,20,44,23,34,15,15,12,6,10,11,5,12,39
28,56,80,71,28,33,56,30,47,24,33,15,10,16,17,5,9,75
29,59,44,46,32,24,40,23,34,14,28,11,8,11,11,5,8,38
30,82,75,67,52,46,37,37,53,23,47,19,26,25,24,9,11,103
31,101,91,86,51,52,64,55,75,38,15,25,29,21,24,15,20,110
32,130,121,107,71,69,79,69,90,55,37,31,37,33,27,16,25,144
33,126,120,81,61,53,51,63,45,49,63,21,35,23,16,13,17,134
34,104,110,90,51,55,58,55,39,54,62,26,38,16,22,12,16,129
35,68,87,68,38,42,47,45,29,37,17,17,34,15,23,16,11,99
36,64,78,92,57,59,47,63,56,54,16,27,37,22,33,14,22,143
37,62,53,65,43,33,47,69,35,40,25,17,15,18,15,8,10,94
38,74,44,51,34,43,37,65,15,30,10,20,14,14,21,5,7,68
39,70,64,59,42,40,39,52,27,30,49,20,18,20,21,10,13,71
40,30,33,23,35,21,17,51,13,13,4,7,10,2,11,10,4,31
41,25,21,17,24,20,12,36,16,10,11,7,8,2,7,11,2,40
42,24,21,19,20,12,15,27,15,9,9,6,6,4,8,10,5,32
43,35,28,48,52,34,15,76,50,10,30,9,25,8,16,13,8,58
44,25,14,16,33,25,6,67,42,4,24,9,9,6,8,11,2,36
45,20,21,28,24,21,10,34,41,8,36,10,12,3,11,5,6,60
46,39,42,37,32,40,15,34,46,18,41,17,18,11,13,9,7,72
47,30,28,20,14,19,17,9,22,15,35,15,5,6,3,4,7,59
48,48,33,48,33,51,24,33,47,20,67,20,18,10,12,6,10,104
49,24,22,30,26,27,12,38,15,5,23,6,6,7,8,6,5,54
50,35,30,51,36,39,18,38,29,9,48,8,18,6,11,8,9,73
51,31,46,48,20,44,22,25,31,14,44,14,20,6,7,6,7,69
52,40,48,65,24,50,26,35,44,21,40,16,19,10,13,8,10,98
