quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,ocr_style_label,adopt_flag,adopt_reason
2020Q1_PRE,5,9927.T,ワットマン,小売業,0.941908191604308,159.8179453836151,35.00000000000001,17.641005343124448,28.241335044929407,0.9441135169666293,22.836287799791457,75.0,100.0,100.0,249.75,6533,108.34202294056308,2019-12-31,2019-12-31,11.7,11.7,20.3,11.7,11.7,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.3>
11.7
<21.3>
9.1
实PER
高值平均
13.1
安值平均
5.9
PBR
0.69
株福（11/25)
8
1500P
CINH
最低購人额
15万内
8
国
单营特
9927
内新",3801.png,0.8306451612903226,0.5724378643755753,0.9577549188789025,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2"
2020Q1_PRE,14,7814.T,日本創発グループ,その他製品,0.9220736133932222,111.59420289855073,54.82502651113468,23.241736604078422,40.52780395852969,0.7975953832361459,20.299727520435972,75.0,97.92085848423878,100.0,365.0,6535,98.91008174386921,2019-12-31,2019-12-31,8.7,19.12,19.12,19.12,19.12,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<19.12>
8.7
<20.12>
7.6
实PER
高值平均
12.0
安值平均
8.4
PBR
1.20
株福（11/25)
2
十万样
1060P9
最低購人额
10万6000m
连特特
7814
汉增
桔株色",2841.png,0.845360824742268,0.485378950598343,0.9474665348917332,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2"
2020Q1_PRE,15,6508.T,明電舎,電気機器,0.9218231895180236,73.62007168458781,28.55626326963907,14.460282820291912,19.923161361141606,0.8130330716068991,15.12261580381471,83.33333333333334,99.50698438783895,100.0,2422.0,6535,64.98637602179838,2019-12-31,2019-12-31,12.2,12.2,20.3,12.2,12.2,medium,medium,low,low,low,"株伍指标
布正校
予想PER
（倍）
<20.3>
12.2
<21-3>
11.4
实PER
高值平均
17.1
安值平均
10.2
PBR
1.23
株福（11/25)
2
百万排
2105P9
最低購人额
21万500m
3
速装特
6508
粘道色",2173.png,0.8105726872246696,0.5722997852101872,0.9241788781130227,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2"
2020Q1_PRE,23,9468.T,ＫＡＤＯＫＡＷＡ,情報・通信業,0.9161240062355842,78.41296928327645,36.39921722113504,17.24492911705066,26.07669616519175,0.8507383975862011,13.640032284100078,75.0,97.84744969583528,100.0,1045.5,2814,68.76513317191284,2019-12-31,2019-12-31,10.9,10.9,20.3,10.9,10.9,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.3>
10.9
<21.3>
12.4
实PER
高值平均
63.1
安值平均
40.8
PBR
0.98
株福（11/25)
2
1689P9
最低購人额
16万8900m
9
女速营特
9468
土增
1精の色",3573.png,0.9172749391727494,0.5827631175207117,0.9345836305272294,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2"
2020Q1_PRE,24,9629.T,ピー・シー・エー,情報・通信業,0.915625444024403,147.57752529410428,31.193837276549054,21.909192055822167,28.781200526569386,0.8187110728685186,26.06382526969293,75.0,97.33333565848214,100.0,1703.3333740234375,6273,147.457640344139,2019-12-31,2019-12-31,17.3,17.3,20.3,17.3,17.3,medium,medium,low,low,low,"株伍指标
785
予想PER
（倍）
<20.3>
17.3
<21.3>
21.9
实敏PER
高值平均
43.8
安值平均
26.3
PBR
2.08
株福（11/25)
十万样
4115P9
最低購人额
41万1500m
8
下速特
9629
女精之色",3628.png,0.7311435523114356,0.5932264498312365,0.9407183720139962,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2"
2020Q1_PRE,25,5410.T,合同製鐵,鉄鋼,0.914142673607948,81.12965340179719,32.550493189290755,16.0260799159922,19.19235779418149,0.8687255352530316,11.098198721673446,75.0,98.32752613240419,90.0,2822.0,6276,63.974433468913425,2019-12-31,2019-12-31,5.9,5.9,20.3,5.9,5.9,medium,medium,low,low,low,"2745有正K
株伍指标
予想PER
（倍）
<20.3>
5.9
<21.3>
5.7
实敏PER
高值平均
13.7
安值平均
8.1
PBR
0.42
株福（11/25)
十万样
2606P9
最低購人额
26万600m
迎女特
5410
铁鍋
精色",1697.png,0.9473684210526315,0.5528613071494324,0.914294907854426,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2"
2020Q1_PRE,34,6823.T,リオン,電気機器,0.906681343358177,92.21484610742306,32.98538622129436,18.075996023290806,24.365045200172197,0.8994872139348639,18.508997429305918,66.66666666666666,99.53125,100.0,3185.0,6273,63.75321336760926,2019-12-31,2019-12-31,15.4,15.4,20.3,15.4,15.4,medium,medium,low,low,low,"株仙指标
予想PER
（倍）
<20.3>
15.4
<21.3>
15.0
实敏PER
高值平均
17.3
安值平均
9.3
PBR
1.58
株福（11/25)
-2
2818P9
最低購人额
28万1800用
15建特
6823
再
粘
色",2349.png,0.6607929515418502,0.5666922368824794,0.9260868794127465,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2"
2020Q1_PRE,36,8157.T,都築電気,情報・通信業,0.9054296535806514,109.69855832241153,38.16925734024179,16.132007549785364,17.266187050359715,0.7876378134947393,25.22658610271903,75.0,98.15950920245399,80.0,1600.0,6276,83.27605956471935,2019-12-31,2019-12-31,10.3,10.3,20.3,10.3,10.3,medium,medium,low,low,low,"1438
株伍指标
予想PER
（倍）
<20.3>
10.3
<21.3>
10.0
实敏PER
高值平均
8'6
安值平均
5.2
PBR
0.85
株福（11/25)
1408P9
最低購人额
14万800用
速比特
8157
又秸不色",3088.png,0.9428223844282239,0.5836222767720161,0.9042542589836248,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2"
2020Q1_PRE,44,2760.T,東京エレクトロン デバイス,卸売業,0.8978187439275643,57.175798036454985,32.37863685448992,14.59142609261599,22.774051947881713,0.772510635327442,11.590908688947199,75.0,99.38046426177036,100.0,909.0,5707,54.94317644489717,2019-12-31,2019-12-31,10.2,10.2,20.3,10.2,10.2,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<20.3>
10.2
<21.3>
6.4
实敏PER
高值平均
14.2
安值平均
10.4
PBR
0.86
株福（11/25)
十万样
2203P9
最低購人额
22万300m
成
工连產特
2760
卸
向增
1粘莱色",467.png,0.66,0.5261123043878491,0.8994274257922817,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2"
2020Q1_PRE,48,8117.T,中央自動車工業,卸売業,0.8934439957631796,87.76779569681912,33.05582663194537,17.273179326288314,26.25592782277264,0.8944881077518005,11.371468192301638,91.66666666666666,92.13292848542409,95.0,905.6666870117188,6470,77.58170333563112,2019-12-31,2019-12-31,9.4,9.4,20.3,9.4,9.4,medium,medium,low,low,low,"株伍指标
2485
予想PER
（倍）
<20.3>
9.4
<21.3>
9.4
实敏PER
高值平均
11.2
安值平均
7.1
PBR
1.73
株福（11/25)
十万样
2606P9
最低購人额
26万600m
3
连老特
8117
卸
美独
粘贩色",3058.png,0.7163636363636363,0.5316738263270941,0.9351078254469827,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2"
