quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,ocr_style_label
2020Q1_PRE,1,3910.T,エムケイシステム,情報・通信業,0.9456332870227442,283.21513002364065,59.70443349753693,43.24821234594716,82.44803695150115,0.9469812037177815,21.56448202959831,75.0,98.30200121285627,100.0,1621.0,2703,242.7061310782241,2019-12-31,2019-12-31,28.8,17.5,20.3,17.5,17.5,medium,medium,low,low,low,"株伍指标
证格
予想PER
（倍）
<20.3>
28.8
<21.3>
24.1
PER
高值平均
44.7
安值平均
17.5
PBR
6.37
株福（11/25)
6
1万排
1378P9
最低購人额
13万7800用
3
速亏特
3910
追增
精人色",1055.png,0.32968369829683697,0.5143065357471617,0.974800062423672,業績急伸型
2020Q1_PRE,2,3110.T,日東紡績,ガラス・土石製品,0.9449758525150777,166.78141135972461,38.187221396731054,20.699614934175745,28.481012658227844,0.9105309121344651,18.336162988115447,83.33333333333334,97.79179810725552,100.0,4650.0,6533,149.1961414790997,2019-12-31,2019-12-31,26.1,14.5,20.3,14.5,14.5,medium,medium,low,low,low,"3965车正楼
株伍指标
予想PER
（倍）
<20.3>
26.1
<21.3>
20.7
实镇PER
高值平均
14.5
安值平均
8.0
PBR
1.64
株福（11/25)
2
百万样
3900P9
CINH
最低購人额
39万内
3110
力
速先",620.png,0.16326530612244897,0.460417305922062,0.9667443139204129,業績急伸型
2020Q1_PRE,3,2413.T,エムスリー,サービス業,0.9439885579839697,126.52501713502397,23.597606581899775,14.175673707395632,22.789389067524123,0.9437492994912535,15.033887861983985,91.66666666666666,99.54819277108435,100.0,3305.0,5306,103.63524337646335,2019-12-31,2019-12-31,84.5,13.31,20.3,13.31,13.31,medium,medium,low,low,low,"株伍指标
2939布正楼
予想PER
（倍）
<20.3>
84.5
<21.3>
75.2
实敏PER
高值平均
83.2
安值平均
47.2
PBR
13.31
株福（11/25)
百万样
2991P9
CIH
最低購人额
29万9100月
6
他飞速了特
2413
莱增
工亏精製色",345.png,0.03968253968253968,0.42638846271862535,0.9434560165124085,業績急伸型
2020Q1_PRE,4,7508.T,Ｇ‐７ホールディングス,小売業,0.9431037434136479,121.87784867821333,56.27608346709469,19.733665914135244,28.196721311475414,0.9030176596217098,13.666666666666671,83.33333333333334,97.55511022044088,100.0,1217.0,6178,102.83333333333333,2019-12-31,2019-12-31,14.0,14.0,20.3,14.0,14.0,medium,medium,low,low,low,"4150
株仙指标
予想PER
（倍）
<20.3>
14.0
<21.3>
12.7
实敏PER
高值平均
13.5
安值平均
8.1
PBR
2.41
株福（11/25)
中
十万样
4195P9
最低購人额
41万9500m
5.
速1特
7508
色",2678.png,0.7580645161290323,0.5755676587910402,0.9678484196664525,業績急伸型
2020Q1_PRE,5,9927.T,ワットマン,小売業,0.941908191604308,159.8179453836151,35.00000000000001,17.641005343124448,28.241335044929407,0.9441135169666293,22.836287799791457,75.0,100.0,100.0,249.75,6533,108.34202294056308,2019-12-31,2019-12-31,11.7,11.7,20.3,11.7,11.7,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.3>
11.7
<21.3>
9.1
实PER
高值平均
13.1
安值平均
5.9
PBR
0.69
株福（11/25)
8
1500P
CINH
最低購人额
15万内
8
国
单营特
9927
内新",3801.png,0.8306451612903226,0.5724378643755753,0.9577549188789025,業績急伸型
2020Q1_PRE,6,4686.T,ジャストシステム,情報・通信業,0.9389254178433913,192.5430210325048,48.90510948905109,18.875822367783467,29.977116704805496,0.9321666981791145,19.29625425652668,91.66666666666666,95.92476489028213,100.0,6120.0,6535,154.04732254047323,2019-12-31,2019-12-31,42.9,18.8,20.3,18.8,18.8,medium,medium,low,low,low,"5680
株仙指标
予想PER
（倍）
<20.3>
42.9
<21.3>
38.2
实敏PER
高值平均
35.8
安值平均
18.8
PBR
7.23
株福（11/25)
3
5350P9
最低購人额
53万5000用
8
卜建特
4686
王增
精色",1466.png,0.19464720194647203,0.49577324332617373,0.9773157571347969,業績急伸型
2020Q1_PRE,7,4970.T,東洋合成工業,化学,0.9385066083266923,393.2432432432432,76.11580217129071,35.1273149900688,40.53823152498932,0.8857312786204283,21.715145436308923,83.33333333333334,96.68874172185431,90.0,4380.0,6482,361.0526315789474,2019-12-31,2019-12-31,14.5,14.5,20.3,14.5,14.5,medium,medium,low,low,low,"3815
株伍指标
予想PER
（倍）
<20.3>
14.5
<21.3>
17.4
实PER
高值平均
19.7
安值平均
9.2
PBR
2.74
株福（11/25)
十万样
3290P9
最低購人额
32万9000用
1
成，
32单料特
4970
1
速镜
11
独老色",1582.png,0.4791666666666667,0.5233814053390611,0.9628996784888836,業績急伸型
2020Q1_PRE,8,2471.T,エスプール,サービス業,0.9344919729620522,185.47297297297297,28.810975609756095,23.26589624377071,35.593220338983045,0.8607716576955653,21.50882825040128,75.0,99.64622641509435,100.0,845.0,4942,149.11555707263742,2019-12-31,2019-12-31,49.6,19.11,19.11,19.11,19.11,medium,medium,low,low,low,"720
株伍指标
予想PER
（倍）
<19.11>
49.6
<20.11>
41.7
实PER
高值平均
30.1
安值平均
9.6
PBR
18.96
株福（11/25)
6
655P9
最低購人额
6万5500
少速援特
2471
老最
工精の色",372.png,0.1349206349206349,0.31044799018103714,0.9450628325443072,業績急伸型
2020Q1_PRE,9,3038.T,神戸物産,卸売業,0.9331561968212916,122.55192878338276,41.50943396226414,20.06831891396658,25.5278310940499,0.9084348233734345,24.882260596546313,83.33333333333334,97.40259740259741,100.0,1875.0,4858,126.58610271903324,2019-12-31,2019-12-31,28.8,19.1,19.1,19.1,19.1,medium,medium,low,low,low,"3420有正K
株伍指标
予想PER
（倍）
<19.10>
28.8
<20.10>
27.1
实PER
高值平均
21.8
安值平均
9.3
PBR
8.67
株福（11/25)
3360P9
最低購人额
33万6000m
半3速F特
3038
卸
桔C色",568.png,0.09454545454545454,0.295581466707579,0.9627552472014157,業績急伸型
2020Q1_PRE,10,6951.T,日本電子,電気機器,0.9328680813331647,112.86811779769525,26.042456406368466,14.015208062820342,20.48917401764234,0.9187004891128184,19.162640901771333,83.33333333333334,98.66468842729971,100.0,3325.0,6276,78.47557702630166,2019-12-31,2019-12-31,28.2,3.35,20.3,3.35,3.35,medium,medium,low,low,low,"3095布正校
株伍指标
予想PER
（倍）
<20.3>
28.2
<21.3>
26.6
实镇PER
高值平均
60.0
安值平均
34.4
PBR
3.35
株福（11/25)
2
2918P9
最低購人额
29万1800用
0
6951
速置特
30",2427.png,0.2555066079295154,0.404779073335379,0.943393931997012,業績急伸型
2020Q1_PRE,11,6920.T,レーザーテック,電気機器,0.9324297005915363,317.8880120255543,62.335766423357676,25.55209114054293,26.781002638522434,0.851996281314848,29.24710424710425,91.66666666666666,96.19377162629758,100.0,5560.0,3943,241.62826420890937,2019-12-31,2019-12-31,39.4,14.0,20.6,14.0,14.0,medium,medium,low,low,low,"9190布正蔡
株伍指标
予想PER
（倍）
<20.6>
39.4
<21.6>
32.9
实敏PER
高值平均
37.4
安值平均
14.0
PBR
12.87
株福（11/25)
十万样
8750P9
最低購人额
87万5000用
4
数
16速>特
6920
普罐
精夕色",2408.png,0.15418502202643172,0.5840825406566431,0.9766058362459199,業績急伸型
2020Q1_PRE,12,7065.T,ユーピーアール,サービス業,0.930964364712895,263.40852130325817,140.46434494195688,56.62000924658373,80.38528896672506,0.8837206016701836,24.849397590361445,83.33333333333334,97.57738896366084,60.0,2900.0,1646,263.40852130325817,2019-12-31,2019-12-31,24.5,8.0,20.8,8.0,8.0,medium,medium,low,low,low,"株仙指标
2470
予想PER
（倍）
<20.8>
24.5
<21-8>
22.0
实敏PER
高值平均
14.9
安值平均
7.3
PBR
3.27
株倡（11/25）
-2
0
Itnh
十万样
1万24709
最低購人额
124万7000内
5.
7065
成
精>色",2494.png,0.39021164021164023,0.5982893525621357,0.9230254085825295,業績急伸型
2020Q1_PRE,13,6368.T,オルガノ,機械,0.9226626550711508,166.00790513833994,38.19301848049281,19.66708306982826,30.11542497376705,0.9288257264165881,12.352941176470589,75.0,97.39507959479016,55.00000000000001,1682.5,6276,147.9734708916728,2019-12-31,2019-12-31,13.0,13.0,20.3,13.0,13.0,medium,medium,low,low,low,"株伍指标
6870有正K
予想PER
（倍）
<20.3>
13.0
<21.3>
12.8
实PER
高值平均
12.2
安值平均
7.9
PBR
1.30
株福（11/25)
2
十万样
6570P9
最低購人额
65万7000用
品速強特
6368
超最
19精办色",2081.png,0.6650485436893204,0.5481896287204664,0.8966850448765531,業績急伸型
