image_file,image_no,ocr_metrics_text,code,ticker,company_name,sector,resolved
1.png,1,"株伍招桶
于PER
(倍)
20.3>
6'6
<21.3>
9.6
实精PER
商宿平均
14.3
安宿平均
6'6
PBR
0.87
株佰（2/27）
+万h
2676A
最低嘴大额
26万7600内
1301
0食建长特
水
)",1301.0,1301.T,極洋,水産・農林業,True
100.png,100,"株伍招桶
于PER
(倍)
20.3>
5.8
<21.3>
5.7
实精PER
商宿平均
5.2
安宿平均
3.5
PBR
0.44
株佰（2/27）
1999月9
最低嘴大额
19万9900用
他建装特
1798
0帮
)",1798.0,1798.T,守谷商会,建設業,True
1000.png,1000,"株仙指标
作正径
予想PER
（倍）
<20.6>
22.7
<21.6>
14.8
实續PER
高值平均
391.3
安值平均
128.3
PBR
1.99
株仙(2/27)
7
十万件
971月
仁用成
最低購人额
9万7100月
子一
連借特
3625
情報
采减
精工色",3625.0,3625.T,テックファームホールディングス,情報・通信業,True
1001.png,1001,"株仙指标
7320
予想PER
（倍）
<20.3>
19.5
<21.3>
18.7
实镇PER
高值平均
17.8
安值平均
12.0
PBR
2.31
株仙(2/27)
十万株
6700月
信用成
最低購人额
67万月
融速向特
3626
情蜗
最
I結时色",3626.0,3626.T,ＴＩＳ,情報・通信業,True
1002.png,1002,"株仙指标
修正径
予想PER
（倍）
<20.2>
11.4
<21.2>
9.8
实镇PER
高值平均
34.6
安值平均
8.4
PBR
1.54
株仙(2/27)
百防株
597月
信用成
最低購人额
5万9700月
速中特
3627
情朝
又結国色",3627.0,3627.T,テクミラホールディングス,情報・通信業,True
1003.png,1003,"株仙指标
予想PER
（倍）
<20.6>
54.2
<21.6>
47.9
实镇PER
高值平均
179.9
安值平均
86.8
PBR
8.73
株仙(2/27)
3
十万株
2300月
信用成
最低購人额
23万月
連特
3628
情蜗
好
秸又色",3628.0,3628.T,データホライゾン,情報・通信業,True
1004.png,1004,"株仙指标
作正径
予想PER
（倍）
<20.12>
13.8
<21.12>
12.8
实續PER
高值平均
25.9
安值平均
16.7
PBR
2.08
株仙(2/27)
十万株
2282月
信用成
最低購人额
22万8200用
43速收特
3630
情報
精納色",8200.0,8200.T,リンガーハット,小売業,True
1005.png,1005,"株仙指标
予想PER
（倍）
<20.6>
19.6
<21.6>
33.0
实镇PER
高值平均
45.5
安值平均
27.2
PBR
0.89
株仙(2/27)
14
百万林
442F
最低購人额
4万4200月
女
連特
3632
情蜗
一减
結色",3632.0,3632.T,グリーホールディングス,情報・通信業,True
1006.png,1006,"株仙指标
作正径
予想PER
（倍）
<20.12>
16.6
<21.12>
15.5
实續PER
高值平均
52.1
安值平均
32.6
PBR
5.22
株仙(2/27)
1723月
十万性
最低購人额
信用线
17万2300用
八速援特
3633
情蜗
成
精柱色",3633.0,3633.T,ＧＭＯペパボ,情報・通信業,True
1007.png,1007,"株仙指标
予想PER
（倍）
<20.3>
299.3
<21.3>
75.3
实續PER
高值平均
84.0
安值平均
33.6
PBR
3.09
株仙(2/27)
2
十万株
1227月
信用线
最低購人额
12万2700用
又单特
3634
情蜗
1独基色",3634.0,3634.T,ソケッツ,情報・通信業,True
