quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,ocr_style_label,adopt_flag,adopt_reason,realized_start_date,realized_end_date,realized_start_close,realized_end_close,realized_return_pct
2021Q4_PRE,5,5201.T,ＡＧＣ,ガラス・土石製品,0.9436797173977041,59.228650137741056,24.43487621097955,11.149959642839313,13.983050847457633,0.9100139651286173,13.001912045889096,83.33333333333334,96.97986577181209,100.0,5780.0,6533,87.66233766233766,2021-09-30,2021-09-30,10.0,10.0,21.12,10.0,10.0,medium,medium,low,low,low,"株佃指標
230
作正格
予想PER
(倍)
<21.12>
10.0
<22.12>
10.6
实續PER
高值平均
20.4
安值平均
12.5
PBR
0.95
株仙(8/30)
2
百万株
5280F
信用残
最低購人额
21
52万8000用
連世特
5201
結界色",1687.png,0.5918367346938775,0.37402855460700624,0.9543935825728584,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2021-10-01,2021-12-31,5650.0,5490.0,-2.831858407079646
2021Q4_PRE,9,2384.T,ＳＢＳホールディングス,陸運業,0.9391286429202239,63.569492837785525,28.030303030303028,15.485838670570681,24.648985959438384,0.8853307841373235,14.103472714386955,83.33333333333334,95.91373439273553,100.0,4225.0,3945,106.80372001957905,2021-09-30,2021-09-30,14.8,14.8,21.12,14.8,14.8,medium,medium,low,low,low,"株佃指標
3900作正楼
予想PER
(倍)
<21.12>
14.8
<22.12>
13.4
实續PER
高值平均
14.5
安值平均
8.4
PBR
2.77
株仙(8/30)
8
十万株
3995F
信用残
最低購人
21
39万9500用
連内特
2384
快
秸屈色",324.png,0.6,0.41878127759788053,0.9572637621430673,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2021-10-01,2021-12-31,4150.0,3265.0,-21.32530120481928
2021Q4_PRE,13,3355.T,クリヤマホールディングス,卸売業,0.9304268472181338,66.01626016260163,40.82758620689655,19.716669248141905,22.845417236662115,0.7937613795923038,16.62125340599455,83.33333333333334,97.51671442215854,100.0,1021.0,5248,96.34615384615384,2021-09-30,2021-09-30,5.7,5.7,21.12,5.7,5.7,medium,medium,low,low,low,"株指標
作正龄
予想PER
(倍)
<21.12>
5.7
<22.12>
5.5
实續PER
高值平均
12.4
安值平均
6.4
PBR
0.66
株仙(8/30)
7
十万株
871月
信用残
最低購人额
21
8万7100用
建連動特
3355
卸
設結施色",740.png,0.9587628865979382,0.4091183397115101,0.946607300559317,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2021-10-01,2021-12-31,1012.0,1186.0,17.193675889328052
2021Q4_PRE,14,8075.T,神鋼商事,卸売業,0.9302443332352076,88.95506262811558,44.33416551159275,17.99074549558659,30.88495928698405,0.8389175163577355,12.964487441890283,66.66666666666666,97.0792768724711,100.0,1163.3333740234375,6276,100.11469290198556,2021-09-30,2021-09-30,5.5,5.5,22.3,5.5,5.5,medium,medium,low,low,low,"株佃指標
作正龄
予想PER
(倍)
<22.3>
5.5
<23.3>
5.3
实續PER
高值平均
10.7
安值平均
6.2
PBR
0.48
株仙(8/30)
2
十万株
3160F
信用残
最低購人额
1
4.1
31万6000用
24速铁特
8075
卸
失增
結鋼色",3114.png,0.9621993127147767,0.5906240800706507,0.9518913747424199,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2021-10-01,2021-12-31,1120.0,1156.6666259765625,3.273805890764514
2021Q4_PRE,15,2986.T,ＬＡホールディングス,不動産業,0.9297674418604652,108.76543209876543,23.25072886297377,14.186187013657703,21.501706484641648,0.8274708939282966,18.24020552344252,75.0,95.0,100.0,1691.0,1388,132.59972489683634,2021-09-30,2021-09-30,3.7,3.7,21.12,3.7,3.7,medium,medium,low,low,low,"株佃指標
70
予想PER
(倍)
<21.12>
3.7
<22.12>
3.5
实續PER
高值平均
7.5
安值平均
5.0
PBR
1.33
株仙(8/30)
2
十万株
1455F
信用残
最低購人额
21
14万5500用
21速分特
2986
秸镶色",547.png,0.9957264957264957,0.4065940535766853,0.9499926405652046,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2021-10-01,2021-12-31,1695.0,2008.0,18.466076696165203
2021Q4_PRE,17,7477.T,ムラキ,卸売業,0.9263938769502503,78.57142857142858,31.0483870967742,20.370393670995927,25.692963752665253,0.9398420205882175,16.12244897959184,66.66666666666666,96.01181683899557,100.0,1300.0,6535,87.86127167630057,2021-09-30,2021-09-30,13.6,13.6,22.3,13.6,13.6,medium,medium,low,low,low,"株佃指標
作正龄
予想PER
(倍)
<22.3>
13.6
<23.3>
12.6
实續PER
高值平均
48.5
安值平均
19.2
PBR
0.71
株仙(8/30)
2
1150F
十万林
信用残
最低購人额
21
3.0
11万5000用
連手特
7477
卸
結色",2754.png,0.4639175257731959,0.562959964674713,0.9589122755372387,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2021-10-01,2021-12-31,1349.0,1169.0,-13.343217197924384
2021Q4_PRE,20,8750.T,第一生命ホールディングス,保険業,0.9198115984692377,60.89785296031229,21.583087512291055,12.485504871794612,15.458937198067634,0.8410705363016752,17.38942826321467,75.0,98.54552699740984,100.0,618.25,3918,59.496936472105766,2021-09-30,2021-09-30,8.3,8.3,22.3,8.3,8.3,medium,medium,low,low,low,"株指標
作正龄
予想PER
(倍)
<22.3>
8.3
<23.3>
8.0
实PER
高值平均
28.5
安值平均
15.7
PBR
0.50
株仙(8/30)
百万株
2198F
信用残
最低購人额
21
.5
21万9800用
他連海特
8750
0結外色",3353.png,0.9166666666666666,0.6065057403591404,0.9377318221960553,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2021-10-01,2021-12-31,599.5,581.375,-3.0233527939949933
2021Q4_PRE,22,2918.T,わらべや日洋ホールディングス,食料品,0.9179746835443039,78.07933194154488,19.467787114845937,14.845679904041672,17.067421027817065,0.8955001289842834,14.620355411954765,66.66666666666666,97.15261958997722,100.0,2559.0,6273,64.56591639871382,2021-09-30,2021-09-30,13.0,13.0,22.2,13.0,13.0,medium,medium,low,low,low,"株指標
予想PER
(倍)
<22.2>
13.0
<23.2>
12.2
实PER
高值平均
54.7
安值平均
36.9
PBR
0.94
株仙(8/30)
十万株
2398F
信用残
最低購人额
21
.5
23万9800用
食連益特
2918
食
品結の色",523.png,0.8053097345132744,0.509729172799529,0.9420150132469826,中間型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2021-10-01,2021-12-31,2515.0,2063.0,-17.97216699801193
2021Q4_PRE,24,3294.T,イーグランド,不動産業,0.9166382101854579,105.44993662864384,53.50378787878789,16.03752551408264,21.6994382022472,0.81124128658398,10.020242914979761,66.66666666666666,93.53721869590305,100.0,1621.0,3005,100.61881188118811,2021-09-30,2021-09-30,6.1,6.1,22.3,6.1,6.1,medium,medium,low,low,low,"株佃指標
作正龄
予想PER
(倍)
<22.3>
6.1
<23.3>
5.7
实PER
高值平均
10.0
安值平均
5.0
PBR
1.06
株仙(8/30)
5
十万株
1421F
信用残
最低購人额
21
2.1
14万2100用
单業特
3294
独色",715.png,0.8717948717948718,0.5762363850456285,0.949874889608478,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2021-10-01,2021-12-31,1536.0,1551.0,0.9765625
2021Q4_PRE,26,8137.T,サンワテクノス,卸売業,0.9126758904916101,54.516471838469705,20.364238410596023,12.190378064678915,15.476190476190466,0.935223418765032,11.613406079501164,75.0,94.84670580560991,90.0,1454.0,5671,57.18918918918918,2021-09-30,2021-09-30,8.3,8.3,22.3,8.3,8.3,medium,medium,low,low,low,"株指標
予想PER
(倍)
<22.3>
8.3
<23.3>
7.7
实PER
高值平均
11.9
安值平均
6.7
PBR
0.63
株仙(8/30)
十万株
1431F
信用残
最低購人额
21
.4
14万3100用
海連機特
8137
卸
外結械色",3155.png,0.7835051546391752,0.5797173977038563,0.931100971445393,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2021-10-01,2021-12-31,1442.0,1604.0,11.23439667128987
