image_file,image_no,ocr_metrics_text,code,ticker,company_name,sector,resolved
2523.png,2523,"株指標
予想PER
(倍)
<23.3>
16.6
<24.3>
12.0
实續PER
高值平均
23.8
安值平均
10.9
PBR
1.69
株佃(11/28)
百万株
4475月
信用残
最低購人
44万7500用
0
連I特
6976
電
又世色",6976,6976.T,太陽誘電,電気機器,True
2524.png,2524,"株指標
修正後
予想PER
(倍)
<22.12>
18.9
<23.12>
6.9
实續PER
高值平均
32.5
安值平均
18.6
PBR
0.83
株佃(11/28)
2
十万株
1067月
信用残
最低購人
10万6700用
連义特
6977
電
統
結下色",6977,6977.T,日本抵抗器製作所,電気機器,True
2525.png,2525,"株指標
修正後
予想PER
(倍)
<23.3>
16.1
<24.3>
15.5
实續PER
高值平均
25.0
安值平均
14.3
PBR
1.98
株佃(11/28)
4
百万株
7571月
信用残
最低購人额
75万7100用
0
二
連亏特
6981
電
9
結之色",6981,6981.T,村田製作所,電気機器,True
2526.png,2526,"株指標
修正後
予想PER
(倍)
<23.3>
14.3
<24.3>
12.1
实續PER
高值平均
14.2
安值平均
6.1
PBR
0.63
株佃(11/28)
3
十万株
612月
信用残
最低購人
6万1200月
5
4单之特
6982
输
好
独八色",6982,6982.T,リード,輸送用機器,True
2527.png,2527,"株指標
予想PER
(倍)
<23.3>
<24.3>
实續PER
高值平均
安值平均
PBR
0.33
株佃(11/28)
5784
十万株
597用
信用残
最低購人
5万9700月
5
加一
連管特
6986
電
2
結色
甘",6986,6986.T,双葉電子工業,電気機器,True
2528.png,2528,"株指標
予想PER
(倍)
<23.3>
10.8
<24.3>
10.5
实續PER
高值平均
19.4
安值平均
11.4
PBR
1.42
株佃(11/28)
2
百万株
8740月
信用残
最低購人
87万4000用
6
36口連学特
6988
化
速
二之色",6988,6988.T,日東電工,化学,True
2529.png,2529,"株指標
修正後
予想PER
(倍)
4.7
<23.3>
6.0
<24.3>
实續PER
高值平均
14.2
安值平均
8.9
PBR
0.58
株佃(11/28)
十万株
1296月
信用残
最低購人
12万9600月
3
他連七特
6989
【電
連
1結之色",6989,6989.T,北陸電気工業,電気機器,True
2530.png,2530,"株指標
修正後
予想PER
(倍)
<23.3>
<24.3>
46.2
实續PER
高值平均
安值平均
PBR
10.85
株佃(11/28)
13
60月
百万株
信用残
最低購人
6000月
1
連特
6993
小
丈小
結取色",6993,6993.T,大黒屋ホールディングス,小売業,True
2531.png,2531,"株指標
予想PER
(倍)
<23.3>
19.4
<24.3>
16.3
实續PER
高值平均
30.3
安值平均
16.8
PBR
0.61
株佃(11/28)
3
459月
十万株
信用残
最低購人
4万5900月
宣一
器連性特
6994
電",6994,6994.T,指月電機製作所,電気機器,True
2532.png,2532,"株指標
予想PER
(倍)
<23.3>
13.6
<24.3>
13.6
实續PER
高值平均
26.1
安值平均
16.3
PBR
0.52
株佃(11/28)
2
十万株
1605月
信用残
最低購人
16万500月
自义連I特
6995
输
動夕結口色",6995,6995.T,東海理化電機製作所,輸送用機器,True
2533.png,2533,"株指標
予想PER
(倍)
<23.3>
12.8
<24.3>
9.8
实續PER
高值平均
34.8
安值平均
15.3
PBR
1.02
株佃(11/28)
2
百万株
1435月
信用残
最低購人
14万3500月
28連次特
6996
電
力增
結世色",6996,6996.T,ニチコン,電気機器,True
2534.png,2534,"株指標
修正後
予想PER
(倍)
<23.3>
11.4
<24.3>
4.9
实續PER
高值平均
18.6
安值平均
8.3
PBR
0.75
株佃(11/28)
十万株
1849F
信用残
最低購人
18万4900用
.3
連儿特
6997
電
焦統
結三色",6997,6997.T,日本ケミコン,電気機器,True
2535.png,2535,"株指標
修正後
予想PER
(倍)
<23.3>
6.5
<24.3>
6.1
实續PER
高值平均
8.1
安值平均
5.6
PBR
0.52
株佃(11/28)
2
十万株
2422F
信用残
最低購人
24万2200用
18連金特
6998
電
快
結口色",6998,6998.T,日本タングステン,電気機器,True
2536.png,2536,"株指標
予想PER
(倍)
<23.3>
9.4
<24.3>
8.8
实續PER
高值平均
36.1
安值平均
16.7
PBR
1.13
株佃(11/28)
百万株
2238用
信用残
最低購人
22万3800用
周連産特
6999
電
最
波結比色",6999,6999.T,ＫＯＡ,電気機器,True
2537.png,2537,"株指標
修正後
予想PER
(倍)
<23.3>
17.8
<24.3>
10.2
实續PER
高值平均
安值平均
PBR
0.45
株佃(11/28)
2
百万株
419月
信用残
最低購人
4万1900月
.0
連会特
7003
機
69
5
結社色",7003,7003.T,三井Ｅ＆Ｓ,機械,True
2538.png,2538,"株指標
修正後
予想PER
(倍)
<23.3>
15.2
<24.3>
13.4
实續PER
高值平均
31.5
安值平均
16.2
PBR
1.23
株佃(11/28)
3
百万株
902月
信用残
最低購人
9万200月
增
連庄特
7004
機
4蒜方色
O",7004,7004.T,カナデビア,機械,True
2539.png,2539,"株指標
修正後
予想PER
(倍)
<23.3>
14.1
<24.3>
13.5
实續PER
高值平均
21.4
安值平均
12.7
PBR
1.05
株佃(11/28)
3
百万株
5236用
信用残
最低購人
52万3600月
百
7011
機
衛
連機特
A
色",7011,7011.T,三菱重工業,機械,True
2540.png,2540,"株指標
修正後
予想PER
(倍)
<23.3>
10.5
<24.3>
9.4
实續PER
高值平均
23.8
安值平均
13.3
PBR
0.87
株佃(11/28)
2
百万株
2817月
信用残
最低購人
28万1700用
丨連型特
7012
输
夕結2色",7012,7012.T,川崎重工業,輸送用機器,True
2541.png,2541,"株指標
修正後
予想PER
(倍)
<23.3>
10.3
<24.3>
9.4
实續PER
高值平均
22.8
安值平均
9.8
PBR
1.28
株佃(11/28)
2
百万株
3475F
信用残
最低購人
34万7500月
3
連特
7013
機
工
結十色
連",7013,7013.T,ＩＨＩ,機械,True
2542.png,2542,"株指標
予想PER
(倍)
<23.3>
2.8
4.7
<24.3>
实續PER
高值平均
安值平均
PBR
0.68
株佃(11/28)
3
百万株
472月
信用残
最低購人
4万7200用
.9
械連<特
7014
输
7結
色",7014,7014.T,名村造船所,輸送用機器,True
