quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score
2025-2Q,53,4393.T,バンク・オブ・イノベーション,情報・通信業,0.8901453005799473,99.77628635346755,33.68263473053892,29.26237901538993,38.2636655948553,0.8045837139735035,35.64437194127243,58.333333333333336,90.65989847715736,70.0,8930.0,1865,94.1304347826087,2025-03-31,2025-03-31,8.6,8.6,25.9,8.6,8.6,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.9>
8.6
<26.9>
7.9
实PER
高值平均
24.4
安值平均
68
PBR
6-37
株倡(2/26)
6
8020m
最低購人额
80万2000F
4393
10速营特
情",1363.png,0.9519725557461408,0.7193822497976801,0.929609608053258,0.8553969742778899
2025-2Q,5,3989.T,シェアリングテクノロジー,情報・通信業,0.9406304484259952,106.52173913043475,22.365339578454325,21.30136255974053,30.255164034021863,0.8900576533459357,21.142857142857142,66.66666666666666,93.9748201438849,95.0,1045.0,2117,113.26530612244898,2025-03-31,2025-03-31,15.4,15.4,25.9,15.4,15.4,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.9>
15.4
<26.9>
14.5
实PER
高值平均
13.9
安值平均
6.6
PBR
5.98
株幅（2/26）
996m
最低購人额
9万9600P
3989
特
情",1138.png,0.6612349914236707,0.7689371459401133,0.9632511095750792,0.8508997431748776
2025-2Q,6,3989.T,シェアリングテクノロジー,情報・通信業,0.9406304484259952,106.52173913043475,22.365339578454325,21.30136255974053,30.255164034021863,0.8900576533459357,21.142857142857142,66.66666666666666,93.9748201438849,95.0,1045.0,2117,113.26530612244898,2025-03-31,2025-03-31,15.4,15.4,25.9,15.4,15.4,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.9>
15.4
<26.9>
14.5
实PER
高值平均
13.9
安值平均
6.6
PBR
5.98
株幅（2/26）
996m
最低購人额
9万9600P
3989
特
情",1138.png,0.6612349914236707,0.7689371459401133,0.9632511095750792,0.8508997431748776
2025-2Q,12,3930.T,はてな,情報・通信業,0.9296487181454376,78.72062663185379,28.544600938967136,21.43337654855629,24.830508474576263,0.7988167706833468,9.48813982521848,75.0,92.93957909029191,80.0,1369.0,2473,84.00537634408603,2025-03-31,2025-03-31,17.6,17.6,25.7,17.6,17.6,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.7>
17.6
<26.7>
14.2
实PER
高值平均
35.9
安值平均
22.8
PBR
1.40
株倡(2/26)
2
12389
最低購人额
12万38009
3930
情",1093.png,0.5737564322469982,0.7559954140814675,0.9331836867023212,0.8240498016398433
2025-2Q,85,3712.T,情報企画,情報・通信業,0.8709057978873709,32.839506172839506,27.79097387173397,14.773713698563808,29.504504504504503,0.5022278873312584,17.203107658157602,66.66666666666666,93.56521739130434,100.0,5380.0,5647,35.175879396984925,2025-03-31,2025-03-31,13.5,13.5,25.9,13.5,13.5,medium,medium,low,low,low,"0
株伍指标
予想PER
（倍）
<25.9>
13.5
<26.9>
12.2
实PER
高值平均
13.3
安值平均
9.6
PBR
2.12
株幅(2/26)
4450m
万祥
最低購人额
44万5000P
速特
3712
情",981.png,0.7392795883361921,0.7608106285405989,0.8933083527597837,0.8219053251160165
2025-2Q,22,3916.T,デジタル・インフォメーション・テクノロジー,情報・通信業,0.9200661530503907,43.52215367358385,21.6833095577746,16.46272865458269,29.16038210155858,0.7807351537344884,23.451776649746197,66.66666666666666,97.44859101294745,100.0,1279.5,2638,40.29605263157894,2025-03-31,2025-03-31,18.3,18.3,25.6,18.3,18.3,medium,medium,low,low,low,"株伍指标
2569
海正格
予想PER
（倍）
<25.6>
18.3
<26.6>
14.8
实PER
高值平均
21.0
安值平均
13.1
PBR
4.94
株倡(2/26)
6
2416m
十万件
最低購人额
24万1600F
齐
3916
情",1080.png,0.5523156089193825,0.7511127596439169,0.9376542148130366,0.8174343580085284
2025-2Q,83,208A.T,構造計画研究所ホールディングス,情報・通信業,0.8722538739226892,31.320754716981124,22.535211267605625,13.459093382448833,15.519253208868156,0.4804381657816039,18.76513317191283,66.66666666666666,96.59511472982976,100.0,2610.0,6274,30.827067669172937,2025-03-31,2025-03-31,12.6,12.6,25.6,12.6,12.6,medium,medium,low,low,low,"株伍指标
1950
予想PER
（倍）
<25.6>
12.6
<26.6>
12.3
实PER
高宿平均
安值平均
PBR
3-00
株福(2/26)
3
万H
4835F
最低購人额
48万3500F
208A
情",218.png,0.7795883361921098,0.7252158079309415,0.8833669247267935,0.8157597860030854
2025-2Q,2,9467.T,アルファポリス,情報・通信業,0.9427481678381254,106.80602206006913,27.632763276327644,21.225656239019237,26.805918189730196,0.7951370263803156,23.045638767919492,66.66666666666666,97.32326698695952,100.0,1418.0,2784,96.94444444444446,2025-03-31,2025-03-31,16.9,16.9,25.3,16.9,16.9,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
16.9
(26.3>
11.8
实PER
高值平均
26.6
安值平均
15.0
PBR
2.52
株倡(2/26)
1137A
最低購人额
11万37009
单作特
9467
情",3695.png,0.6020583190394511,0.6246088481251686,0.9653726901352454,0.7996826066436058
2025-2Q,38,1921.T,巴コーポレーション,建設業,0.8987087438752634,67.60168302945301,16.58536585365853,21.614706397919115,27.7005347593583,0.8465991843108078,18.700787401574804,66.66666666666666,89.24570575056012,65.0,1195.0,6276,78.35820895522387,2025-03-31,2025-03-31,2.9,2.9,25.3,2.9,2.9,medium,medium,low,low,low,"1339
株伍指标
予想PER
（倍）
<25.3>
2.9
(26.3>
12.5
实PER
高值平均
8.2
安值平均
5.1
PBR
0.70
株倡(2/26)
5
11539
最低購人额
11万53009
速強特
1921
建",159.png,1.0,0.5130159158349069,0.902520322617134,0.7983499398244682
2025-2Q,220,4172.T,東和ハイシステム,情報・通信業,0.8088752831350848,22.59887005649717,12.086776859504123,11.534790594629126,14.720812182741128,0.6040545665307211,29.226666666666667,50.0,96.01769911504424,65.0,2170.0,1270,25.36106296938185,2025-03-31,2025-03-31,11.3,11.3,25.9,11.3,11.3,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.9>
11.3
<26.9>
10.5
实PER
高值平均
18.8
安值平均
10.8
PBR
1.16
株倡(2/26)
8
2081用
最低購人额
20万8100m
单日特
4172
情",1230.png,0.8610634648370498,0.748718640410035,0.81019904656685,0.7981135174610947
