ticker,company_name,sector,base_rank,base_score,base_price_score,overall_shikiho_score,ocr_style_label,annual_return_pct,quarter_return_pct,trend_r2,persistence_20d_pct,positive_month_ratio_pct,max_drawdown_pct,sector_adjusted_per_score,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,healthy_factors,matched_fixed_rule,matched_rule_summary
7419.T,ノジマ,小売業,12,0.915226869174814,0.915226869174814,0.7318556701030929,中間型,62.7906976744186,26.50602409638553,0.9092345291440052,90.0,91.66666666666666,12.704915849152007,0.9690721649484536,8.6,1.18,12.1,3.7,,上昇トレンドが滑らか / 押し目が浅い / 月次で上昇継続 / 高値圏を維持,True,sector_adjusted_per_score>=0.45; ocr_per<=20; persistence_20d_pct>=65; positive_month_ratio_pct>=60; max_drawdown_pct<=28; 30<=annual_return_pct<=180; 18<=quarter_return_pct<=55; trend_r2>=0.75
4709.T,ＩＤホールディングス,情報・通信業,56,0.8699235548706269,0.8699235548706269,0.7241237113402063,中間型,40.65721649484537,29.546695794647725,0.8488873104435811,100.0,75.0,27.67086927670869,0.7525773195876289,14.0,2.27,15.9,8.9,3.75,上昇トレンドが滑らか / 月次で上昇継続 / 高値圏を維持 / 短中期移動平均の上で推移,True,sector_adjusted_per_score>=0.45; ocr_per<=20; persistence_20d_pct>=65; positive_month_ratio_pct>=60; max_drawdown_pct<=28; 30<=annual_return_pct<=180; 18<=quarter_return_pct<=55; trend_r2>=0.75
3495.T,香陵住販,不動産業,63,0.8660773803020647,0.8660773803020647,0.6068041237113403,安定進捗型,50.49140049140048,30.76470588235294,0.7788998448202384,100.0,66.66666666666666,11.465798045602604,0.9175257731958762,4.7,2.0,14.6,4.4,,上昇トレンドが滑らか / 押し目が浅い / 月次で上昇継続 / 高値圏を維持,True,sector_adjusted_per_score>=0.45; ocr_per<=20; persistence_20d_pct>=65; positive_month_ratio_pct>=60; max_drawdown_pct<=28; 30<=annual_return_pct<=180; 18<=quarter_return_pct<=55; trend_r2>=0.75
6554.T,エスユーエス,サービス業,33,0.8862213378870442,0.8862213378870442,0.5937113402061857,安定進捗型,42.94631710362047,33.04347826086958,0.7821295119475389,100.0,75.0,19.650067294751004,0.9690721649484536,9.6,2.21,17.6,10.7,3.93,上昇トレンドが滑らか / 月次で上昇継続 / 高値圏を維持 / 短中期移動平均の上で推移,True,sector_adjusted_per_score>=0.45; ocr_per<=20; persistence_20d_pct>=65; positive_month_ratio_pct>=60; max_drawdown_pct<=28; 30<=annual_return_pct<=180; 18<=quarter_return_pct<=55; trend_r2>=0.75
1909.T,日本ドライケミカル,機械,10,0.9166700048383534,0.9166700048383534,0.5518556701030928,安定進捗型,115.962441314554,28.838951310861425,0.8121091406078782,100.0,66.66666666666666,26.37768817204301,0.7010309278350515,8.4,1.12,15.9,6.1,1.34,上昇トレンドが滑らか / 月次で上昇継続 / 高値圏を維持 / 短中期移動平均の上で推移,True,sector_adjusted_per_score>=0.45; ocr_per<=20; persistence_20d_pct>=65; positive_month_ratio_pct>=60; max_drawdown_pct<=28; 30<=annual_return_pct<=180; 18<=quarter_return_pct<=55; trend_r2>=0.75
261A.T,日水コン,サービス業,26,0.8975276163508553,0.8975276163508553,0.5512371134020618,安定進捗型,71.55835080363381,21.880650994575035,0.8662730661325364,90.0,75.0,16.41727233860624,0.7422680412371134,16.9,1.78,10.9,6.5,6.3316725,上昇トレンドが滑らか / 月次で上昇継続 / 高値圏を維持 / 短中期移動平均の上で推移,True,sector_adjusted_per_score>=0.45; ocr_per<=20; persistence_20d_pct>=65; positive_month_ratio_pct>=60; max_drawdown_pct<=28; 30<=annual_return_pct<=180; 18<=quarter_return_pct<=55; trend_r2>=0.75
9564.T,ＦＣＥ,サービス業,85,0.8505694034329433,0.8505694034329433,0.544020618556701,中間型,42.39019407558733,46.19883040935673,0.7899127493848648,95.0,75.0,27.628361858190708,0.5051546391752577,19.7,3.0,19.8,9.9,1.24,上昇トレンドが滑らか / 月次で上昇継続 / 短中期移動平均の上で推移,True,sector_adjusted_per_score>=0.45; ocr_per<=20; persistence_20d_pct>=65; positive_month_ratio_pct>=60; max_drawdown_pct<=28; 30<=annual_return_pct<=180; 18<=quarter_return_pct<=55; trend_r2>=0.75
9069.T,センコーグループホールディングス,陸運業,61,0.8668577620295513,0.8668577620295513,0.5262886597938145,安定進捗型,30.407209612817088,29.72258916776751,0.8818576780439835,95.0,83.33333333333334,11.528662420382163,0.5876288659793815,12.6,1.14,9.1,2.33,3.23,上昇トレンドが滑らか / 押し目が浅い / 月次で上昇継続 / 高値圏を維持,True,sector_adjusted_per_score>=0.45; ocr_per<=20; persistence_20d_pct>=65; positive_month_ratio_pct>=60; max_drawdown_pct<=28; 30<=annual_return_pct<=180; 18<=quarter_return_pct<=55; trend_r2>=0.75
4626.T,太陽ホールディングス,化学,3,0.9412006727941076,0.9412006727941076,0.5181443298969072,安定進捗型,138.39799749687108,47.23670490093848,0.8040748757441155,100.0,75.0,16.388888888888886,0.4587628865979381,14.7,2.03,13.0,7.5,3.0,上昇トレンドが滑らか / 月次で上昇継続 / 高値圏を維持 / 短中期移動平均の上で推移,True,sector_adjusted_per_score>=0.45; ocr_per<=20; persistence_20d_pct>=65; positive_month_ratio_pct>=60; max_drawdown_pct<=28; 30<=annual_return_pct<=180; 18<=quarter_return_pct<=55; trend_r2>=0.75
1948.T,弘電社,建設業,30,0.8888913008200828,0.8888913008200828,0.5137113402061856,業績急伸型,162.7430373095113,18.876518218623485,0.8972363502734216,90.0,83.33333333333334,27.46572313135781,0.7268041237113402,9.5,2.0,4.6,2.8,3.24,上昇トレンドが滑らか / 月次で上昇継続 / 短中期移動平均の上で推移 / 月間レンジが過度でない,True,sector_adjusted_per_score>=0.45; ocr_per<=20; persistence_20d_pct>=65; positive_month_ratio_pct>=60; max_drawdown_pct<=28; 30<=annual_return_pct<=180; 18<=quarter_return_pct<=55; trend_r2>=0.75
1997.T,暁飯島工業,建設業,29,0.8901372313543263,0.8901372313543263,0.5048453608247423,安定進捗型,83.98268398268398,20.55837563451777,0.7708107056274279,95.0,75.0,17.677286742034948,0.8969072164948454,9.0,0.7,8.5,5.4,2.74,上昇トレンドが滑らか / 月次で上昇継続 / 高値圏を維持 / 短中期移動平均の上で推移,True,sector_adjusted_per_score>=0.45; ocr_per<=20; persistence_20d_pct>=65; positive_month_ratio_pct>=60; max_drawdown_pct<=28; 30<=annual_return_pct<=180; 18<=quarter_return_pct<=55; trend_r2>=0.75
