quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date
2024Q2_PRE_ALIGNED,1,7721.T,東京計器,精密機器,0.9590746878076586,171.34146341463415,32.0964749536178,20.449802114280587,35.4759967453214,0.9325058481562899,12.379730596536243,83.33333333333334,99.02642559109874,80.0,3560.0,6276,171.34146341463415,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,2,5805.T,ＳＷＣＣ,非鉄金属,0.9548313384113165,166.504329004329,26.93298969072164,17.586576778362193,30.232558139534895,0.9639801927692039,11.734693877551017,91.66666666666666,97.71825396825396,85.0,4925.0,6274,166.504329004329,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3,6501.T,日立製作所,電気機器,0.9493458624799213,103.93022428500936,29.2070326515967,12.52279860210609,17.183314198239575,0.897326247280499,14.428006685697115,83.33333333333334,98.03974952355023,100.0,3601.0,6535,103.93022428500936,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,4,7678.T,あさくま,小売業,0.947576910720763,154.38596491228068,79.24944812362031,20.841640257152044,31.587301587301585,0.8791284455489276,21.433796634967084,83.33333333333334,97.94933655006032,100.0,4060.0,1635,154.38596491228068,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,5,7305.T,新家工業,鉄鋼,0.947139561635318,137.02726473175022,40.36458333333333,17.843734033898784,43.01075268817205,0.8336396406319226,15.10769230769231,83.33333333333334,99.44649446494465,95.0,5390.0,6273,137.02726473175022,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,6,3106.T,倉敷紡績,繊維製品,0.9468588009741438,122.59358288770055,42.91845493562232,16.100571319587388,27.44827586206897,0.8813760075083568,13.685847589424572,83.33333333333334,97.36842105263158,100.0,4995.0,6276,122.59358288770055,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,7,8708.T,アイザワ証券グループ,証券、商品先物取引業,0.9461701642572153,221.35102533172497,128.66952789699573,31.980873938104803,56.3047285464098,0.814247114970122,18.290854572713645,83.33333333333334,99.62602842183995,95.0,2664.0,4934,221.35102533172497,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,8,8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業,0.9457639048655371,108.25243212066783,32.08941437280621,13.55069172459691,25.370404243643673,0.8511356478687949,9.630723781388484,83.33333333333334,99.74888392857143,60.0,3575.0,4407,108.25243212066783,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,9,3431.T,宮地エンジニアリンググループ,金属製品,0.9404910150785014,144.52830188679243,11.340206185567014,13.545540024310048,25.49537648612945,0.8929575999023672,12.785388127853881,83.33333333333334,98.98167006109979,95.0,2430.0,5561,144.52830188679243,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,10,6701.T,日本電気,電気機器,0.9379701435307529,91.67872648335744,20.79343365253079,11.44234524635815,18.942349371478116,0.9299913685658036,16.472685535276867,91.66666666666666,96.53790087463557,100.0,2649.0,6535,91.67872648335744,2024-06-30,2024-06-30
