quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score
2024Q2_PRE_ALIGNED,8,8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業,0.9457639048655371,108.25243212066783,32.08941437280621,13.55069172459691,25.370404243643673,0.8511356478687949,9.630723781388484,83.33333333333334,99.74888392857143,60.0,3575.0,4407,108.25243212066783,2024-06-30,2024-06-30,8.6,8.6,25.3,8.6,8.6,medium,medium,low,low,low,"3265栋E楼
株伍指标
予想PER
（倍）
<25.3>
8.6
(26.3>
10.5
实PER
高值平均
12.1
安值平均
8.2
PBR
1.17
株倡(5/27)
33029
最低購人额
24
9.8
33万2009
青速二特
8725
保
增
6结罗色",7347.png,1.0,0.6288356909684439,0.9336744464924163,0.8558112875574604
2024Q2_PRE_ALIGNED,16,8766.T,東京海上ホールディングス,保険業,0.9309179957510753,81.47476579026896,27.49469214437368,9.660278341058698,14.888762122076438,0.8911175482307958,11.738484398216942,66.66666666666666,99.38761999337967,85.0,6005.0,6535,81.47476579026896,2024-06-30,2024-06-30,12.1,12.1,25.3,12.1,12.1,medium,medium,low,low,low,"株伍指标
5397
海正格
予想PER
（倍）
<25.3>
12.1
(26.3>
12.3
实PER
高值平均
14.0
安值平均
6'8
PBR
2.04
株倡(5/27)
2
53499
最低購人额
24
15.9
53万49009
F
8766
保",7355.png,0.8461538461538461,0.6563588139281827,0.9458090759698874,0.8379992997786709
2024Q2_PRE_ALIGNED,11,8152.T,ソマール,卸売業,0.9363818954349967,122.60273972602738,22.807017543859654,11.835569230820337,25.06527415143602,0.9563754563812675,8.579088471849861,83.33333333333334,94.98956158663883,60.0,4550.0,6272,122.60273972602738,2024-06-30,2024-06-30,6.3,6.3,25.3,6.3,6.3,medium,medium,low,low,low,"4790布E校
株伍指标
予想PER
（倍）
<25.3>
6.3
(26.3>
6.1
实PER
高宿平均
6.2
安值平均
4.4
PBR
0-51
幅(5/27)
7
4555P
最低購人额
24
8.6
45万5500P
8152
卸",7188.png,0.9482758620689655,0.5830182263329706,0.9404787368701559,0.8323290027240493
2024Q2_PRE_ALIGNED,1,7721.T,東京計器,精密機器,0.9590746878076586,171.34146341463415,32.0964749536178,20.449802114280587,35.4759967453214,0.9325058481562899,12.379730596536243,83.33333333333334,99.02642559109874,80.0,3560.0,6276,171.34146341463415,2024-06-30,2024-06-30,18.2,18.2,25.3,18.2,18.2,medium,medium,low,low,low,"3315E款
株伍指标
予想PER
（倍）
<25.3>
18.2
(26.3>
16.9
实PER
高值平均
21.4
安值平均
12.8
PBR
1.41
株幅(5/27)
3165F
最低購人额
24
6.5
31万6500F
7721
精",6920.png,0.5833333333333334,0.6871191512513601,0.9652403288845463,0.821836284855618
2024Q2_PRE_ALIGNED,38,1921.T,巴コーポレーション,建設業,0.9118528939323282,80.93220338983052,16.1904761904762,10.6332826725687,17.997097242380256,0.8703537853543988,9.736842105263154,66.66666666666666,98.04822043628015,80.0,854.0,6276,80.93220338983052,2024-06-30,2024-06-30,2.4,2.4,25.3,2.4,2.4,medium,medium,low,low,low,"766
株伍指标
予想PER
（倍）
<25.3>
2.4
(26.3>
11.0
实PER
高值平均
8.2
安值平均
5.1
PBR
0-62
株佰(5/27)
5
790P
最低購人额
24
6.0
7万9000P
速強特
1921
建",4116.png,1.0,0.5614050598476604,0.921331776998068,0.8212447104957326
2024Q2_PRE_ALIGNED,105,8750.T,第一生命ホールディングス,保険業,0.8815580807295714,60.22367194780989,11.636363636363644,12.888881168358612,20.376175548589348,0.8487535918893563,13.722040713747175,66.66666666666666,99.26096997690532,65.0,1074.5,3918,60.22367194780989,2024-06-30,2024-06-30,11.7,11.7,25.3,11.7,11.7,medium,medium,low,low,low,"4012
株伍指标
予想PER
（倍）
<25.3>
11.7
(26.3>
11.3
实PER
高值平均
12.0
安值平均
7.9
PBR
0-97
株倡(5/27)
6
4001F
最低購人额
24
9.8
40万100F
8750
保",7354.png,0.9230769230769231,0.6648122959738846,0.8747583275965446,0.8210255574308069
2024Q2_PRE_ALIGNED,21,7979.T,松風,精密機器,0.9257073319861134,101.98532585239532,60.00000000000001,17.352922539897307,29.33333333333332,0.8062140907260509,14.970563498738432,83.33333333333334,96.49484536082474,100.0,2340.0,5038,101.98532585239532,2024-06-30,2024-06-30,16.1,16.1,25.3,16.1,16.1,medium,medium,low,low,low,"3370
株伍指标
予想PER
（倍）
<25.3>
16.1
(26.3>
13.7
实PER
高值平均
15.7
安值平均
9.4
PBR
1.49
株倡(5/27)
2
3485P
最低購人额
24
9.5
34万85009
速之特
7979
精",7076.png,0.6666666666666666,0.6818960826985854,0.9600663043236881,0.8198587595952418
2024Q2_PRE_ALIGNED,57,4685.T,菱友システムズ,情報・通信業,0.899418943986735,72.30026338893767,10.875706214689274,8.383345348459049,14.615384615384608,0.8289429968206956,16.43132220795892,75.0,98.37092731829574,55.00000000000001,1962.5,6535,72.30026338893767,2024-06-30,2024-06-30,9.0,9.0,25.3,9.0,9.0,medium,medium,low,low,low,"066
株伍指标
海正格
予想PER
（倍）
<25.3>
9.0
(26.3>
8'8
实PER
高值平均
10.1
安值平均
6.6
PBR
1.38
株倡(5/27)
6
3620m
最低購人额
21
15.4
36万2000m
4685
情",5457.png,0.9541446208112875,0.6236670293797606,0.8717921376385157,0.8186245900231692
2024Q2_PRE_ALIGNED,17,8061.T,西華産業,卸売業,0.9306473910565315,121.22122733084649,18.4986589120276,14.443836276745536,20.79082320204204,0.9559349286219012,10.744807763850728,83.33333333333334,93.34741305429426,100.0,1473.3333740234375,6276,121.22122733084649,2024-06-30,2024-06-30,8.1,8.1,25.3,8.1,8.1,medium,medium,low,low,low,"株伍指标
4175
海正格
予想PER
（倍）
<25.3>
8.1
(26.3>
10.0
实PER
高值平均
8.6
安值平均
5.5
PBR
1.09
株佰(5/27)
3820m
最低購人额
24
11.6
38万2000F
8061
卸",7132.png,0.8258620689655173,0.586173830250272,0.9624115331660412,0.8175172449719822
2024Q2_PRE_ALIGNED,82,4116.T,大日精化工業,化学,0.8907428985957822,66.66666666666667,14.3048128342246,12.965664042222574,21.021465581051068,0.8679048398567076,13.148071339693068,66.66666666666666,97.1590909090909,95.0,3420.0,6276,66.66666666666667,2024-06-30,2024-06-30,5.2,5.2,25.3,5.2,5.2,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.3>
5.2
(26.3>
6°8
实PER
高值平均
14.3
安值平均
8'6
PBR
0.46
株倡(5/27)
3120m
最低購人额
24
3.2
31万2000m
4116
化",5120.png,0.9878048780487805,0.5828142002176278,0.9144559969798584,0.8169043423049306
