date,equity
2024-07-01,2986706.25
2024-07-02,3025483.75
2024-07-03,3016558.75
2024-07-04,3012579.25
2024-07-05,2976704.25
2024-07-08,2984554.25
2024-07-09,2986804.25
2024-07-10,2985879.25
2024-07-11,2947154.25
2024-07-12,2965946.2500000005
2024-07-16,2982121.2500000005
2024-07-17,2986796.2500000005
2024-07-18,2964746.2500000005
2024-07-19,2932171.2500000005
2024-07-22,2888621.2500000005
2024-07-23,2858771.2500000005
2024-07-24,2835846.2500000005
2024-07-25,2729671.2500000005
2024-07-26,2725021.2500000005
2024-07-29,2740393.8679199223
2024-07-30,2728110.5000000005
2024-07-31,2760302.1320800786
2024-08-01,2779235.5000000005
2024-08-02,2649477.1320800786
2024-08-05,2574477.1320800786
2024-08-06,2574477.1320800786
2024-08-07,2574477.1320800786
2024-08-08,2574477.1320800786
2024-08-09,2574477.1320800786
2024-08-13,2574477.1320800786
2024-08-14,2574477.1320800786
2024-08-15,2574477.1320800786
2024-08-16,2574477.1320800786
2024-08-19,2574477.1320800786
2024-08-20,2574477.1320800786
2024-08-21,2574477.1320800786
2024-08-22,2574477.1320800786
2024-08-23,2574477.1320800786
2024-08-26,2574477.1320800786
2024-08-27,2574477.1320800786
2024-08-28,2574477.1320800786
2024-08-29,2547477.1320800786
2024-08-30,2533977.1320800786
2024-09-02,2511477.1320800786
2024-09-03,2484477.1320800786
2024-09-04,2380977.1320800786
2024-09-05,2380977.1320800786
2024-09-06,2380977.1320800786
2024-09-09,2380977.1320800786
2024-09-10,2379838.6320800786
2024-09-11,2306138.6320800786
2024-09-12,2294438.6320800786
2024-09-13,2275538.6320800786
2024-09-17,2311538.6320800786
2024-09-18,2347538.6320800786
2024-09-19,2347538.6320800786
2024-09-20,2347538.6320800786
2024-09-24,2347538.6320800786
2024-09-25,2347538.6320800786
2024-09-26,2347538.6320800786
2024-09-27,2347538.6320800786
2024-09-30,2347538.6320800786
