name,trend_r2_min,annual_min,quarter_min,pmr_min,persist_min,dd_max,avg_range_max,end_high_min,sector_min,per_max,sort_col,sort_asc,top_n,entry,tp,sl,final_capital,ret_pct,num_buys,num_sells,max_dd_pct,selected_count
sector_adjusted_per_score_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,5,1.0,5,4,3938520.0,31.284,5,5,-7.105731835859408,5
sector_adjusted_per_score_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,5,0.5,5,4,3925746.0000000014,30.858200000000036,5,5,-1.9403966928068117,5
sector_adjusted_per_score_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,8,1.0,5,4,3911688.0,30.389599999999994,7,7,-7.155578004427731,8
sector_adjusted_per_score_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,5,0.5,3,3,3907746.0000000014,30.25820000000006,5,5,-1.9403966928068117,5
sector_adjusted_per_score_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,5,0.5,4,3,3907746.0000000014,30.25820000000006,5,5,-1.9403966928068117,5
sector_adjusted_per_score_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,5,1.0,3,3,3892482.0,29.749399999999994,5,5,-1.9482154821358177,5
sector_adjusted_per_score_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,5,1.5,5,4,3892030.0000000014,29.734333333333375,5,5,-7.192543090875169,5
sector_adjusted_per_score_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,8,1.5,5,4,3873983.000000001,29.132766666666686,7,7,-7.22681669154378,8
sector_adjusted_per_score_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,8,0.5,5,4,3860569.000000001,28.68563333333336,7,7,-1.8611636037574653,8
def_lowper_top10,0.35,0.0,-10.0,35.0,35.0,15.0,12.0,90.0,0.35,18.0,sector_adjusted_per_score,False,10,1.0,5,4,3847479.0,28.249300000000012,7,7,-7.277747509226151,10
sector_adjusted_per_score_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,8,0.5,4,3,3843569.000000001,28.11896666666669,7,7,-1.8611636037574653,8
sector_adjusted_per_score_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,8,0.5,3,3,3837169.000000001,27.905633333333355,7,7,-1.864349701717416,8
