feature,pearson_with_base_score,spearman_with_base_score,pearson_with_base_rank_inv,spearman_with_base_rank_inv
chart_score_raw,0.5345724660021991,0.5266147696191879,0.5089492860202434,0.5266147696191879
trend_r2,0.45773834834363314,0.4268356827266989,0.44959321442171046,0.4268356827266989
annual_return_pct,0.2484867905383138,0.3215732169156322,0.21825348750541124,0.3215732169156322
stable_type_score_raw,0.2804111696643294,0.27409004839049017,0.2648073748224222,0.27409004839049017
quarter_return_pct,0.16020968026119917,0.21658689248895432,0.15024341449519718,0.21658689248895432
persistence_20d_pct,0.18489789351930755,0.19196032777519573,0.15928391144745846,0.19196032777519573
overall_shikiho_score,0.1407242603370448,0.13646644224700188,0.1339625500959418,0.13646644224700188
finance_score_raw,0.1133512715597725,0.11622922364822215,0.10789496167030115,0.11622922364822215
avg_monthly_high_low_change_pct,0.026243488996896276,0.1097070271407532,0.024988814297379123,0.1097070271407532
sector_adjusted_per_score_raw,0.0674454873016799,0.08994416952600673,0.09156718589662345,0.08994416952600673
ocr_negative_count,0.06629438483762606,0.0825276896921367,0.08284589401785938,0.0825276896921367
ocr_earnings_num_mean,0.030866766615538572,0.048795062887349,0.0642088286186041,0.048795062887349
ocr_roe,-0.010754680807945156,0.02489421937809238,-0.04309710178762909,0.02489421937809238
ocr_yield,0.07226109816788785,0.024087300935961682,0.057098393895057976,0.024087300935961682
ocr_earnings_num_count,0.05958465585407228,0.021135275792490426,0.059632315357601384,0.021135275792490426
ocr_roa,-0.006057586810404708,0.009595023251384187,-0.02801155559603121,0.009595023251384187
max_drawdown_pct,-0.06534641383763502,-0.01646328634546602,-0.06371564998845798,-0.01646328634546602
theme_peer_count,-0.06441486936298692,-0.018297531689538016,-0.029975821254158572,-0.018297531689538016
surge_type_score_raw,-0.08547490017363375,-0.058897012413212706,-0.09716929498877706,-0.058897012413212706
theme_peer_median_quarter_return_pct,-0.009654148118484661,-0.06437047119905004,-0.018200790916474637,-0.06437047119905004
dividend_score_raw,-0.05473153005997646,-0.06464351285537039,-0.05692569741699067,-0.06464351285537039
ocr_pbr,0.013013903448914304,-0.07487761033142425,0.002581787040181917,-0.07487761033142425
earnings_score_raw,-0.049789134811168825,-0.07623172567397433,-0.08805576261526055,-0.07623172567397433
ocr_shareholder_count,-0.0821375175593565,-0.0926863489372204,-0.07632970740252333,-0.0926863489372204
article_score_raw,-0.13808078698049892,-0.10443123577982724,-0.1120305259652861,-0.10443123577982724
ocr_per,-0.10768536597122957,-0.11413279353472675,-0.10682677372241668,-0.11413279353472675
ocr_positive_count,-0.2561451400560915,-0.22065391146098462,-0.2362342599500685,-0.22065391146098462
business_score_raw,-0.26406168588852635,-0.24211720338109835,-0.24699999980619416,-0.24211720338109835
theme_peer_signal_raw,-0.3649068823100965,-0.3055280536197217,-0.3503242901845643,-0.3055280536197217
ocr_theme_count,,,,
theme_peer_positive_ratio_pct,,,,
