feature,pearson_with_base_score,spearman_with_base_score,pearson_with_base_rank_inv,spearman_with_base_rank_inv,abs_spearman_rank,abs_pearson_score,composite_strength
chart_score_raw,0.5345724660021991,0.5266147696191879,0.5089492860202434,0.5266147696191879,0.5266147696191879,0.5345724660021991,0.5297978481723924
ocr_per,0.5612900943630763,0.4516987104803051,0.4886273523152566,0.4516987104803051,0.4516987104803051,0.5612900943630763,0.4955352640334136
trend_r2,0.4577383483436331,0.4268356827266989,0.4495932144217104,0.4268356827266989,0.4268356827266989,0.4577383483436331,0.4391967489734726
annual_return_pct,0.2484867905383138,0.3215732169156322,0.2182534875054112,0.3215732169156322,0.3215732169156322,0.2484867905383138,0.29233864636470486
overall_shikiho_score,0.219795329313747,0.2260421905985764,0.2136100016269869,0.2260421905985764,0.2260421905985764,0.219795329313747,0.22354344608464463
quarter_return_pct,0.1602096802611991,0.2165868924889543,0.1502434144951971,0.2165868924889543,0.2165868924889543,0.1602096802611991,0.19403600759785222
persistence_20d_pct,0.1848978935193075,0.1919603277751957,0.1592839114474584,0.1919603277751957,0.1919603277751957,0.1848978935193075,0.18913535407284043
ocr_negative_count,0.1324642000862482,0.1658868716631509,0.1653180492141889,0.1658868716631509,0.1658868716631509,0.1324642000862482,0.15251780303238982
ocr_pbr,0.1639348873970324,-0.1169591679909358,0.1593801276763237,-0.1169591679909358,0.1169591679909358,0.1639348873970324,0.13574945575337444
article_score_raw,-0.0851494424208871,-0.1152567972050739,-0.0890117571694455,-0.1152567972050739,0.1152567972050739,0.0851494424208871,0.10321385529139918
