ticker,sector,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
2130.T,サービス業,2025-07-01,2025-07-02,200,1276.87,1219.0,-11573.999999999978,-4.532176337450167,sell_signal
3683.T,情報・通信業,2025-07-01,2025-07-02,200,1273.8249999999998,1233.0,-8164.999999999964,-3.2049143328164997,sell_signal
2981.T,不動産業,2025-07-01,2025-07-03,100,1710.2749999999999,1664.0,-4627.499999999986,-2.705705222844268,sell_signal
9409.T,情報・通信業,2025-07-01,2025-07-03,100,2835.91,2671.0,-16490.999999999985,-5.815064652968527,stop_loss
1972.T,建設業,2025-07-01,2025-07-04,100,1295.1399999999999,1272.0,-2313.9999999999873,-1.7866794323393553,sell_signal
6540.T,サービス業,2025-07-01,2025-07-08,100,1641.2549999999999,1822.0,18074.50000000001,11.012609253284843,take_profit
1810.T,建設業,2025-07-01,2025-07-11,200,1114.4699999999998,1223.0,21706.00000000004,9.738261236282742,take_profit
6644.T,電気機器,2025-07-01,2025-07-25,100,973.3849999999999,1059.0,8561.500000000013,8.795594754388048,take_profit
9768.T,サービス業,2025-07-03,2025-07-30,600,3136.35,3240.0,62190.00000000006,3.304796977378155,sell_signal
6040.T,サービス業,2025-07-01,2025-08-05,100,518.665,540.0,2133.5000000000036,4.113445094617929,sell_signal
1980.T,建設業,2025-07-01,2025-08-05,100,1503.8916253662107,1626.6666259765625,12277.500061035174,8.163819688832618,take_profit
9882.T,卸売業,2025-07-11,2025-08-05,300,1551.935,1533.0,-5680.499999999984,-1.220089758913867,sell_signal
1975.T,建設業,2025-07-03,2025-08-06,100,2585.205,2852.0,26679.500000000007,10.320071328966174,take_profit
9882.T,卸売業,2025-08-06,2025-08-08,400,1555.995,1618.0,24802.000000000044,3.984909977217166,sell_signal
6554.T,サービス業,2025-08-08,2025-08-12,600,1187.55,1119.0,-41129.99999999997,-5.77238853100922,stop_loss
9449.T,情報・通信業,2025-07-31,2025-08-14,500,3739.2599999999998,3786.0,23370.000000000116,1.2499799425554903,sell_signal
1948.T,建設業,2025-08-20,2025-08-21,200,2392.3549999999996,2481.0,17729.000000000087,3.7053447335366307,sell_signal
4507.T,医薬品,2025-08-18,2025-08-22,400,2665.8974999999996,2580.5,-34158.99999999983,-3.203330210557598,sell_signal
2805.T,食料品,2025-08-20,2025-08-22,300,3182.0249999999996,3165.0,-5107.499999999891,-0.5350366511890914,sell_signal
1808.T,建設業,2025-08-06,2025-09-08,200,2324.35,2528.5,40830.000000000015,8.783100651795127,take_profit
2805.T,食料品,2025-08-25,2025-09-08,800,3212.475,3430.0,174020.00000000006,6.771258920302881,sell_signal
2805.T,食料品,2025-09-09,2025-09-22,900,3481.45,3405.0,-68804.99999999984,-2.195924112079728,sell_signal
