trend_r2_min,annual_return_min,quarter_return_min,positive_month_ratio_min,persistence_20d_min,sector_per_score_min,ocr_per_max,selected_count,mean_realized_return_pct,median_realized_return_pct,win_rate_pct,objective_score
0.6,25.0,10.0,50.0,55.0,0.35,20.0,68,13.101197623896056,10.660614535613888,82.35294117647058,108.03524325082911
0.6,20.0,10.0,50.0,55.0,0.35,20.0,70,12.911842456512618,10.486965325654896,82.85714285714286,108.0282245226965
0.6,25.0,10.0,50.0,60.0,0.35,20.0,67,13.162604631647113,10.776035383996785,82.08955223880598,107.74056230671385
0.6,20.0,10.0,50.0,60.0,0.35,20.0,68,13.046713803306282,10.660614535613888,82.35294117647058,107.58595815647143
0.6,20.0,10.0,50.0,55.0,0.45,20.0,59,13.921441620722234,10.965200262639518,79.66101694915254,106.93262210921165
0.6,25.0,10.0,50.0,55.0,0.45,20.0,58,14.029302593036743,11.00172581437987,79.3103448275862,106.84398538207603
0.6,30.0,10.0,50.0,55.0,0.35,20.0,62,13.544156546597808,10.870617823318153,80.64516129032258,106.64679529475976
0.6,20.0,10.0,50.0,60.0,0.45,20.0,57,14.117765303360626,11.038251366120221,78.94736842105263,106.58679063638266
0.6,25.0,10.0,50.0,60.0,0.45,20.0,57,14.117765303360626,11.038251366120221,78.94736842105263,106.58679063638266
0.6,30.0,10.0,50.0,60.0,0.35,20.0,61,13.618865209581786,10.965200262639518,80.32786885245902,106.36673758935255
0.6,20.0,10.0,50.0,55.0,0.4,20.0,62,13.456998691227916,10.870617823318153,80.64516129032258,105.96051365529524
0.6,25.0,10.0,50.0,55.0,0.4,20.0,61,13.551941207043443,10.965200262639518,80.32786885245902,105.84404442021707
0.6,30.0,10.0,55.0,55.0,0.35,20.0,55,14.243670261183107,10.776035383996785,81.81818181818183,105.63388584167565
0.6,20.0,10.0,50.0,60.0,0.4,20.0,60,13.628024758751248,11.00172581437987,80.0,105.56222586469187
0.6,25.0,10.0,50.0,60.0,0.4,20.0,60,13.628024758751248,11.00172581437987,80.0,105.56222586469187
0.6,30.0,10.0,55.0,60.0,0.35,20.0,54,14.341017338157329,10.870617823318153,81.48148148148148,105.38452461267629
0.6,25.0,10.0,55.0,55.0,0.35,20.0,60,13.499040371629402,10.486965325654896,83.33333333333334,104.56311709820451
0.6,30.0,10.0,50.0,55.0,0.45,20.0,54,14.216699785252306,11.00172581437987,77.77777777777779,104.47098090061
0.6,20.0,10.0,55.0,55.0,0.35,20.0,61,13.36433525577434,10.4287369640788,83.60655737704919,104.3787951001194
0.6,25.0,10.0,55.0,60.0,0.35,20.0,59,13.575516850732017,10.545193687230991,83.05084745762711,104.27552353311887
0.6,30.0,10.0,50.0,55.0,0.4,20.0,56,13.92931644320595,11.00172581437987,78.57142857142857,104.23745952486654
0.6,30.0,10.0,50.0,60.0,0.45,20.0,53,14.315374722623572,11.038251366120221,77.35849056603774,104.21750108692822
0.6,20.0,10.0,55.0,60.0,0.35,20.0,60,13.43729204162766,10.486965325654896,83.33333333333334,104.08481659069878
0.6,30.0,10.0,50.0,60.0,0.4,20.0,55,14.019178049362877,11.038251366120221,78.18181818181819,103.9690070400097
0.6,20.0,10.0,50.0,55.0,0.45,25.0,60,13.356900253848917,10.870617823318153,78.33333333333333,103.46210448022094
0.6,30.0,10.0,55.0,55.0,0.4,20.0,49,14.76950774072531,10.965200262639518,79.59183673469387,103.38655418507716
0.6,30.0,10.0,55.0,55.0,0.45,20.0,49,14.76950774072531,10.965200262639518,79.59183673469387,103.38655418507716
0.6,25.0,10.0,50.0,55.0,0.45,25.0,59,13.453364576346681,10.965200262639518,77.96610169491525,103.33725411013147
0.6,20.0,10.0,55.0,55.0,0.45,20.0,52,14.328855128555237,10.870617823318153,80.76923076923077,103.3268437694021
0.6,25.0,10.0,55.0,55.0,0.45,20.0,52,14.328855128555237,10.870617823318153,80.76923076923077,103.3268437694021
0.6,30.0,10.0,55.0,60.0,0.4,20.0,48,14.889978149811773,11.00172581437987,79.16666666666666,103.16079471625767
0.6,30.0,10.0,55.0,60.0,0.45,20.0,48,14.889978149811773,11.00172581437987,79.16666666666666,103.16079471625767
0.6,20.0,10.0,55.0,60.0,0.45,20.0,51,14.4335987956921,10.965200262639518,80.3921568627451,103.07651276573742
0.6,25.0,10.0,55.0,60.0,0.45,20.0,51,14.4335987956921,10.965200262639518,80.3921568627451,103.07651276573742
0.6,20.0,10.0,50.0,60.0,0.45,25.0,58,13.530372101722053,11.00172581437987,77.58620689655173,103.04424396462613
0.6,25.0,10.0,50.0,60.0,0.45,25.0,58,13.530372101722053,11.00172581437987,77.58620689655173,103.04424396462613
0.65,20.0,10.0,50.0,55.0,0.35,20.0,55,13.868671073563757,11.038251366120221,83.63636363636363,102.85281743379092
0.65,25.0,10.0,50.0,55.0,0.35,20.0,54,13.983544515176403,11.074681238615668,83.33333333333334,102.7576465730297
0.65,20.0,10.0,50.0,60.0,0.35,20.0,53,14.077820296508504,11.111111111111116,83.01886792452831,102.48807876012556
0.65,25.0,10.0,50.0,60.0,0.35,20.0,53,14.077820296508504,11.111111111111116,83.01886792452831,102.48807876012556
0.6,20.0,10.0,55.0,55.0,0.4,20.0,53,14.070365990612874,10.776035383996785,81.13207547169812,102.43381059405706
0.6,25.0,10.0,55.0,55.0,0.4,20.0,53,14.070365990612874,10.776035383996785,81.13207547169812,102.43381059405706
0.6,25.0,14.0,50.0,55.0,0.35,20.0,58,13.436758142322997,10.660614535613888,81.03448275862068,102.33130129030137
0.6,25.0,14.0,50.0,60.0,0.35,20.0,58,13.436758142322997,10.660614535613888,81.03448275862068,102.33130129030137
0.6,25.0,10.0,50.0,60.0,0.35,25.0,71,12.140541837120692,10.4287369640788,78.87323943661971,102.29802384709261
0.6,20.0,10.0,50.0,60.0,0.35,25.0,72,12.045284704722773,10.300205391910644,79.16666666666666,102.20762995238488
0.6,20.0,10.0,55.0,60.0,0.4,20.0,52,14.168124411498214,10.870617823318153,80.76923076923077,102.16779808561974
0.6,25.0,10.0,55.0,60.0,0.4,20.0,52,14.168124411498214,10.870617823318153,80.76923076923077,102.16779808561974
0.6,20.0,14.0,50.0,55.0,0.35,20.0,59,13.298542382359397,10.545193687230991,81.35593220338984,102.14804227311035
0.6,20.0,14.0,50.0,60.0,0.35,20.0,59,13.298542382359397,10.545193687230991,81.35593220338984,102.14804227311035
0.6,20.0,10.0,50.0,55.0,0.35,25.0,75,11.70912823776191,8.986928104575153,78.66666666666666,101.40402510071532
0.6,30.0,14.0,50.0,55.0,0.35,20.0,54,13.790956776839263,10.907143375058503,79.62962962962963,101.34242150410181
0.6,30.0,14.0,50.0,60.0,0.35,20.0,54,13.790956776839263,10.907143375058503,79.62962962962963,101.34242150410181
0.6,25.0,10.0,50.0,55.0,0.35,25.0,73,11.852562798646462,10.171673819742487,78.08219178082192,101.2683409432466
0.6,20.0,10.0,50.0,55.0,0.4,25.0,65,12.550018650841178,10.545193687230991,78.46153846153847,101.18148510903559
0.6,25.0,10.0,50.0,55.0,0.4,25.0,64,12.626339173096806,10.660614535613888,78.125,101.01071338477445
0.6,30.0,10.0,50.0,55.0,0.45,25.0,55,13.595468145671774,10.965200262639518,76.36363636363637,100.82669029328828
0.6,20.0,10.0,50.0,60.0,0.4,25.0,63,12.68410760275588,10.776035383996785,77.77777777777779,100.67698295902714
0.6,25.0,10.0,50.0,60.0,0.4,25.0,63,12.68410760275588,10.776035383996785,77.77777777777779,100.67698295902714
0.6,30.0,10.0,50.0,60.0,0.35,25.0,65,12.474380583072325,10.545193687230991,76.92307692307693,100.57167151109982
0.6,30.0,10.0,50.0,60.0,0.45,25.0,54,13.680811479766156,11.00172581437987,75.92592592592592,100.53302217791266
0.65,20.0,10.0,50.0,55.0,0.45,20.0,47,14.62909950297821,11.111111111111116,80.85106382978722,100.29205330731719
0.65,25.0,10.0,50.0,55.0,0.45,20.0,46,14.78048198724989,11.384783798576903,80.43478260869566,100.24610614716788
0.6,20.0,14.0,50.0,55.0,0.4,20.0,51,14.021940146263763,11.038251366120221,78.43137254901961,100.13668198385433
0.6,20.0,14.0,50.0,60.0,0.4,20.0,51,14.021940146263763,11.038251366120221,78.43137254901961,100.13668198385433
0.6,25.0,14.0,50.0,55.0,0.4,20.0,51,14.021940146263763,11.038251366120221,78.43137254901961,100.13668198385433
0.6,25.0,14.0,50.0,60.0,0.4,20.0,51,14.021940146263763,11.038251366120221,78.43137254901961,100.13668198385433
0.65,20.0,10.0,50.0,60.0,0.45,20.0,45,14.909227629087109,11.65845648604269,80.0,100.01413941197039
0.65,25.0,10.0,50.0,60.0,0.45,20.0,45,14.909227629087109,11.65845648604269,80.0,100.01413941197039
0.65,20.0,10.0,50.0,55.0,0.4,20.0,49,14.283828756242547,11.111111111111116,81.63265306122449,99.98680129369784
0.65,25.0,10.0,50.0,55.0,0.4,20.0,48,14.421710496445916,11.120683053832604,81.25,99.91654124757481
0.65,20.0,10.0,50.0,60.0,0.4,20.0,47,14.53734416435806,11.13025499655409,80.85106382978722,99.66301039799461
0.65,25.0,10.0,50.0,60.0,0.4,20.0,47,14.53734416435806,11.13025499655409,80.85106382978722,99.66301039799461
0.6,20.0,10.0,55.0,55.0,0.45,25.0,53,13.682064647041424,10.776035383996785,79.24528301886792,99.60693414270163
0.6,25.0,10.0,55.0,55.0,0.45,25.0,53,13.682064647041424,10.776035383996785,79.24528301886792,99.60693414270163
0.6,20.0,14.0,50.0,55.0,0.45,20.0,50,14.079773849257956,10.907143375058503,78.0,99.5590356638332
0.6,20.0,14.0,50.0,60.0,0.45,20.0,50,14.079773849257956,10.907143375058503,78.0,99.5590356638332
0.6,25.0,14.0,50.0,55.0,0.45,20.0,50,14.079773849257956,10.907143375058503,78.0,99.5590356638332
0.6,25.0,14.0,50.0,60.0,0.45,20.0,50,14.079773849257956,10.907143375058503,78.0,99.5590356638332
0.6,30.0,14.0,55.0,55.0,0.35,20.0,48,14.366364621764204,10.660614535613888,81.25,99.53309377982254
0.6,30.0,14.0,55.0,60.0,0.35,20.0,48,14.366364621764204,10.660614535613888,81.25,99.53309377982254
0.6,30.0,10.0,55.0,55.0,0.45,25.0,50,14.075096778077265,10.870617823318153,78.0,99.5259637763536
0.6,30.0,10.0,50.0,55.0,0.35,25.0,67,12.150647041273489,10.4287369640788,76.11940298507463,99.45733243933174
0.65,30.0,10.0,50.0,55.0,0.35,20.0,51,13.923464589759924,11.038251366120221,82.35294117647058,99.43342584512123
0.6,20.0,10.0,55.0,60.0,0.45,25.0,52,13.772355734396545,10.870617823318153,78.84615384615384,99.3138695685945
0.6,25.0,10.0,55.0,60.0,0.45,25.0,52,13.772355734396545,10.870617823318153,78.84615384615384,99.3138695685945
0.65,20.0,10.0,55.0,55.0,0.35,20.0,48,14.327373916167629,11.00172581437987,83.33333333333334,99.26295824735763
0.65,25.0,10.0,55.0,55.0,0.35,20.0,48,14.327373916167629,11.00172581437987,83.33333333333334,99.26295824735763
0.6,30.0,10.0,55.0,60.0,0.45,25.0,49,14.178936955087513,10.965200262639518,77.55102040816327,99.2525586856126
0.65,30.0,10.0,50.0,60.0,0.35,20.0,50,14.022195319463616,11.074681238615668,82.0,99.1518939751499
0.6,30.0,10.0,50.0,55.0,0.4,25.0,59,12.906084987594559,10.776035383996785,76.27118644067797,99.13351982409282
0.6,30.0,10.0,55.0,60.0,0.35,25.0,58,13.00860166165014,10.486965325654896,77.58620689655173,99.07055867969169
0.65,20.0,10.0,55.0,60.0,0.35,20.0,47,14.441000422797254,11.038251366120221,82.97872340425532,99.00251098294342
0.65,25.0,10.0,55.0,60.0,0.35,20.0,47,14.441000422797254,11.038251366120221,82.97872340425532,99.00251098294342
0.6,30.0,14.0,50.0,55.0,0.4,20.0,48,14.271160018328942,11.074681238615668,77.08333333333334,98.87349693876527
0.6,30.0,14.0,50.0,60.0,0.4,20.0,48,14.271160018328942,11.074681238615668,77.08333333333334,98.87349693876527
0.6,30.0,10.0,50.0,60.0,0.4,25.0,58,12.973656657991445,10.870617823318153,75.86206896551724,98.80442546064349
0.65,20.0,14.0,50.0,55.0,0.35,20.0,46,14.545905891331667,11.120683053832604,82.6086956521739,98.65513365849725
0.65,20.0,14.0,50.0,60.0,0.35,20.0,46,14.545905891331667,11.120683053832604,82.6086956521739,98.65513365849725
0.65,25.0,14.0,50.0,55.0,0.35,20.0,46,14.545905891331667,11.120683053832604,82.6086956521739,98.65513365849725
0.65,25.0,14.0,50.0,60.0,0.35,20.0,46,14.545905891331667,11.120683053832604,82.6086956521739,98.65513365849725
0.7,20.0,10.0,50.0,55.0,0.35,20.0,45,14.701204096969485,11.038251366120221,82.22222222222221,98.61867513576654
0.7,25.0,10.0,50.0,55.0,0.35,20.0,45,14.701204096969485,11.038251366120221,82.22222222222221,98.61867513576654
0.6,25.0,10.0,55.0,60.0,0.35,25.0,63,12.397451655688911,10.171673819742487,79.36507936507937,98.40172191569646
0.65,30.0,10.0,55.0,55.0,0.35,20.0,46,14.506574192118498,11.00172581437987,82.6086956521739,98.3883730956365
0.7,20.0,10.0,50.0,60.0,0.35,20.0,44,14.83107400588754,11.084253181337155,81.81818181818183,98.37821543104437
0.7,25.0,10.0,50.0,60.0,0.35,20.0,44,14.83107400588754,11.084253181337155,81.81818181818183,98.37821543104437
0.6,30.0,14.0,50.0,55.0,0.45,20.0,47,14.337987784749686,11.038251366120221,76.59574468085107,98.29629191701315
0.6,30.0,14.0,50.0,60.0,0.45,20.0,47,14.337987784749686,11.038251366120221,76.59574468085107,98.29629191701315
0.6,20.0,10.0,55.0,60.0,0.35,25.0,64,12.286273165826126,9.560545081077464,79.6875,98.290185326609
0.65,30.0,10.0,55.0,60.0,0.35,20.0,45,14.629232994063907,11.038251366120221,82.22222222222221,98.13587830022902
0.65,20.0,10.0,60.0,55.0,0.35,20.0,42,15.126963398108273,11.074681238615668,83.33333333333334,98.03392733744636
0.65,25.0,10.0,60.0,55.0,0.35,20.0,42,15.126963398108273,11.074681238615668,83.33333333333334,98.03392733744636
0.6,25.0,14.0,55.0,55.0,0.35,20.0,51,13.71769869699845,10.4287369640788,82.35294117647058,97.96396344892995
0.6,25.0,14.0,55.0,60.0,0.35,20.0,51,13.71769869699845,10.4287369640788,82.35294117647058,97.96396344892995
0.6,30.0,10.0,55.0,55.0,0.35,25.0,60,12.629291837355513,10.300205391910644,76.66666666666667,97.82607392094235
0.65,20.0,10.0,60.0,60.0,0.35,20.0,41,15.276720356487129,11.111111111111116,82.92682926829268,97.81873838310652
0.65,25.0,10.0,60.0,60.0,0.35,20.0,41,15.276720356487129,11.111111111111116,82.92682926829268,97.81873838310652
0.6,30.0,10.0,55.0,55.0,0.4,25.0,52,13.560061014309344,10.660614535613888,76.92307692307693,97.78299057102514
0.7,30.0,10.0,50.0,55.0,0.35,20.0,43,14.910294168023993,11.038251366120221,81.3953488372093,97.77333738607598
0.6,20.0,14.0,55.0,55.0,0.35,20.0,52,13.555474266372915,10.300205391910644,82.6923076923077,97.74991506128029
0.6,20.0,14.0,55.0,60.0,0.35,20.0,52,13.555474266372915,10.300205391910644,82.6923076923077,97.74991506128029
0.7,30.0,10.0,50.0,60.0,0.35,20.0,42,15.051326693344205,11.084253181337155,80.95238095238095,97.54374546658839
0.6,30.0,10.0,55.0,60.0,0.4,25.0,51,13.64973028704923,10.776035383996785,76.47058823529412,97.47857191387574
0.6,25.0,10.0,55.0,55.0,0.35,25.0,65,12.066124125754216,8.986928104575153,78.46153846153847,97.28020272479398
0.65,30.0,10.0,60.0,55.0,0.35,20.0,40,15.373023189548803,11.074681238615668,82.5,97.22753560312125
0.6,30.0,14.0,55.0,55.0,0.4,20.0,42,14.997369447027408,10.907143375058503,78.57142857142857,97.1940625444091
0.6,30.0,14.0,55.0,55.0,0.45,20.0,42,14.997369447027408,10.907143375058503,78.57142857142857,97.1940625444091
0.6,30.0,14.0,55.0,60.0,0.4,20.0,42,14.997369447027408,10.907143375058503,78.57142857142857,97.1940625444091
0.6,30.0,14.0,55.0,60.0,0.45,20.0,42,14.997369447027408,10.907143375058503,78.57142857142857,97.1940625444091
0.6,20.0,10.0,55.0,55.0,0.35,25.0,66,11.963334795128707,8.968172223493797,78.78787878787878,97.19059132314331
0.6,20.0,10.0,55.0,55.0,0.4,25.0,56,12.984762338411214,10.486965325654896,78.57142857142857,97.16906383804078
0.6,25.0,10.0,55.0,55.0,0.4,25.0,56,12.984762338411214,10.486965325654896,78.57142857142857,97.16906383804078
0.65,30.0,10.0,60.0,60.0,0.35,20.0,39,15.536769217368645,11.111111111111116,82.05128205128204,97.02709266404504
0.6,20.0,10.0,55.0,60.0,0.4,25.0,55,13.057450233571872,10.545193687230991,78.18181818181819,96.83664266754263
0.6,25.0,10.0,55.0,60.0,0.4,25.0,55,13.057450233571872,10.545193687230991,78.18181818181819,96.83664266754263
0.65,20.0,10.0,50.0,55.0,0.35,25.0,59,12.590862189173205,10.776035383996785,79.66101694915254,96.7122475663674
0.65,25.0,10.0,50.0,55.0,0.35,25.0,58,12.675782136805832,10.870617823318153,79.3103448275862,96.53588069327601
0.65,20.0,10.0,50.0,65.0,0.35,20.0,50,13.646387365856437,11.074681238615668,84.0,96.49453045095515
0.65,25.0,10.0,50.0,65.0,0.35,20.0,50,13.646387365856437,11.074681238615668,84.0,96.49453045095515
0.65,30.0,14.0,50.0,55.0,0.35,20.0,44,14.545260378916613,11.120683053832604,81.81818181818183,96.48234230977803
0.65,30.0,14.0,50.0,60.0,0.35,20.0,44,14.545260378916613,11.120683053832604,81.81818181818183,96.48234230977803
0.6,25.0,14.0,50.0,60.0,0.35,25.0,62,12.248644070483001,10.300205391910644,77.41935483870968,96.44591985695124
0.65,20.0,10.0,55.0,55.0,0.4,20.0,42,14.877253523474389,11.074681238615668,80.95238095238095,96.41562239011222
0.65,20.0,10.0,55.0,55.0,0.45,20.0,42,14.877253523474389,11.074681238615668,80.95238095238095,96.41562239011222
0.65,25.0,10.0,55.0,55.0,0.4,20.0,42,14.877253523474389,11.074681238615668,80.95238095238095,96.41562239011222
0.65,25.0,10.0,55.0,55.0,0.45,20.0,42,14.877253523474389,11.074681238615668,80.95238095238095,96.41562239011222
0.65,30.0,10.0,50.0,55.0,0.45,20.0,44,14.53192048630628,11.074681238615668,79.54545454545455,96.39385547271381
0.65,20.0,10.0,50.0,55.0,0.45,25.0,48,13.908679921839562,11.074681238615668,79.16666666666666,96.36216116335697
0.6,20.0,14.0,50.0,60.0,0.35,25.0,63,12.138062867847884,10.171673819742487,77.77777777777779,96.34288723917889
0.65,25.0,10.0,50.0,55.0,0.45,25.0,47,14.041513425996131,11.111111111111116,78.72340425531915,96.2637661155234
0.65,20.0,10.0,50.0,60.0,0.35,25.0,57,12.740498874213387,10.965200262639518,78.94736842105263,96.18865712306444
0.65,25.0,10.0,50.0,60.0,0.35,25.0,57,12.740498874213387,10.965200262639518,78.94736842105263,96.18865712306444
0.65,20.0,10.0,55.0,60.0,0.4,20.0,41,15.020919997106075,11.111111111111116,80.48780487804879,96.18081690200967
0.65,20.0,10.0,55.0,60.0,0.45,20.0,41,15.020919997106075,11.111111111111116,80.48780487804879,96.18081690200967
0.65,25.0,10.0,55.0,60.0,0.4,20.0,41,15.020919997106075,11.111111111111116,80.48780487804879,96.18081690200967
0.65,25.0,10.0,55.0,60.0,0.45,20.0,41,15.020919997106075,11.111111111111116,80.48780487804879,96.18081690200967
0.65,30.0,10.0,50.0,60.0,0.45,20.0,43,14.660873797509332,11.111111111111116,79.06976744186046,96.13777863971745
0.65,30.0,10.0,50.0,55.0,0.4,20.0,46,14.168357256812724,11.074681238615668,80.43478260869566,96.09447423451141
0.6,30.0,10.0,50.0,65.0,0.35,20.0,58,12.615474893970568,10.870617823318153,81.03448275862068,96.0765944152024
0.7,20.0,10.0,50.0,55.0,0.4,20.0,40,15.17786113936072,11.084253181337155,80.0,95.99322242027638
0.7,25.0,10.0,50.0,55.0,0.4,20.0,40,15.17786113936072,11.084253181337155,80.0,95.99322242027638
0.65,20.0,10.0,50.0,60.0,0.45,25.0,46,14.15139571559224,11.384783798576903,78.26086956521739,95.97943546493171
0.65,25.0,10.0,50.0,60.0,0.45,25.0,46,14.15139571559224,11.384783798576903,78.26086956521739,95.97943546493171
0.65,20.0,14.0,50.0,55.0,0.4,20.0,40,15.15605927527837,11.39435574129839,80.0,95.8553353248011
0.65,20.0,14.0,50.0,60.0,0.4,20.0,40,15.15605927527837,11.39435574129839,80.0,95.8553353248011
0.65,25.0,14.0,50.0,55.0,0.4,20.0,40,15.15605927527837,11.39435574129839,80.0,95.8553353248011
0.65,25.0,14.0,50.0,60.0,0.4,20.0,40,15.15605927527837,11.39435574129839,80.0,95.8553353248011
0.65,30.0,10.0,50.0,60.0,0.4,20.0,45,14.283500126862448,11.111111111111116,80.0,95.81663172087391
0.6,20.0,14.0,55.0,55.0,0.4,20.0,44,14.440672926173619,10.660614535613888,79.54545454545455,95.78858763272295
0.6,20.0,14.0,55.0,55.0,0.45,20.0,44,14.440672926173619,10.660614535613888,79.54545454545455,95.78858763272295
0.6,20.0,14.0,55.0,60.0,0.4,20.0,44,14.440672926173619,10.660614535613888,79.54545454545455,95.78858763272295
0.6,20.0,14.0,55.0,60.0,0.45,20.0,44,14.440672926173619,10.660614535613888,79.54545454545455,95.78858763272295
