特徴量名,元スコアとのピアソン相関,元スコアとのスピアマン相関,元順位とのピアソン相関,元順位とのスピアマン相関
trend_r2,0.4076161826673007,0.4208338478001399,0.4034476778329764,0.4208338478001399
chart_score_raw,0.3730960543163097,0.4175412602378894,0.3592027511031864,0.4175412602378894
quarter_return_pct,0.052160023506923,0.1755854632259126,0.0529640673170867,0.1755854632259126
stable_type_score_raw,0.1805517133198602,0.1583816932131538,0.1650610544670389,0.1583816932131538
overall_shikiho_score,0.1236466836070072,0.1419352183397127,0.0970526903031982,0.1419352183397127
dividend_score_raw,0.1193696535788652,0.1407246849745884,0.1050190335598096,0.1407246849745884
annual_return_pct,0.1333600234599511,0.1324854920360538,0.1136470563853355,0.1324854920360538
ocr_earnings_num_mean,0.0627734800689505,0.1060696860490028,0.0854981483163768,0.1060696860490028
ocr_shareholder_count,0.0857180429889728,0.1009609629191708,0.0675508638421645,0.1009609629191708
persistence_20d_pct,0.0791267852005616,0.0841996209801831,0.0660955696776227,0.0841996209801831
ocr_earnings_num_count,-0.0204841540250765,0.0743840436412681,-0.0090318043899665,0.0743840436412681
avg_monthly_high_low_change_pct,0.0200210290076649,0.0719841955797011,0.0261251314779996,0.0719841955797011
ocr_positive_count,0.0722122447432053,0.0383599203362357,0.0635082992604309,0.0383599203362357
sector_adjusted_per_score_raw,0.0167305632484568,0.0177860496948487,0.012244149563297,0.0177860496948487
ocr_yield,-0.0518064255433493,-0.027769138538975,-0.0446167398580445,-0.027769138538975
ocr_negative_count,0.0100932311037768,-0.0470655193750108,-0.0194002756262522,-0.0470655193750108
finance_score_raw,-0.0435481373166115,-0.0479976951887064,-0.057896701044837,-0.0479976951887064
earnings_score_raw,-0.0677783593571672,-0.0544694354188685,-0.053645266449563,-0.0544694354188685
ocr_pbr,-0.0875201514382294,-0.0568321623882166,-0.0614766900719312,-0.0568321623882166
ocr_per,0.0767682742387301,-0.0633425684385289,0.0785397808273477,-0.0633425684385289
theme_peer_count,-0.0061954470300939,-0.0745230555376587,-0.04633421135792,-0.0745230555376587
surge_type_score_raw,-0.0814036298253383,-0.0911799810676215,-0.1182203676528008,-0.0911799810676215
business_score_raw,-0.0577426710393804,-0.0958368441666233,-0.0965799468418102,-0.0958368441666233
article_score_raw,-0.099745021971269,-0.1160532019702141,-0.1006645171636674,-0.1160532019702141
theme_peer_signal_raw,-0.0675105051044502,-0.1192216109110825,-0.1045055681794067,-0.1192216109110825
ocr_roe,-0.1267633876813736,-0.153777763773226,-0.1326628904108294,-0.153777763773226
ocr_roa,-0.1127898456361677,-0.159795399675538,-0.1175658631929454,-0.159795399675538
theme_peer_median_quarter_return_pct,-0.1542980354803171,-0.160108917185005,-0.1690735363776798,-0.160108917185005
max_drawdown_pct,-0.185529634524707,-0.1764909248055315,-0.1993173503214586,-0.1764909248055315
ocr_theme_count,,,,
theme_peer_positive_ratio_pct,,,,
