ticker,company_name,base_rank,base_score,sector,annual_return_pct,quarter_return_pct,trend_r2,max_drawdown_pct,avg_monthly_high_low_change_pct,persistence_20d_pct,image_found,ocr_positive_count,ocr_negative_count,ocr_theme_count,ocr_shareholder_count,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_dividend_hint,ocr_earnings_num_count,ocr_earnings_num_mean,ocr_sales_points,ocr_op_points,ocr_np_points,ocr_eps_points,ocr_div_points,ocr_sales_trend,ocr_op_trend,ocr_np_trend,ocr_eps_trend,ocr_div_trend,theme_text_compact,theme_source_text,business_score_raw,article_score_raw,finance_score_raw,chart_score_raw,earnings_score_raw,dividend_score_raw,surge_type_score_raw,stable_type_score_raw,sector_adjusted_per_score_raw,theme_group_labels,theme_peer_count,theme_peer_median_quarter_return_pct,theme_peer_positive_ratio_pct,theme_peer_signal_raw,business_score,business_score_rank,article_score,article_score_rank,finance_score,finance_score_rank,chart_score,chart_score_rank,earnings_score,earnings_score_rank,dividend_score,dividend_score_rank,surge_type_score,surge_type_score_rank,stable_type_score,stable_type_score_rank,sector_adjusted_per_score,sector_adjusted_per_score_rank,theme_peer_signal,theme_peer_signal_rank,overall_shikiho_score,overall_shikiho_rank,ocr_style_label,ocr_style_rank_within_label
4016.T,ＭＩＴホールディングス,78,0.8431099544567339,情報・通信業,34.48275862068966,48.41363102232668,0.7588404488383423,16.913580246913583,23.90145227102342,100.0,True,4.0,0.0,0.0,1.0,10.2,2.53,20.5,5.1,,medium,medium,medium,medium,missing,,1.0,780.0,0.0,0.0,1.0,0.0,1.0,,,,,,ト木:地森場社い本余負′,"ト木:地森場社い本余負′【連続増益】カのは逆輸物流分野の大型案件も寄与し出足順調。図面><もo知<2製図サービス商拡大など効き長。営業増益続く。流通株式時価総額基準の充足も念頭に創立年配含め大幅増龝。【育成】独自製品を展開の分野は新サービス相次ぎ投人し育成図る。ことにデジタルブックは教育市場を獺い、教材出版社社や、学校・学習向けなど、多面展開へ。体ー貶987643会足久巧1イ株ーーホムビ.【連続増益】主力のは運輸物流分野の躾食大型案件も寄与し出足順調。図面><もム<2製図サービス商圏拡大など効き仲長。ー営業増続く。流通株式時価総額基準の充幻之足も念頭に創立周年配含め大幅増配引【育成】独自製品を展開の2><分野は新0サービス相次ぎ投人し育成図る。ことにデ】塗ジタルブックは教育市場を狙い、教材出版社社や、学校・学習塾向けなど、多面展開へ。体新ー""蠍87当ー会効疋久巧1イテシー一瀧己保明雄久彦員トバルイ.自命英将典み未フー、マ、・7ー4前号並み【情報・通信】ノ~,,均均人【特色】、,公共・金融立ネギー向""黜新新績仗価ほそク富^幻・Ⅱ〉浜2ー【連続増益】主力のは運輸物流分野の欣Ⅲ七Ⅷ1大案件も寄与し出足順調。図面2><もお「信」・サ<2製図サービス商圏拡大など効を仲長。千ス黜葉情営業増続く。流通株式時価総額基準の充シい一会足も念頭に創立周年配含め大幅増配「ゆジタルプ,クは教育市場を狙い、教材出版東冂社や、学校・学習塾向けなど、多面展開へ。体ん丸興2新ーⅱ和丿オー蠍8764にテシー一瀧己保明雄久彦員トバルイ.自命英将典4未フ飜犧【,歸0惴0噐0https:/7mlt-nd.CO.jp/",1.6,5.0,10.403641975308643,75.13711289139694,3.0,2.0,15.173090481786137,33.921558809371085,0.8125,物流運輸,0,,,,0.9777777777777777,2,0.9777777777777777,2,0.8222222222222222,17,0.7222222222222222,26,0.9888888888888889,1,0.5611111111111111,37,0.9888888888888889,2,0.7777777777777778,21,0.7833333333333333,20,0.0,39,0.7891111111111111,1,業績急伸型,1
6269.T,三井海洋開発,4,0.9092127521145088,機械,242.44604316546764,31.897926634768737,0.8605432104306301,30.811403508771928,19.52052589385922,95.0,True,4.0,0.0,0.0,1.0,8.2,1.86,21.31,4.9,2.46,medium,medium,medium,medium,low,,1.0,72226262222.0,0.0,1.0,0.0,0.0,0.0,,,,,,"14.5東(OA龕【株式】&5【株ド務く03>日マスター乢日・カストディ己・本一,0MSIP4->安き比ー-リティー【指等】くわバーセ冫","14.5東(OA龕【株式】&5【株ド務く03>日マスター乢日・カストディ己・本一,0MSIP4->安き比ー-リティー【指等】くわバーセ冫【快疋】はリース安定貢献、繕効果で運営は好採算維持。新造2案件完京!、プラジル案件も寄与。業務内製化など建進に程の見直しで採算性向営業大幅増益。増龝。会社計面は—ドル—58円換算。【新規案件】英シェル社の案件をに後は運営とメンテナンスサービス提供。米エクソンモービル社の南米案件も受注。竸合少ない大型案件に特化。<チセトく艪アズ.ト.roンーー圏野に【2(OAⅱ9東毅P23一759【株式】&5【株トル取閉」2>もス受増建工繕讐、皿物受提新益造、効快。。完案増程ラで走ー74Ⅱ己・本10MSⅣクライアントセキ、竸米T佇配のジ運f一本比事幻ーティーズ%7合ェ後へ見ル営F3少クは英直案はP.0物「皿ルガン誕券よ074,別6YM・AS・AGT・CLTSIOなソ運シ計し件好S・ーー歇8引52【指標等】く024・肥〉パーセント1(圏)いン営工画でも採00四」27,ー273;4,4・給ーー幻9.4加.12【業績】高材業料税前科純科ー盟ICNIJO【当】新【本社】ー-气棗中。米サ案換業化案、件ルテFー向業。ス益(24」2),8ンアカウント材(ー2)引引い調整ー株益間FASに・セグリゲーショ案ビンのド性。持ー4ROA4予ンク12Kに)ロメ社ー算与維リ義・安願日・ROE幻予ー」pモルガン・チェース・バ大モとルは採寄算は【機前号並み会社比蹙・,一」三井海洋開発し'、-予鸞安瞿最^幻・肥〉央38【快走】はリース安定貢献、修村さほ繕効果で運営は好採算維持。新造2案件完工、プラジル案件も寄与。業務内製になど幻建造に程の見直しで採算性向上。営業大幅増益。増配。会社計画はードルー58円換算。丸わ泉信ー「受注、完、後は運営とメ、一テナ、一=サービ'本版井ス提供米エクソンモービル社の南米案件も受注。竸合少ない大型案件に特化。のヨ盟木・平ー22?1621一1リ動・、物弘.アズトザ窄ンー樹前明」【2人裕22500亠5龕222野772年ー7伍0https://www.modec.com/",1.6,3.0,11.014285714285714,74.82077042757884,1.0,2.984,9.2518341307815,34.84834639002059,0.8571428571428571,金融,1,23.4375,100.0,,0.9777777777777777,2,0.8777777777777778,8,0.9,10,0.6555555555555556,32,0.6555555555555556,17,0.6777777777777778,30,0.8777777777777778,12,0.8222222222222222,17,0.8722222222222222,12,0.0,39,0.7424444444444444,2,中間型,1
146A.T,コロンビア・ワークス,99,0.8281782693558881,不動産業,85.48387096774192,45.436893203883486,0.7970069914707162,24.541284403669728,22.678283704014834,95.0,True,2.0,0.0,0.0,2.0,5.5,1.3,23.21,4.31,,medium,medium,medium,medium,missing,,5.0,1645491.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,,冊→ー・3・4東⑤OA34474【株式】&【株ドN物BNY・GCh己・本貶214PRDISGき比鵯日本カトー野村梦453NMSIP4ラ【指等】くいわイー,"冊→ー・3・4東⑤OA34474【株式】&【株ドN物BNY・GCh己・本貶214PRDISGき比鵯日本カトー野村梦453NMSIP4ラ【指等】くいわイー【連続増配】沖縄会社が加算。中トー再い賃貸開発が出足から好調。引き合い強く物件売却願調。外部受託案件増え賃貸管理も羈積みトがる。新プランド加わりホテル彧。人件費増などこなし、営業2桁増益続く。【ファンド】3月に第ー号ファンドを~成、稼働。次号以降の案件も着々準備中仕人れ願彧でー四半期の累計投資実行額社は100億円超に。外人需要も盛。体gン名地代票>4ー劉たⅱⅱ53セス222の“、大コホズル券“内高ンン〈幻・肥〉谷1【連続増配】沖縄子会社が加算。中占冉生渋賃貸開発が出足から好調。引き合い強く物京件売却願調外部受託案件増え賃貸管理も積みトがる。新プランド加わりホテル調人件費増などこなし、営業2桁増益続く【ファンド】3月に第ー号ファンドを組0成、稼働次号以降の案件も着々準備中仕人れ願調で第—四半期の累計投資実行額社はー00億円超に。外国人需も肝盛。体ーおⅱⅱ53セス22株2社「【ホ2ココテリ【z水日日野新の川.イム2'っ義44義~ー熱常0【不動産】前号並み0会琵強気(000一0、【'-00,00、。00→0~""000~~一〕-予鸞安瞿最区^幻・肥〉谷3ー【連続増配】沖縄子会社が加算。中占冉生渋5賃貸開発が出足から好調。引き合い強く物京件売却願調。外部受託案件増え賃貸管理も当積みトがる。新プランド加わりホテル調人件費増などこなし、営業2桁増益続く【ファンド】3月に第ー号ファンドを組躑成、稼働次号以降の案件も着々準備中仕人れ願調で第ー四半期の累計投資実行額社井盟はー00億円超に。外国人需も肝盛。体岩信にキ(タ((ー制渮・テ新よー燔おⅱⅱ53セ3ス2222ー平ー22222い準也デタ券フ一モ券中島の燔46https://columbiaworks.jp/",0.8,3.0,12.012,73.60059212197929,1.0,4.0,8.93495145631068,36.08610538871328,1.0,不動産,4,42.10486031381554,100.0,47.262916188289324,0.7944444444444444,12,0.8777777777777778,8,0.9888888888888889,2,0.5333333333333333,43,0.6555555555555556,17,0.8055555555555556,18,0.8555555555555555,14,0.9,10,0.9666666666666667,1,0.8947368421052632,5,0.7207222222222223,3,中間型,2
6231.T,木村工機,95,0.8323812621990891,機械,101.30505709624798,23.4375,0.9580363066588486,19.00237529691211,21.58296528200452,95.0,True,3.0,0.0,0.0,1.0,12.3,2.75,23.31,7.31,1.54,medium,medium,medium,medium,low,,1.0,33333.0,0.0,1.0,0.0,0.0,0.0,,,,,,加.3公カ割物木み日本余負′,"加.3公カ割物木み日本余負′【連続最高益】カの空冷ヒートボンプ式空調、外調機は食品軸に機蟆精雋機向け産業川が好調。暑熱対策に場川ゾーン空大0彧機も高水準。オンイスビル更新需要が願調で大規模ホール等公共施設や病院向け増える。コスト島吸収し営業増益。増配続く。【薄型】床面積半減の薄型空調機投人、オンイスビル市場開。厚労省の熱中策義務化受けてゾーン空調機の拡販強化。・緒当33審ー険行険く1な3【株式】&3【株トルゆ7:ム3>策十え調調け空BJKIMURA42ー9義フ薄るで機産調連く>当募務イ。大も業、新54.9化ス卑コ規高用外最42受ビス模水が調高Ⅱ己・本,7G3み東s業績】高材業料経純科一物ー齪第【当】新【本社】542-2大阪市中5町6。対、。増願空向式時願位52/ⅱーF,5,ー岩測信雄・関美緒・(6.の化症人くけがン器プ加納淳f・強中投続向要ー機ン器、*CF41(2,)・ト6t(Ⅳ.′、鬱投資1,7予・機労掣増設ルエ械ヒ1最純益(コ)2,4調株益調厚薄業ビ策機冷1ROA・予Ⅱーく信>74ー・疋54・空。の営」tス対に空義安願lå-・ROE予丨の29、:に純7、ン拓減し公イ熱軸のー4-ー【指標等】4〉第畔命保険肥()ー開半収等フ暑品カ105ー410賀れ2..3-5310)1,1,ー8行幻4.0幻.3東鬼木,名ド【機會前号比増額決引設ー四-広マけ産業用が好調暑熱対策工場川ゾーン空製,(調機も高水準。オフィスビル更新需要が願東調で大規模ホール等公共施設や病院向け増える。コスト高吸収し営業増。増配続く躑Ⅲ【薄型】床面積半減の薄掣空調機投人、十フィスビル市場開拓。厚労省の熱中症対軅仇版スる伎仙はクに策義務化受けてゾーン空調機の拡販強化-物緒平ーっっっっっっ101「=,資却も)ーゼ載50https://www.kimukOh.CO.jp/",1.2000000000000002,5.0,9.438905327451646,74.21292148835889,2.0,2.616,10.975,34.66006011443376,0.42857142857142855,"建設インフラ,金融",1,31.897926634768737,100.0,,0.9222222222222223,5,0.9777777777777777,2,0.7555555555555555,23,0.6,37,0.8944444444444445,5,0.6333333333333333,34,0.9555555555555556,5,0.8111111111111111,18,0.42777777777777776,52,0.0,39,0.7111111111111112,4,業績急伸型,2
3486.T,グローバル・リンク・マネジメント,14,0.8948666232921275,不動産業,56.28214548126378,43.18407960199004,0.9502748627122244,22.391857506361323,17.079468049983518,100.0,True,1.0,0.0,0.0,2.0,7.9,2.81,33.31,9.4,,medium,medium,medium,medium,missing,,2.0,461111113729.0,0.0,0.0,1.0,0.0,0.0,,,,,,2-順洋ロレ岐木田御一全-山鈴富割月驃彊一一へ奈55545四ート月-異,"2-順洋ロレ岐木田御一全-山鈴富割月驃彊一一へ奈55545四ート月-異【連続最高益】期初マンション販売計画ー渋100戸(前期比128戸減)超の3月末—ーー8戸契約済み。好採算の地企画や中ル・ー。発費や人件費3生増え利益率カー}増を吸収し連続最高純益。連続増龝。【協業】<ー会社はハイプリッドクラウド<—データ基盤提供会社と協業、3年後にー00銀の<—アプリ導人Ⅱ指す。月末まで-::限絽万株・3億円で自己株取得。【ー>4タスス85ーー0h86・ンガル〈幻・肥〉谷1【連続最高益】期初マンション販売計画ー渋ー00戸(前期比ー28戸減)超の3月未ー京118戸契約済み。好採算のー地企画や中東古再生増え利益率がト昇。開発費や人件費増を吸収し連続最高純益。連続増配【協業】<ー子会社はハイプリッドクラ為ウド<ーデータ基盤提供会社と協業、3年後にー00個の<ーアプリ導人Ⅱ指す月未までト限カ株・3億円で自己株取得。【<仲将モ券樹務一ル券52月洋東直にミャ大永都」田旧国信【割全冨・山鈴富月L.nー、。心晉。饕33・、キ220前号並み【不動産】グローバル・リンク・明ゴマネジメント均均人【特色】「アルテシモプランドの投歳川コンパクト黜11績仗価-予鸞安円株最^幻・肥〉谷ⅢⅡ【連続最高益】期初ンシ,ン販売計画1渋ー00戸(前期比ー28戸減)超の3月未ー京118戸契約済み。好採算のー地企画や中東当古再生増え利益率がト昇。開発費や人件費増を吸収し連続最高純。連続増配【協業】<ー子会社はハイプリッドクラ躑ウド<ーデータ基盤提供会社と協業、3年後にー00個の<ーアプリ導人Ⅱ指す月未までト限カ株・3億円で自己株取得。【9仲将モ券樹務一ル券52ま月洋東直にミャ装大永都」田御旧国信【割全山鈴富月外郎中.,<閥ー1000本椪余負株資却発ン(幻のhttps://www.9:003トlink-m.com/",0.4,1.0,10.613333333333333,80.3258468747358,1.0,4.0,6.4547263681592035,36.83088094264388,0.6666666666666666,不動産,4,43.23126711476226,100.0,47.93876026885735,0.5888888888888889,28,0.5555555555555556,33,0.8555555555555555,14,0.9777777777777777,3,0.6555555555555556,17,0.8055555555555556,18,0.6444444444444445,33,0.9444444444444444,6,0.6555555555555556,32,0.9210526315789473,4,0.6901111111111111,5,安定進捗型,1
6045.T,レントラックス,84,0.8402342225113858,サービス業,115.96858638743454,48.7758945386064,0.847315396136191,34.745098039215684,22.37058783915376,95.0,True,3.0,0.0,0.0,2.0,11.5,2.31,20.0,6.31,2.28,medium,medium,medium,medium,low,,2.0,33333.0,1.0,0.0,0.0,1.0,0.0,,,,,,-ム良滋早自Ⅱ賢2ーチド屋沼山Ⅲー木本【割山物物内山本余負′安材Ⅲ45冊ー5,"-ム良滋早自Ⅱ賢2ーチド屋沼山Ⅲー木本【割山物物内山本余負′安材Ⅲ45冊ー5【連続増配】柱のクローズド広告は引き続-き金融でカードローンが好調。自動車、エステクリニック、求職転職なども調。注東西""力の物販も新規願客が増える。中占建機は′ングラディシュなどで好調。人件費増な【新分野】中占建機に続き、新たに中占農機売買をを定。クルーザー小型飛行機、3漁船など中ーー掃売買の分野拡大を枳索。543ー0877・足報・志当33会大切賢28【株式】&79石【株ド.5加.0l<.3>漁機どバカスきイ!2引ー:阪新チーム「332船売新費ンのテ金連ス07鼠痴・5カOA東G高山下良24務くをる.3)・ー10,9、純な買分川グ物ク融続脚14どを野負ラ販リで増連3い行ーⅡ己・本3行凵早田ロ中予担デもニカ配、葡270引Ⅲ14174【指標等】くを3)・ⅱ本賢志7(0.9)買ル機な客求ーク野ーき好え職好ズ8ー調株益漢益(コ)【役員﨑大碍子伸調るな調ド+7ーは′、鬱投資・・予・・英2」ャ?シンu一】廬ハ・*CF1(6%)索行中増費建調車リいへメアイア機占配増機、き、農。なは注工続スペ.9デジタルⅡ夏6,的74,一1】甁高材業料経益純科一物ー脚【当】新【本社】ー・僕東・:都江戸-3NEXTAGbWkGJk12,4石4再幻8惑9幻.310.34434.73前号並み【サービス】71""~一一レントラックス平「堝〕黐広スー()、中占建1械マーケットプレ〈3〉第扉そ5ー【連続増配】柱のクローズド広告は引き続間東~りき金融でカードローンが好調。自動車、ステクリニック、求職転職なども堅調注東四""力の物販も新規頭客が増える。中占建機はロ「ーc-5.ゼパングラディシュなどで好調。人件費増な建京蜘「0【新野】中占建機」続き、新た」中占農'~機売買を予定。クルーザー小掣飛行機、漁船など中占品売買の分野拡大を模索。543ー08(ー(ー・。欝霈蠏は,,な0嘉材本椪余負株資却発ン1111)一1ーンⅡジ明鼠まト0に000幻https://www.rentracks.co.jp/",1.2000000000000002,3.0,10.402,74.96390356003108,0.0,4.912,8.402071563088512,35.43555396136191,0.8,"人材サービス,自動車",0,,,,0.9222222222222223,5,0.8777777777777778,8,0.8111111111111111,18,0.7,28,0.2611111111111111,50,0.8555555555555555,14,0.8222222222222222,17,0.8555555555555555,14,0.7611111111111111,22,0.0,39,0.6806666666666666,6,中間型,3
2982.T,ＡＤワークスグループ,18,0.8884222511385818,不動産業,102.88461538461536,63.934426229508205,0.8574164779479617,18.532818532818528,25.366039824064263,90.0,True,4.0,0.0,0.0,1.0,8.2,0.78,19.5,2.7,1.5,medium,medium,medium,medium,low,,16.0,86084784.0625,0.0,0.0,2.0,0.0,1.0,,,0.0,,,・いバ一マ-7ン・1マ、シス5本余負′,"・いバ一マ-7ン・1マ、シス5本余負′;,審」2>ロ販管らス小ー業売拡理のトⅡ続ハウスー9ートラスト(コンにす物賃ッ化)ー側でる大件料ク商純4既日3人オも収型品ーズ・オムコスマー、ンオ増人ンが柱シ、745)8業イフ加安イ好の、ラスティーリ′億.ァンド(ロ)円容スイ。定ー調収い①調拡区ス営、ビ益ミークレイズキャビ達大分ビ業小ジ不。ル益ロネ物動位253設千業を続化ス佇産ークライアントー;FEAC恥((9)物葉、区伸商であは用髜森齦=響。1にs川有龝大有充D蓄し。に物不・〉当G電分伴件む動。s所割いか。産ーーアイー・リークスー【当】【本社】100-0011京都T-fl5ー2ー3^幻・肥〉代まゾ个動産【続伸】柱の収益不動産は着実。・小凵化商品が好調。—棟物件の売却も進む。京デストック掣フィービジネスでは保有物件か東らの賃料収人安定、小口化商品拡大に伴い工管理物件も増加。営業益続伸。増配2【拡大】オフィスビルを区分所行し分割魅販売するオフィス区分業、系統用蓄電所事業に参人、業容拡大。千彙銀行ローンで3・8億円調達、設備資金に充当閉日お恥は2蔵スラ,日テドク資ラ秀司谷渮イーな前号並み【不動産】4仙^幻・肥〉代ワ2員【続伸】柱の収不動産は着実。不動産千一小凵化商品が好調。ー棟物件の売却も進む。京デ掛ク幻らの賃料収人安定、小口化商品拡大に伴いーエネ管理物件も増加。営業益続伸。増配【拡大】オフィスビルを区分所行し分割躑魅販売するオフィス区分業、系統川蓄電所事業に参人、業容拡大。千彙銀行ローンで3・8億円調達、設備資金に充当6閉日)お飆株2蔵!イレイ効疋人後・一26262舒邪,5https://www.30物qて0JP/",1.6,0.0,10.961718146718148,77.39743669290361,1.0,2.6,9.414754098360657,35.56466284897769,0.5,"エネルギー,不動産,金融",5,41.02564102564104,100.0,47.11538461538463,0.9777777777777777,2,0.25555555555555554,52,0.8666666666666667,13,0.9111111111111111,9,0.6555555555555556,17,0.6222222222222222,35,0.9111111111111111,9,0.8666666666666667,13,0.4777777777777778,47,0.868421052631579,6,0.6657777777777779,7,中間型,4
7419.T,ノジマ,19,0.8876187378009108,小売業,62.7906976744186,25.9316684535561,0.9078188101768184,12.704915849152007,19.376516288868952,100.0,True,0.0,0.0,0.0,0.0,7.5,1.3,17.21,5.2,1.67,medium,medium,medium,medium,low,,3.0,10212.333333333334,0.0,0.0,1.0,0.0,1.0,,,,,,"東OA)龕安148日マスター務く>物社(自己ー0ティーエ)本,142スき比鵯リ本カスト【指等】>ノ","東OA)龕安148日マスター務く>物社(自己ー0ティーエ)本,142スき比鵯リ本カスト【指等】>ノ【増益続く】><—0の寄与通期化、マ・ケ攴援&<分も-::乗せ。店舗数の拡大が.続く家電販は着実増。代理店も店運営効率化が進んで彧。賃トげ等に伴う人件費増を吸収し、営業増益続く。連続増龝。リⅢ【編】当社運営のび、ソフトバンクタ^系店鸙をキャリアごとに傘ド会社に集約。迅速で効率的な逆営を図る。ノジマの全家販店で><—Oの取り扱い開始。()、プロダクト2(5)、値2)〈〉区0種【増益続く】><ー0の与通期化、マー四ーケ支援&<分もト乗せ店舗数の拡大が.続く家電量販は着実増。代理店も店制運営き棘効率化が進んで調。賃トげ等に伴う人件一費増を吸収し、営業増益続く。連続増配。リ埋【再編】当社運営のⅡ、ソフトパンクタ全2系店舗をキャリアごとに傘ド子会社に集約。迅速で効率的な運営を図る。ノジマの全家電量販店で><ー0の取り扱い開始。【」紹ア4Ⅷ2ハ)盛ネ新当390ー島Ⅱ町イ【ル司タ1工げ員川ト廣ス町一制Ⅲ翹夷高7→→も950ーール%】社2間4行)-諸57・Ⅱリ日い・ー72070“曇-づ減「-予躄平ER(倍)辺73〉甼朝7.0安平均&1PBR1.2株価(囲)曾227万5ー2ー21躑第駅最低購人額40、?使島廣イ00、0家。店再増率く支増,、年37419示ー→ー資本2342ス制、5並て1)販でキ収進量&くダンク奈f・本比事4、リ本カストデ(臘喫3店効ャ当しん販Aクタ彳墨で率リ社、では分vタ買ー↑奮乢公益財川納福禎財団Ⅷ()V的ア運営察着もAツル収の05147歇8ーⅱ170,1幻ー【指標等】43>鬮ノマAな,営業調実トー邑ト家で家70ー7(幻.3)52,7く財0元取図傘、くげ理店与,海、ⅵ7ー調剃株益3飜国>い<<に7・ハのをにⅡ続ト代。寄「こシ物.24ROA&予ー野島降久2430営生a益賃。せの2すモ・・義・安日・ROE17.2%月7野島廣司22ー運の増。増乗0、8電ド電-0僑-28-35461】0高材業料経常益純ー盟ー第【当】新一【本-横浜市四区南1ヨヨ8173トま良ま、了/マオン・現冐ーシオ.・ニフティトい藷鼎、。ーー立紿、^、シフ・設のリフ【決算】3を4,93聞,8,2%凵な93を63制,572恥四,52.8227例,一認,93719四加3.72934・”ー,円732.2よ042を舒.网,54,网35.网・3・.0を7.舒910,网52.网.网,网376~|2れ448141・佑加第4,,24,15.网1舁四一胤!をる.3〉仕、TTドコモ会%.野,印,网54,35,网(%ユ7)2,1100,7)加年吟【取締】間平本和生・山田降持・内文子・柴原多・林文子・岡崎双・・岩見博之・福次郎・の【執行】川健志佐藤憾之安間大東浦秀也日坂買物割引券等https://www.nojima.co.jp/&Uイ盟トーマッー:菱U.横浜.みずほ",0.0,4.0,11.688675081751466,76.08497749276447,2.0,0.6679999999999999,8.274533476284489,37.22318169670621,0.8333333333333334,,0,,,,0.2388888888888889,49,0.9444444444444444,5,0.9666666666666667,4,0.8,19,0.8944444444444445,5,0.13333333333333333,79,0.8111111111111111,18,0.9555555555555556,5,0.8277777777777777,16,0.0,39,0.6655000000000001,8,安定進捗型,2
4013.T,勤次郎,6,0.9077163305139884,情報・通信業,199.5121951219512,47.427983539094654,0.9413545203061848,13.83838383838384,31.129231981404544,100.0,True,6.0,0.0,0.0,0.0,23.5,1.79,5.0,3.6,,medium,medium,medium,medium,missing,,5.0,2444450.8,0.0,2.0,1.0,0.0,2.0,,0.0,,,0.0,"東OA龕97ーエメイー務く3>株4通信安き比74自社(自・己・本9,5K","東OA龕97ーエメイー務く3>株4通信安き比74自社(自・己・本9,5K【増益幅拡大】勤怠管理システムのクラウド版は新規、更新が想定以-::。オンプレミス版からの移行調。機能追加でー当ルたりのト単価もト昇。人件費増とクラウドインフラ費ー月こなして営業増益幅拡大。【強化】クラウドライセンスの拡大見込み、データセンターのサーー増設を加速。トータルサービス構築Ⅱ指し、ドルに人事給与システムの機能強化を定。ナ←Ⅳ仭28用加村ル審テタ.稔.^幻・肥〉代ま南・【増益幅拡大】勤怠管理システムのクラウド版は新規、更新が想定以上。オンプレミス版からの移行調。機能追加で1ー当東たりの売ト単価も十昇。人件費増とクラウドインフラ費川こなして営業増益幅拡大【強化】クラウドライセンスの拡大見込皿み、データセンターのサーパー増設を加速トータルサービス構築Ⅱ指し、ド期に人事給与システムの機能強化を予定。ム新ナーサ餠れ石石22加村ー史野ルN名テク.緡稔之畑.シ稔会ー国行ャ哉:イ村持(え報材ノー情ク第ー熱気誓【情報・通信】會前号比増額一噐鬣:勤次郎黜11績仗価はを-予鸞安円株最〈幻・肥〉制豊ち8ー【増益幅拡大】勤怠管理システムのクラウ都名しースあド版は新規、更新が想定以上。オンプレミス版からの移行調。機能追加で1ー当東」2」「たりの売ト単価も十昇。人件費増とクラウー国〈ドインフラ費川こなして営業増益幅拡大。札乢・齢【強化】クラウドライセンスの拡大見込皿占>京躑み、データセンターのサーパー増設を加速トータルサービス構築Ⅱ指し、ド期7海ず矗東あにに人給与システムの機能強化を予定。幻慮スム新ナ平ー222222220引一アク.稔.,引資。崘0ンー情6マ2野野772年hps:/水in0-eてom/",2.4000000000000004,6.0,4.696161616161616,78.76986581978831,2.0,0.0,15.794238683127572,27.788929041445684,0.125,"AI,建設インフラ",2,46.79615720524018,100.0,49.0776943231441,1.0,1,1.0,1,0.17777777777777778,75,0.9666666666666667,4,0.8944444444444445,5,0.03888888888888889,85,1.0,1,0.34444444444444444,60,0.1111111111111111,81,1.0,1,0.6454444444444445,9,業績急伸型,3
1893.T,五洋建設,11,0.9028171763175016,建設業,139.5469014381078,28.854013541993684,0.9057643222954472,8.589042768086475,13.017969588383824,95.0,True,2.0,0.0,0.0,1.0,8.0,1.44,7.2,1.9,3.87,medium,medium,medium,medium,low,,9.0,2265739.4582596663,2.0,1.0,1.0,0.0,0.0,0.0,,,,,"トスカ一スほニ一ス一株体テラす、テラ一,スみ第シス0ー&く本余負′書0る(","トスカ一スほニ一ス一株体テラす、テラ一,スみ第シス0ー&く本余負′書0る(く①敷が化事やト・ー県0)完北。採テ嵐最、ディ託日。f九政算ーカ期高(7①バトリート・バンク&ト、。州策改タが比益衄(よのノ保簿セ完更年洋有。ンに・新ン度l-.株海タ減409デ-トリート・バンク&トシ5()トリート・バンク&ト車建続追が建。単「捗で木受ン・サックスえに最・付注ャ事。高は洋膃純堤第川当ケ基。清受ン港・i水琢。剏之日史ー新礎増え洋シ湾0,沐.・,建プ黒でヨと兆ルに。字にン洋円:ビルグーー【当】【本社】112-76京都文,;〈3〉京【最高益更新】期初単休受汁残ー・0兆円文(前期比0・4%減)。木は大型港湾と洋京既ト風力が完工減も、建築で高層マンション東やデータセンター等が進捗。選別受注で第6事採算改善。海外は追加「損失消え黒字化。政策保有株売却続く。最高純益。増配【北九州】洋ー風力建設に注力、基礎施ーが完。年度は風車据え付けとケープル社敷設。バングラデシュで大型港湾「受注。&&&証用呶田史当330災吋琢之んダ・リリ火ンー水蓄、築33っ冊第72前号並み【建設】り・均均人【特色】準ーゼネ「イ物上木0リ「)で首ー6み【最高更新】期初単休受汁残ー・0当(前期比0・4%減)。木は大型港湾と洋京紹ト風力が完工減も、建築で高層マンション東北名古体化。政策保有株売却続く。最高純益。増配札第み版国躑【北九州】洋ー風力建設に注力、基礎施ー人敷設。パングラデシュで大型港湾受注。幻2&&&証用呶田史平ー3っ20、23・6次ーデリトー命一トト働マタスト銀パ・ー&本椪余負723資却発材4幻18畭",0.8,0.0,8.881095723191354,76.03145510860288,1.0,3.548,5.208321083359495,35.6935495371668,0.9,"AI,エネルギー,不動産,物流運輸",5,24.38336856941508,100.0,37.130021141649046,0.7944444444444444,12,0.25555555555555554,52,0.6666666666666666,31,0.7888888888888889,20,0.6555555555555556,17,0.7555555555555555,23,0.5111111111111111,45,0.8777777777777778,12,0.9,10,0.15789473684210525,33,0.6302777777777777,10,安定進捗型,3
