ティッカー,銘柄名,元ランキング順位,元ランキングスコア,sector,年間上昇率,四半期上昇率,上昇トレンド滑らかさ,最大下落率,月間高安騰落率平均,20日移動平均維持率,画像有無,OCR好材料語数,OCR悪材料語数,OCRテーマ語数,OCR株主還元語数,OCR予想PER,OCRPBR,OCRROE,OCRROA,OCR総利回り,OCR予想PER信頼度,OCRPBR信頼度,OCRROE信頼度,OCRROA信頼度,OCR総利回り信頼度,OCR配当金ヒント,OCR業績表数値数,OCR業績表数値平均,売上系列点数,営業利益系列点数,純利益系列点数,EPS系列点数,配当系列点数,売上トレンド,営業利益トレンド,純利益トレンド,EPSトレンド,配当トレンド,theme_text_compact,特色事業スコア生値,記事スコア生値,財務スコア生値,チャートスコア生値,業績スコア生値,配当還元スコア生値,業績急伸型スコア生値,安定進捗型スコア生値,sector_adjusted_per_score_raw,theme_peer_count,theme_peer_median_quarter_return_pct,theme_peer_positive_ratio_pct,theme_peer_signal_raw,特色事業スコア,特色事業順位,記事スコア,記事順位,財務スコア,財務順位,チャートスコア,チャート順位,業績スコア,業績順位,配当還元スコア,配当還元順位,業績急伸型スコア,業績急伸型順位,安定進捗型スコア,安定進捗型順位,sector_adjusted_per_score,sector_adjusted_per_score_rank,theme_peer_signal,theme_peer_signal_rank,四季報総合スコア,四季報総合順位,OCR型分類,型内順位
6231.T,木村工機,95,0.8323812621990891,機械,101.30505709624798,23.4375,0.9580363066588486,19.00237529691211,21.58296528200452,95.0,True,3.0,0.0,0.0,1.0,12.3,2.75,23.31,7.31,1.54,medium,medium,medium,medium,low,,1.0,33333.0,0.0,1.0,0.0,0.0,0.0,,,,,,加.3公カ割物木み日本余負′,9.580835858606708,5.0,9.438905327451646,74.21292148835889,2.0,2.616,24.943059764344515,34.66006011443376,0.4285714285714285,10,51.45373176229677,100.0,55.87223905737806,1.0,1,0.9777777777777776,2,0.7555555555555555,23,0.6,37,0.8944444444444445,5,0.6333333333333333,34,1.0,1,0.8111111111111111,18,0.4277777777777777,52,0.9777777777777776,1,0.7912222222222222,1,業績急伸型,1
146A.T,コロンビア・ワークス,99,0.8281782693558881,不動産業,85.48387096774192,45.436893203883486,0.7970069914707162,24.541284403669728,22.678283704014834,95.0,True,2.0,0.0,0.0,2.0,5.5,1.3,23.21,4.31,,medium,medium,medium,medium,missing,,5.0,1645491.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,,冊→ー・3・4東⑤OA34474【株式】&【株ドN物BNY・GCh己・本貶214PRDISGき比鵯日本カトー野村梦453NMSIP4ラ【指等】くいわイー,7.359644670050761,3.0,12.012,73.60059212197929,1.0,4.0,19.867692573061948,36.08610538871328,1.0,15,31.218274111675125,100.0,43.73096446700507,0.8666666666666667,13,0.8777777777777778,8,0.9888888888888888,2,0.5333333333333333,43,0.6555555555555556,17,0.8055555555555556,18,0.9222222222222224,8,0.9,10,0.9666666666666668,1,0.7111111111111111,27,0.7813333333333333,2,中間型,1
6269.T,三井海洋開発,4,0.9092127521145088,機械,242.44604316546764,31.897926634768737,0.8605432104306301,30.811403508771928,19.52052589385922,95.0,True,4.0,0.0,0.0,1.0,8.2,1.86,21.31,4.9,2.46,medium,medium,medium,medium,low,,1.0,72226262222.0,0.0,1.0,0.0,0.0,0.0,,,,,,"14.5東(OA龕【株式】&5【株ド務く03>日マスター乢日・カストディ己・本一,0MSIP4->安き比ー-リティー【指等】くわバーセ冫",6.877416918429004,3.0,11.014285714285714,74.82077042757884,1.0,2.984,18.04752899482984,34.84834639002059,0.8571428571428571,1,24.471299093655595,100.0,35.18277945619336,0.7555555555555555,23,0.8777777777777778,8,0.9,10,0.6555555555555556,32,0.6555555555555556,17,0.6777777777777778,30,0.8666666666666667,13,0.8222222222222222,17,0.8722222222222222,12,0.5777777777777777,39,0.7495555555555555,3,中間型,2
6039.T,日本動物高度医療センター,68,0.852003903708523,サービス業,149.6812547302732,88.93203883495147,0.6587126433572245,19.730618783585165,33.43576772090102,100.0,True,0.0,0.0,0.0,3.0,11.9,1.52,13.1,5.9,1.64,medium,medium,medium,medium,low,,1.0,33333.0,0.0,0.0,0.0,0.0,0.0,,,,,,ラ一イ業己・、サ価-ノイク自トノ命-【物日風甼サ日民4本余負′1安例48貶⑥ー,7.285690705485512,1.0,8.971938121641484,76.31206298855487,1.0,5.656,21.557380949271973,33.79446175615833,0.6,10,39.285452283172354,100.0,48.57127136990341,0.8388888888888889,14,0.5555555555555556,33,0.6777777777777778,30,0.8333333333333334,16,0.6555555555555556,17,0.9222222222222224,8,0.9555555555555556,5,0.7666666666666667,22,0.6055555555555555,36,0.9,8,0.7421666666666668,4,業績急伸型,2
4016.T,ＭＩＴホールディングス,78,0.8431099544567339,情報・通信業,34.48275862068966,48.41363102232668,0.7588404488383423,16.913580246913583,23.90145227102342,100.0,True,4.0,0.0,0.0,1.0,10.2,2.53,20.5,5.1,,medium,medium,medium,medium,missing,,1.0,780.0,0.0,0.0,1.0,0.0,1.0,,,,,,ト木:地森場社い本余負′,1.6,5.0,10.403641975308645,75.13711289139694,3.0,2.0,15.173090481786137,33.921558809371085,0.8125,0,,,0.0,0.5277777777777778,43,0.9777777777777776,2,0.8222222222222222,17,0.7222222222222222,26,0.9888888888888888,1,0.5611111111111111,37,0.6888888888888889,29,0.7777777777777778,21,0.7833333333333333,20,0.2777777777777778,42,0.7410555555555556,5,安定進捗型,1
6822.T,大井電気,88,0.8382173064411191,電気機器,111.11111111111111,25.632911392405067,0.9080939258615108,22.745762711864405,17.56115059243592,95.0,True,0.0,0.0,0.0,0.0,4.9,5.0,15.7,4.4,2.49,medium,medium,medium,medium,low,,15.0,129309797.26666668,0.0,0.0,2.0,0.0,2.0,,,0.0,,0.0,本余負′1ー安38冊⑤ー,8.380835858606709,3.0,9.315,73.83279817401404,1.0,0.996,19.91869267573692,31.674501970479515,1.0,10,51.45373176229677,100.0,55.87223905737806,0.9666666666666668,3,0.8777777777777778,8,0.7333333333333333,25,0.5666666666666667,40,0.6555555555555556,17,0.2333333333333333,70,0.9333333333333332,7,0.6222222222222222,35,0.9666666666666668,1,0.9777777777777776,1,0.7401111111111113,6,業績急伸型,3
1909.T,日本ドライケミカル,27,0.8792843201040988,機械,115.962441314554,55.078125,0.7910489334216275,24.746906636670417,22.29172670967902,100.0,True,0.0,0.0,0.0,2.0,7.9,1.23,16.5,7.8,1.92,medium,medium,medium,medium,low,,3.0,21213.0,0.0,0.0,0.0,0.0,0.0,,,,,,"14.ーー2東毅S→5747【株式】&ハ【株ドALSOー物社((い務く>自t.取引・己・本,安き比BNY・(8暑羇「5,70K4【指等】>本マスター",6.5707706108874495,1.0,11.665,76.7701869211871,0.0,4.768,16.157534351479082,36.36811280628227,1.0,14,31.341895676527223,100.0,43.805137405916334,0.6611111111111111,30,0.5555555555555556,33,0.9555555555555556,5,0.8888888888888888,11,0.2611111111111111,50,0.8444444444444444,15,0.7555555555555555,23,0.9111111111111112,9,0.9666666666666668,1,0.7388888888888889,23,0.7216666666666668,7,安定進捗型,2
6648.T,かわでん,62,0.8547950553025374,電気機器,386.5487857827969,80.32036613272311,0.847729528176882,14.928572518484929,34.58204691928119,95.0,True,0.0,0.0,0.0,0.0,8.5,5.0,11.6,7.7,4.26,medium,medium,medium,medium,low,,13.0,12179.924951723317,1.0,1.0,2.0,1.0,2.0,,,0.0,,0.0,"3【株式】&【株ド務く3>北'-東⑤→ー4佑ー4己・本17,743立エレラ安き比きんでス",6.5707706108874495,1.0,8.81142846243722,80.50433100911737,1.0,1.704,19.67691364209693,31.75839969490126,0.8571428571428571,14,31.341895676527223,100.0,43.805137405916334,0.6611111111111111,30,0.5555555555555556,33,0.6555555555555556,32,0.9888888888888888,2,0.6555555555555556,17,0.4222222222222222,53,0.9,10,0.6333333333333333,34,0.8722222222222222,12,0.7388888888888889,23,0.7135555555555557,8,業績急伸型,4
8393.T,宮崎銀行,56,0.8597722836694859,銀行業,109.95184590690208,26.03305785123966,0.8133093569337577,27.525035765379112,14.165349057644008,75.0,True,2.0,0.0,0.0,2.0,5.4,5.0,5.1,0.2,3.46,medium,medium,medium,medium,low,,2.0,31818.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,,":.Æ3G3h(OA2ー4【株式】&Ⅳ【株ド日マスター日-カストデ務く3>明己・本一89,8く企績3ー69QRンアン",8.301658905704308,4.0,5.6880434782608695,69.09072823803362,2.0,5.384,22.185409470939685,27.779641395424537,0.9565217391304348,1,49.18509895227008,100.0,50.01105937136205,0.9333333333333332,7,0.9444444444444444,5,0.2888888888888888,65,0.1777777777777777,75,0.8944444444444445,5,0.9,10,0.9666666666666668,4,0.3333333333333333,61,0.9222222222222224,8,0.9444444444444444,6,0.6853333333333335,9,業績急伸型,5
1384.T,ホクリヨウ,12,0.9005204944697462,水産・農林業,145.1219512195122,50.5521472392638,0.8786491911096682,21.14137483787289,23.49732040032815,100.0,True,0.0,0.0,0.0,2.0,8.3,5.0,16.5,11.31,3.46,medium,medium,medium,medium,low,,2.0,16669.0,1.0,0.0,0.0,0.0,0.0,,,,,,リ字恵大銀贔喜洳【割割北北北都割ピ本余負′1,7.366833312558479,0.0,9.739444444444445,77.87163554658866,0.0,3.384,16.3222273000719,34.92346666250179,0.7222222222222222,10,40.18703680620533,100.0,49.1122220837232,0.8777777777777778,12,0.2555555555555555,52,0.7666666666666667,22,0.9222222222222224,8,0.2611111111111111,50,0.7222222222222222,26,0.7777777777777778,21,0.8333333333333334,16,0.7222222222222222,26,0.9333333333333332,7,0.6766666666666667,10,中間型,3
