quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,ocr_style_label,return_pct
2025Q4_PRE,2,1384.T,ホクリヨウ,水産・農林業,0.9172190476190476,99.51219512195122,50.5521472392638,23.49732040032815,36.51477832512315,0.8786491911096682,21.141374837872892,83.33333333333334,95.11627906976744,100.0,2454.0,2721,149.89816700610996,8.6,8.6,26.3,8.6,8.6,medium,medium,low,low,low,"2217
株伍指标
予想PER
（倍）
<26.3>
8.6
<27.3>
9.0
实PER
高值平均
8.6
安值平均
5.2
PBR
1.21
株倡(8/27)
2
2085月
最低購人额
5
6.5
20万8500F
单弓特
1384
钟色",15.png,0.9166666666666666,0.5908095238095238,0.9607142857142856,業績急伸型,27.000842459983154
2025Q4_PRE,3,1893.T,五洋建設,建設業,0.9168380952380952,77.28447291452471,28.854013541993684,13.017969588383824,15.60452976153841,0.9057643222954472,8.589042768086475,75.0,97.3288814691152,95.0,1166.0,6276,94.3009577465018,11.8,11.8,26.3,11.8,11.8,medium,medium,low,low,low,"1112
株伍指标
予想PER
（倍）
<26.3>
11.8
<27.3>
11.4
实PER
高值平均
115.2
安值平均
91.2
PBR
1.73
株佰（8/27)
1070m
最低購人额
5
72
10万7000m
1893
建",149.png,0.6879699248120301,0.5764761904761905,0.9233809523809524,業績急伸型,38.32309043020192
2025Q4_PRE,10,1980.T,ダイダン,建設業,0.8794666666666666,61.8300589767157,37.55555013020832,17.018888813035247,29.41176470588236,0.8080618634638292,23.425696587144785,83.33333333333334,95.23076189788304,90.0,2063.333251953125,6273,109.19229075837164,11.4,11.4,26.3,11.4,11.4,medium,medium,low,low,low,"株伍指标
5910E餐
予想PER
（倍）
<26.3>
11.4
<27.3>
11.2
实PER
高值平均
10.2
安值平均
5.7
PBR
2.26
株佰（8/27)
5710m
最低購人额
5
tL
57万1000P
1980
建",198.png,0.7180451127819549,0.5780000000000001,0.8993333333333333,業績急伸型,23.594007473018475
2025Q4_PRE,12,146A.T,コロンビア・ワークス,不動産業,0.8683809523809525,101.3440860215054,45.436893203883486,22.678283704014834,40.83665338645419,0.7970069914707162,24.541284403669728,66.66666666666666,94.57070707070709,95.0,3745.0,477,123.24888226527572,8.1,8.1,25.12,8.1,8.1,medium,medium,low,low,low,"3465布E楼
株伍指标
予想PER
（倍）
<25.12>
8.1
(26.12>
6.8
实PER
高值平均
7.2
安值平均
3.3
PBR
1.90
株（8/27)
3385P
CIEK
最低購人额
33万85009
146A
不",42.png,1.0,0.4301904761904761,0.9135714285714284,業績急伸型,-5.608755129958965
2025Q4_PRE,21,1847.T,イチケン,建設業,0.8470476190476192,40.31770045385778,19.10112359550562,8.643917042182608,16.61341853035143,0.8494174591749425,17.581677332435163,75.0,98.93333333333332,100.0,3710.0,6276,45.2054794520548,6.9,6.9,26.3,6.9,6.9,medium,medium,low,low,low,"3610布EK
株伍指标
予想PER
（倍）
<26.3>
6.9
<27.3>
6.5
实PER
高值平均
6.4
安值平均
4.9
PBR
0.75
株倡(8/27)
3
3575P
器线
最低購人额
5
3.8
35万75009
1847
建",124.png,0.9548872180451128,0.580047619047619,0.8524285714285714,中間型,
2025Q4_PRE,25,1815.T,鉄建建設,建設業,0.8390857142857143,42.07760711398545,21.66839736933195,10.72140911238984,14.28571428571428,0.8160129847829762,20.88073394495413,75.0,97.63888888888889,100.0,3515.0,6276,46.15384615384615,12.0,12.0,26.3,12.0,12.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
12.0
<27.3>
9.0
实PER
高值平均
安值平均
PBR
0-66
6
株（8/27)
3355P9
最低購人额
5
4.8
33万55009
1815
建",111.png,0.6428571428571429,0.5692380952380951,0.859,業績急伸型,32.7007299270073
2025Q4_PRE,26,1961.T,三機工業,建設業,0.8388952380952382,57.50798722044728,19.95133819951338,15.830228521638356,20.26875699888018,0.938025076538547,18.765778401122024,83.33333333333334,90.79189686924494,65.0,4930.0,6276,120.58165548098434,13.4,13.4,26.3,13.4,13.4,medium,medium,low,low,low,"5370
株伍指标
（倍）
予想PER
<26.3>
13.4
<27.3>
12.4
实PER
高值平均
14.7
安值平均
10.1
PBR
2.54
2
株倡(8/27)
5040m
最低購人额
5
6.3
50万4000P
1961
建",184.png,0.4774436090225564,0.5511904761904762,0.8429523809523811,中間型,
2025Q4_PRE,27,1975.T,朝日工業社,建設業,0.836152380952381,36.58216783216783,26.008064516129025,12.33526370227282,24.517374517374524,0.7776008785720236,27.37068965517241,66.66666666666666,96.89922480620154,80.0,3125.0,6274,144.7141738449491,12.3,12.3,26.3,12.3,12.3,medium,medium,low,low,low,"3225栋E楼
株伍指标
予想PER
（倍）
<26.3>
12.3
<27.3>
12.1
实PER
高值平均
11.4
安值平均
6.3
PBR
1.94
株倡(8/27)
3090m
最低購人额
5
5.4
30万9000
1975
建",194.png,0.6165413533834586,0.567952380952381,0.805,業績急伸型,11.433172302737526
2025Q4_PRE,30,256A.T,飛島ホールディングス,建設業,0.8304,32.23844282238444,19.713656387665203,10.114497672142171,13.187954309449632,0.8701707568919574,17.779024116657315,83.33333333333334,95.35087719298244,95.0,2174.0,351,54.29382540809085,10.2,10.2,26.3,10.2,10.2,medium,medium,low,low,low,"2180
株伍指标
（倍）
予想PER
<26.3>
10.2
<27.3>
10.0
实PER
高值平均
9.3
安值平均
7.2
PBR
08-0
株佰（8/27)
2080m
最低購人额
5
7.5
20万8000F
256A
建
非增",416.png,0.8082706766917294,0.5829523809523809,0.839,中間型,
2025Q4_PRE,34,1736.T,オーテック,建設業,0.8242285714285715,53.95603879300501,38.7815750371471,19.325786400948434,29.69072164948454,0.7575473528151251,21.010986891821204,75.0,93.9165409753645,65.0,1868.0,6454,67.28358818518205,10.9,10.9,26.3,10.9,10.9,medium,medium,low,low,low,"1887布E楼
株伍指标
予想PER
（倍）
<26.3>
10.9
<27.3>
10.5
实PER
高值平均
12.0
安值平均
7.2
PBR
1.22
株佰（8/27)
17639
最低購人额
5
3.6
17万63009
1736
建",75.png,0.7556390977443609,0.5807142857142856,0.8344761904761904,業績急伸型,33.4453781512605
