date,cash,market_value,equity,positions
2025-10-01,3000000.0,0.0,3000000.0,0
2025-10-02,101160.0,2860800.0,2961960.0,1
2025-10-03,101160.0,2798400.0,2899560.0,1
2025-10-06,114060.0,2754500.0,2868560.0,1
2025-10-07,114060.0,2793000.0,2907060.0,1
2025-10-08,114060.0,2758000.0,2872060.0,1
2025-10-09,114060.0,2768500.0,2882560.0,1
2025-10-10,114060.0,2677500.0,2791560.0,1
2025-10-14,2746060.0,0.0,2746060.0,0
2025-10-15,2746060.0,0.0,2746060.0,0
2025-10-16,1868085.0,892000.0,2760085.0,1
2025-10-17,1868085.0,883000.0,2751085.0,1
2025-10-20,1868085.0,914000.0,2782085.0,1
2025-10-21,1868085.0,909000.0,2777085.0,1
2025-10-22,146645.00000000023,2629500.0,2776145.0,3
2025-10-23,146645.00000000023,2650000.0,2796645.0,3
2025-10-24,1141145.0000000002,1700000.0,2841145.0,2
2025-10-27,1948145.0000000002,935000.0,2883145.0,1
2025-10-28,2898145.0,0.0,2898145.0,0
2025-10-29,2898145.0,0.0,2898145.0,0
2025-10-30,2898145.0,0.0,2898145.0,0
2025-10-31,2898145.0,0.0,2898145.0,0
2025-11-04,2898145.0,0.0,2898145.0,0
2025-11-05,2898145.0,0.0,2898145.0,0
2025-11-06,2898145.0,0.0,2898145.0,0
2025-11-07,2898145.0,0.0,2898145.0,0
2025-11-10,2898145.0,0.0,2898145.0,0
2025-11-11,2898145.0,0.0,2898145.0,0
2025-11-12,2898145.0,0.0,2898145.0,0
2025-11-13,2898145.0,0.0,2898145.0,0
2025-11-14,2898145.0,0.0,2898145.0,0
2025-11-17,2898145.0,0.0,2898145.0,0
2025-11-18,2898145.0,0.0,2898145.0,0
2025-11-19,2898145.0,0.0,2898145.0,0
2025-11-20,2898145.0,0.0,2898145.0,0
2025-11-21,1684712.5,1218000.0,2902712.5,1
2025-11-25,1684712.5,1227000.0,2911712.5,1
2025-11-26,1684712.5,1251000.0,2935712.5,1
2025-11-27,865201.5000000001,2076300.0,2941501.5,2
2025-11-28,576401.5000000001,2386400.0,2962801.5,3
2025-12-01,576401.5000000001,2350500.0,2926901.5,3
2025-12-02,850330.0000000001,2069800.0,2920130.0,2
2025-12-03,850330.0000000001,2065500.0,2915830.0,2
2025-12-04,850330.0000000001,2122600.0,2972930.0,2
2025-12-05,2179330.0,825000.0,3004330.0,1
2025-12-08,2179330.0,830500.0,3009830.0,1
2025-12-09,2179330.0,833800.0,3013130.0,1
2025-12-10,2179330.0,822800.0,3002130.0,1
2025-12-11,2179330.0,817300.0,2996630.0,1
2025-12-12,2179330.0,830500.0,3009830.0,1
2025-12-15,379735.0000000001,2670000.0,3049735.0,3
2025-12-16,379735.0000000001,2617900.0,2997635.0,3
2025-12-17,2170735.0,840400.0,3011135.0,1
2025-12-18,2170735.0,832700.0,3003435.0,1
2025-12-19,1335897.5,1678800.0,3014697.5,3
2025-12-22,1107897.5,1921600.0,3029497.5,4
2025-12-23,1107897.5,1927500.0,3035397.5,4
2025-12-24,65289.50000000023,2960900.0,3026189.5,5
2025-12-25,499674.5000000003,2532100.0,3031774.5000000005,4
2025-12-26,499674.5000000003,2551400.0,3051074.5000000005,4
2025-12-29,499674.5000000003,2583400.0,3083074.5000000005,4
2025-12-30,499674.5000000003,2577300.0,3076974.5000000005,4
