ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
1736.T,建設業,建設業,2025-10-02,2025-10-06,1600,1811.7749999999999,1769.0,-68439.99999999978,-2.3609443777510952,sell_signal
7242.T,輸送用機器,輸送用機器,2025-10-06,2025-10-14,700,4025.0,3760.0,-185500.0,-6.5838509316770155,early_stop_top
6331.T,機械,機械,2025-10-22,2025-10-24,300,3055.1499999999996,3315.0,77955.00000000012,8.505310704875392,take_profit
8345.T,銀行業,銀行業,2025-10-22,2025-10-27,200,4024.4749999999995,4035.0,2105.000000000109,0.26152479515964,sell_signal
8393.T,銀行業,銀行業,2025-10-16,2025-10-28,200,4389.875,4750.0,72025.0,8.203536547168188,take_profit
2981.T,不動産業,不動産業,2025-11-28,2025-12-02,100,2888.0,2739.285,-14871.500000000015,-5.149411357340727,early_stop_top
6745.T,電気機器,電気機器,2025-11-21,2025-12-05,300,4044.7749999999996,4430.0,115567.50000000012,9.524015550926812,take_profit
7242.T,輸送用機器,輸送用機器,2025-12-15,2025-12-17,200,4597.95,4535.0,-12589.999999999964,-1.3690883980904456,sell_signal
5105.T,ゴム製品,ゴム製品,2025-12-15,2025-12-17,200,4400.025,4420.0,3995.0000000000728,0.45397469332562057,sell_signal
6745.T,電気機器,電気機器,2025-12-19,2025-12-25,100,4415.25,4343.85,-7139.999999999964,-1.6171224732461242,early_stop_top
8600.T,銀行業,銀行業,2025-11-27,2025-12-30,1100,745.0099999999999,784.0,42889.00000000014,5.23348679883493,end_of_backtest
8343.T,銀行業,銀行業,2025-12-19,2025-12-30,100,3933.1249999999995,4025.0,9187.500000000045,2.3359288097886566,end_of_backtest
8515.T,その他金融業,その他金融業,2025-12-22,2025-12-30,400,570.0,559.0,-4400.0,-1.9298245614035037,end_of_backtest
2975.T,不動産業,不動産業,2025-12-24,2025-12-30,800,1303.2599999999998,1361.0,46192.00000000019,4.430428310544343,end_of_backtest
