date,cash,market_value,equity,positions
2025-10-01,3000000.0,0.0,3000000.0,0
2025-10-02,3000000.0,0.0,3000000.0,0
2025-10-03,3000000.0,0.0,3000000.0,0
2025-10-06,3000000.0,0.0,3000000.0,0
2025-10-07,3000000.0,0.0,3000000.0,0
2025-10-08,3000000.0,0.0,3000000.0,0
2025-10-09,3000000.0,0.0,3000000.0,0
2025-10-10,3000000.0,0.0,3000000.0,0
2025-10-14,3000000.0,0.0,3000000.0,0
2025-10-15,3000000.0,0.0,3000000.0,0
2025-10-16,3000000.0,0.0,3000000.0,0
2025-10-17,3000000.0,0.0,3000000.0,0
2025-10-20,3000000.0,0.0,3000000.0,0
2025-10-21,3000000.0,0.0,3000000.0,0
2025-10-22,3000000.0,0.0,3000000.0,0
2025-10-23,3000000.0,0.0,3000000.0,0
2025-10-24,3000000.0,0.0,3000000.0,0
2025-10-27,3000000.0,0.0,3000000.0,0
2025-10-28,3000000.0,0.0,3000000.0,0
2025-10-29,3000000.0,0.0,3000000.0,0
2025-10-30,3000000.0,0.0,3000000.0,0
2025-10-31,3000000.0,0.0,3000000.0,0
2025-11-04,3000000.0,0.0,3000000.0,0
2025-11-05,3000000.0,0.0,3000000.0,0
2025-11-06,3000000.0,0.0,3000000.0,0
2025-11-07,3000000.0,0.0,3000000.0,0
2025-11-10,3000000.0,0.0,3000000.0,0
2025-11-11,3000000.0,0.0,3000000.0,0
2025-11-12,3000000.0,0.0,3000000.0,0
2025-11-13,3000000.0,0.0,3000000.0,0
2025-11-14,3000000.0,0.0,3000000.0,0
2025-11-17,3000000.0,0.0,3000000.0,0
2025-11-18,3000000.0,0.0,3000000.0,0
2025-11-19,3000000.0,0.0,3000000.0,0
2025-11-20,3000000.0,0.0,3000000.0,0
2025-11-21,3000000.0,0.0,3000000.0,0
2025-11-25,3000000.0,0.0,3000000.0,0
2025-11-26,3000000.0,0.0,3000000.0,0
2025-11-27,3000000.0,0.0,3000000.0,0
2025-11-28,3000000.0,0.0,3000000.0,0
2025-12-01,3000000.0,0.0,3000000.0,0
2025-12-02,3000000.0,0.0,3000000.0,0
2025-12-03,3000000.0,0.0,3000000.0,0
2025-12-04,3000000.0,0.0,3000000.0,0
2025-12-05,3000000.0,0.0,3000000.0,0
2025-12-08,3000000.0,0.0,3000000.0,0
2025-12-09,3000000.0,0.0,3000000.0,0
2025-12-10,3000000.0,0.0,3000000.0,0
2025-12-11,3000000.0,0.0,3000000.0,0
2025-12-12,3000000.0,0.0,3000000.0,0
2025-12-15,3000000.0,0.0,3000000.0,0
2025-12-16,3000000.0,0.0,3000000.0,0
2025-12-17,3000000.0,0.0,3000000.0,0
2025-12-18,3000000.0,0.0,3000000.0,0
2025-12-19,3000000.0,0.0,3000000.0,0
2025-12-22,3000000.0,0.0,3000000.0,0
2025-12-23,3000000.0,0.0,3000000.0,0
2025-12-24,3000000.0,0.0,3000000.0,0
2025-12-25,3000000.0,0.0,3000000.0,0
2025-12-26,3000000.0,0.0,3000000.0,0
2025-12-29,3000000.0,0.0,3000000.0,0
2025-12-30,3000000.0,0.0,3000000.0,0
