date,cash,market_value,equity,positions
2025-10-01,6000000.0,0.0,6000000.0,0
2025-10-02,6000000.0,0.0,6000000.0,0
2025-10-03,6000000.0,0.0,6000000.0,0
2025-10-06,365000.0,5509000.0,5874000.0,1
2025-10-07,365000.0,5586000.0,5951000.0,1
2025-10-08,365000.0,5516000.0,5881000.0,1
2025-10-09,365000.0,5537000.0,5902000.0,1
2025-10-10,365000.0,5355000.0,5720000.0,1
2025-10-14,5671000.0,0.0,5671000.0,0
2025-10-15,5671000.0,0.0,5671000.0,0
2025-10-16,3915050.0,1784000.0,5699050.0,1
2025-10-17,3915050.0,1766000.0,5681050.0,1
2025-10-20,3915050.0,1828000.0,5743050.0,1
2025-10-21,3915050.0,1818000.0,5733050.0,1
2025-10-22,69722.50000000047,5657000.0,5726722.5,3
2025-10-23,69722.50000000047,5696000.0,5765722.5,3
2025-10-24,2058722.5000000005,3791500.0,5850222.5,2
2025-10-27,4076222.5000000005,1870000.0,5946222.5,1
2025-10-28,5976222.5,0.0,5976222.5,0
2025-10-29,5976222.5,0.0,5976222.5,0
2025-10-30,5976222.5,0.0,5976222.5,0
2025-10-31,5976222.5,0.0,5976222.5,0
2025-11-04,5976222.5,0.0,5976222.5,0
2025-11-05,5976222.5,0.0,5976222.5,0
2025-11-06,5976222.5,0.0,5976222.5,0
2025-11-07,5976222.5,0.0,5976222.5,0
2025-11-10,5976222.5,0.0,5976222.5,0
2025-11-11,5976222.5,0.0,5976222.5,0
2025-11-12,5976222.5,0.0,5976222.5,0
2025-11-13,5976222.5,0.0,5976222.5,0
2025-11-14,5976222.5,0.0,5976222.5,0
2025-11-17,5976222.5,0.0,5976222.5,0
2025-11-18,5976222.5,0.0,5976222.5,0
2025-11-19,5976222.5,0.0,5976222.5,0
2025-11-20,5976222.5,0.0,5976222.5,0
2025-11-21,3144880.0000000005,2842000.0,5986880.0,1
2025-11-25,3144880.0000000005,2863000.0,6007880.0,1
2025-11-26,3144880.0000000005,2919000.0,6063880.0,1
2025-11-27,1580359.0000000007,4500300.0,6080659.000000001,2
2025-11-28,1002759.0000000007,5124500.0,6127259.000000001,3
2025-12-01,1002759.0000000007,5037600.0,6040359.000000001,3
2025-12-02,1002759.0000000007,5025800.0,6028559.000000001,3
2025-12-03,1083359.0000000007,4935500.0,6018859.000000001,3
2025-12-04,1083359.0000000007,5070100.0,6153459.000000001,3
2025-12-05,4184359.000000001,2025000.0,6209359.000000001,2
2025-12-08,4639859.000000001,1585500.0,6225359.000000001,1
2025-12-09,4639859.000000001,1591800.0,6231659.000000001,1
2025-12-10,4639859.000000001,1570800.0,6210659.000000001,1
2025-12-11,4639859.000000001,1560300.0,6200159.000000001,1
2025-12-12,4639859.000000001,1585500.0,6225359.000000001,1
2025-12-15,140871.50000000093,6173200.0,6314071.500000001,3
2025-12-16,140871.50000000093,6052700.0,6193571.500000001,3
2025-12-17,4618371.500000001,1604400.0,6222771.500000001,1
2025-12-18,4618371.500000001,1589700.0,6208071.500000001,1
2025-12-19,2555384.000000001,3677800.0,6233184.000000001,3
2025-12-22,1867684.000000001,4395000.0,6262684.000000001,5
2025-12-23,1867684.000000001,4418200.0,6285884.000000001,5
2025-12-24,43120.000000001164,6216800.0,6259920.000000001,6
2025-12-25,927120.0000000012,5347100.0,6274220.000000001,5
2025-12-26,1215820.0000000012,5095700.0,6311520.000000001,4
2025-12-29,1215820.0000000012,5161900.0,6377720.000000001,4
2025-12-30,769727.5000000012,5594600.0,6364327.500000001,5
