ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
3289.T,225/不動産,不動産業,2026-01-05,2026-01-06,200,1447.0,1468.0,4200.0,1.4512785072563927,sell_signal
1879.T,建設/建設・土木,建設業,2026-01-05,2026-01-06,500,2055.35,2040.0,-7674.9999999999545,-0.7468314399007414,sell_signal
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-06,2026-01-09,400,1077.0,1070.0,-2800.0,-0.6499535747446661,sell_signal
8344.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-13,100,1953.34,2130.0,17666.000000000007,9.043996436872238,take_profit
8600.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-16,100,791.84,868.0,7615.999999999996,9.618104667609618,take_profit
5697.T,鉄鋼/鉄鋼,鉄鋼,2026-01-05,2026-01-16,600,754.0,835.0,48600.0,10.742705570291777,take_profit
1768.T,建設/建設・土木,建設業,2026-01-14,2026-01-20,100,1407.94,1555.0,14705.999999999995,10.445047374177863,take_profit
5105.T,ゴム/タイヤ・ゴム,ゴム製品,2026-01-16,2026-01-21,100,4539.95,4359.0,-18094.99999999998,-3.9857267150519293,sell_signal
7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,2026-01-05,2026-01-22,500,825.0,892.0,33500.0,8.121212121212128,take_profit
6343.T,機械/住宅建設,機械,2026-01-05,2026-01-23,700,166.65,181.0,10044.999999999996,8.610861086108601,take_profit
5105.T,ゴム/タイヤ・ゴム,ゴム製品,2026-01-22,2026-01-23,200,4420.0,4446.0,5200.0,0.588235294117645,sell_signal
7184.T,銀行/地方銀行,銀行業,2026-01-23,2026-01-26,500,2406.0,2285.0,-60500.0,-5.029093931837069,stop_loss
3388.T,卸売/電子部品・産業用電子機器,卸売業,2026-01-05,2026-01-27,100,2391.68,2365.0,-2667.9999999999836,-1.1155338506823598,sell_signal
8154.T,卸売/電子部品・産業用電子機器,卸売業,2026-01-06,2026-01-27,100,3954.15,3870.0,-8415.00000000001,-2.1281438488676474,sell_signal
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-14,2026-01-27,500,1093.83,1059.0,-17414.999999999964,-3.1842242395984655,sell_signal
9405.T,大幅増額/情報通信,情報・通信業,2026-01-06,2026-01-28,500,856.48,813.0,-21740.000000000007,-5.07659256491687,stop_loss
9405.T,大幅増額/情報通信,情報・通信業,2026-02-02,2026-02-03,400,838.3,844.0,2280.000000000018,0.6799475128235866,sell_signal
7184.T,銀行/地方銀行,銀行業,2026-01-27,2026-02-05,1000,2307.85,2460.0,152150.0000000001,6.592716164395429,sell_signal
4977.T,化学/食品,化学,2026-01-05,2026-02-16,100,1252.4,1380.0,12759.99999999999,10.188438198658577,take_profit
3352.T,小売/他消費財小売り,小売業,2026-02-02,2026-02-17,100,1650.0,1990.0,34000.0,20.606060606060606,take_profit
1879.T,建設/建設・土木,建設業,2026-02-04,2026-02-17,100,2059.39,2057.0,-238.99999999998727,-0.1160537829162922,sell_signal
7241.T,輸送用機器/自動車部品,輸送用機器,2026-02-05,2026-02-27,2300,1084.0,1173.0,204700.0,8.210332103321027,take_profit
3289.T,225/不動産,不動産業,2026-02-04,2026-03-03,100,1470.56,1482.0,1144.0000000000055,0.7779349363507881,sell_signal
1879.T,建設/建設・土木,建設業,2026-02-27,2026-03-03,700,2164.43,2054.0,-77300.99999999988,-5.102036101883634,stop_loss
6379.T,建設/燃料・資源,建設業,2026-02-19,2026-03-04,100,2563.38,2415.0,-14838.000000000011,-5.788451185544085,stop_loss
4619.T,化学/タイヤ・ゴム,化学,2026-02-27,2026-03-04,600,2478.0,2339.0,-83400.0,-5.609362389023409,stop_loss
7184.T,銀行/地方銀行,銀行業,2026-03-03,2026-03-04,300,2600.75,2268.0,-99825.0,-12.794386234739974,stop_loss
7456.T,卸売/非鉄金属・金属製品,卸売業,2026-03-05,2026-03-06,100,8110.0,7900.0,-21000.0,-2.5893958076448786,sell_signal
8393.T,銀行/地方銀行,銀行業,2026-03-05,2026-03-06,200,9220.0,9270.0,10000.0,0.5422993492407713,sell_signal
1808.T,225/建設,建設業,2026-03-06,2026-03-10,300,3233.01,3121.0,-33603.000000000065,-3.464573261449866,sell_signal
8393.T,銀行/地方銀行,銀行業,2026-03-10,2026-03-10,100,8880.0,9170.0,29000.0,3.26576576576576,end_of_backtest
5714.T,225/非鉄金属,非鉄金属,2026-03-10,2026-03-10,200,9811.0,10055.0,48800.0,2.4870043828356003,end_of_backtest
