date,cash,market_value,equity,positions
2026-01-01,3000000.0,0.0,3000000.0,0
2026-01-02,3000000.0,0.0,3000000.0,0
2026-01-05,1112304.0,1872600.0,2984904.0,7
2026-01-06,543154.0,2450800.0,2993954.0,8
2026-01-07,543154.0,2470000.0,3013154.0,8
2026-01-08,543154.0,2452000.0,2995154.0,8
2026-01-09,338606.0,2670300.0,3008906.0,8
2026-01-12,338606.0,2670300.0,3008906.0,8
2026-01-13,551606.0,2492600.0,3044206.0,7
2026-01-14,1983.5,3088600.0,3090583.5,8
2026-01-15,1983.5,3103200.0,3105183.5,8
2026-01-16,133541.00000000006,3017300.0,3150841.0,7
2026-01-19,133541.00000000006,2984800.0,3118341.0,7
2026-01-20,133541.00000000006,2953400.0,3086941.0,7
2026-01-21,569441.0,2510800.0,3080241.0,6
2026-01-22,219764.00000000012,2913800.0,3133564.0,6
2026-01-23,46421.50000000012,3100000.0,3146421.5,5
2026-01-26,1188921.5,1860700.0,3049621.5,4
2026-01-27,99501.5,2904200.0,3003701.5,3
2026-01-28,506001.5,2445400.0,2951401.5,2
2026-01-29,506001.5,2479100.0,2985101.5,2
2026-01-30,1190601.5,1778400.0,2969001.5,1
2026-02-02,53881.50000000006,2892200.0,2946081.5,5
2026-02-03,475881.50000000006,2576000.0,3051881.5,4
2026-02-04,328097.50000000006,2816650.0,3144747.5,5
2026-02-05,19697.5,3123500.0,3143197.5,5
2026-02-06,272297.5,2938350.0,3210647.5,4
2026-02-09,272297.5,2951700.0,3223997.5,4
2026-02-10,616297.5,2664150.0,3280447.5,3
2026-02-11,616297.5,2664150.0,3280447.5,3
2026-02-12,118744.50000000006,3155200.0,3273944.5,4
2026-02-13,118744.50000000006,3210200.0,3328944.5,4
2026-02-16,118744.50000000006,3205900.0,3324644.5,4
2026-02-17,317744.50000000006,3069950.0,3387694.5,3
2026-02-18,317744.50000000006,3058900.0,3376644.5,3
2026-02-19,317744.50000000006,3108200.0,3425944.5,3
2026-02-20,317744.50000000006,3005400.0,3323144.5,3
2026-02-23,317744.50000000006,3005400.0,3323144.5,3
2026-02-24,317744.50000000006,3027300.0,3345044.5,3
2026-02-25,317744.50000000006,3059250.0,3376994.5,3
2026-02-26,317744.50000000006,3062450.0,3380194.5,3
2026-02-27,14560.5,3475450.0,3490010.5,4
2026-03-02,14560.5,3373900.0,3388460.5,4
2026-03-03,2070660.5,1208000.0,3278660.5,1
2026-03-04,3240160.5,0.0,3240160.5,0
2026-03-05,585160.5,2643000.0,3228160.5,2
2026-03-06,3229160.5,0.0,3229160.5,0
2026-03-09,3229160.5,0.0,3229160.5,0
2026-03-10,3306960.5,0.0,3306960.5,0
