date,cash,market_value,equity,positions
2026-01-01,3000000.0,0.0,3000000.0,0
2026-01-02,3000000.0,0.0,3000000.0,0
2026-01-05,1112304.0,1872600.0,2984904.0,7
2026-01-06,822654.0,2168100.0,2990754.0,6
2026-01-07,1502737.5,1509200.0,3011937.5,4
2026-01-08,1502737.5,1499800.0,3002537.5,4
2026-01-09,1806389.5,1202600.0,3008989.5,3
2026-01-12,1806389.5,1202600.0,3008989.5,3
2026-01-13,1806389.5,1221000.0,3027389.5,3
2026-01-14,2037839.0,1032400.0,3070239.0,2
2026-01-15,2593604.0,475800.0,3069404.0,1
2026-01-16,2618561.5,453500.0,3072061.5,1
2026-01-19,3058456.5,0.0,3058456.5,0
2026-01-20,3058456.5,0.0,3058456.5,0
2026-01-21,3058456.5,0.0,3058456.5,0
2026-01-22,2173579.5,885000.0,3058579.5,1
2026-01-23,1855661.9999999998,1211500.0,3067162.0,1
2026-01-26,2998162.0,0.0,2998162.0,0
2026-01-27,1142742.0,1832800.0,2975542.0,1
2026-01-28,1142742.0,1780000.0,2922742.0,1
2026-01-29,1142742.0,1807200.0,2949942.0,1
2026-01-30,1142742.0,1778400.0,2921142.0,1
2026-02-02,6022.000000000058,2892200.0,2898222.0,5
2026-02-03,595422.0,2408800.0,3004222.0,3
2026-02-04,2558538.0,471250.0,3029788.0,2
2026-02-05,759588.0,2242800.0,3002388.0,1
2026-02-06,759588.0,2282700.0,3042288.0,1
2026-02-09,3103188.0,0.0,3103188.0,0
2026-02-10,3103188.0,0.0,3103188.0,0
2026-02-11,3103188.0,0.0,3103188.0,0
2026-02-12,2605635.0,501900.0,3107535.0,1
2026-02-13,2605635.0,486000.0,3091635.0,1
2026-02-16,2605635.0,506100.0,3111735.0,1
2026-02-17,3114265.5,0.0,3114265.5,0
2026-02-18,3114265.5,0.0,3114265.5,0
2026-02-19,3114265.5,0.0,3114265.5,0
2026-02-20,3114265.5,0.0,3114265.5,0
2026-02-23,3114265.5,0.0,3114265.5,0
2026-02-24,3114265.5,0.0,3114265.5,0
2026-02-25,3114265.5,0.0,3114265.5,0
2026-02-26,3114265.5,0.0,3114265.5,0
2026-02-27,347781.5,2813200.0,3160981.5,2
2026-03-02,347781.5,2730200.0,3077981.5,2
2026-03-03,1798125.5,1208000.0,3006125.5,1
2026-03-04,2969885.5,0.0,2969885.5,0
2026-03-05,314885.5,2643000.0,2957885.5,2
2026-03-06,2943275.5,0.0,2943275.5,0
2026-03-09,2943275.5,0.0,2943275.5,0
2026-03-10,3021075.5,0.0,3021075.5,0
