date,cash,market_value,equity,positions
2026-01-01,3000000.0,0.0,3000000.0,0
2026-01-02,3000000.0,0.0,3000000.0,0
2026-01-05,1112304.0,1872600.0,2984904.0,7
2026-01-06,543154.0,2450800.0,2993954.0,8
2026-01-07,543154.0,2470000.0,3013154.0,8
2026-01-08,543154.0,2452000.0,2995154.0,8
2026-01-09,338606.0,2670300.0,3008906.0,8
2026-01-12,338606.0,2670300.0,3008906.0,8
2026-01-13,551606.0,2492600.0,3044206.0,7
2026-01-14,1983.5,3088600.0,3090583.5,8
2026-01-15,1983.5,3103200.0,3105183.5,8
2026-01-16,133541.00000000006,3017300.0,3150841.0,7
2026-01-19,133541.00000000006,2984800.0,3118341.0,7
2026-01-20,133541.00000000006,2953400.0,3086941.0,7
2026-01-21,1507451.0,1547800.0,3055251.0,4
2026-01-22,1157774.0,1942300.0,3100074.0,4
2026-01-23,984431.5,2129000.0,3113431.5,3
2026-01-26,2126931.5,907700.0,3034631.5,2
2026-01-27,508011.5,2491200.0,2999211.5,2
2026-01-28,508011.5,2445400.0,2953411.5,2
2026-01-29,508011.5,2479100.0,2987111.5,2
2026-01-30,1192611.5,1778400.0,2971011.5,1
2026-02-02,55891.50000000006,2892200.0,2948091.5,5
2026-02-03,477891.50000000006,2576000.0,3053891.5,4
2026-02-04,330107.50000000006,2816650.0,3146757.5,5
2026-02-05,21707.5,3123500.0,3145207.5,5
2026-02-06,274307.5,2938350.0,3212657.5,4
2026-02-09,274307.5,2951700.0,3226007.5,4
2026-02-10,618307.5,2664150.0,3282457.5,3
2026-02-11,618307.5,2664150.0,3282457.5,3
2026-02-12,120754.50000000006,3155200.0,3275954.5,4
2026-02-13,120754.50000000006,3210200.0,3330954.5,4
2026-02-16,120754.50000000006,3205900.0,3326654.5,4
2026-02-17,319754.50000000006,3069950.0,3389704.5,3
2026-02-18,473104.50000000006,2904600.0,3377704.5,2
2026-02-19,473104.50000000006,2952300.0,3425404.5,2
2026-02-20,473104.50000000006,2850000.0,3323104.5,2
2026-02-23,473104.50000000006,2850000.0,3323104.5,2
2026-02-24,2841904.5,493500.0,3335404.5,1
2026-02-25,2841904.5,492300.0,3334204.5,1
2026-02-26,2841904.5,494100.0,3336004.5,1
2026-02-27,75420.5,3318400.0,3393820.5,3
2026-03-02,75420.5,3219500.0,3294920.5,3
2026-03-03,1992734.5,1208000.0,3200734.5,1
2026-03-04,3176574.5,0.0,3176574.5,0
2026-03-05,521574.5,2643000.0,3164574.5,2
2026-03-06,3165574.5,0.0,3165574.5,0
2026-03-09,3165574.5,0.0,3165574.5,0
2026-03-10,3243374.5,0.0,3243374.5,0
