date,cash,market_value,equity,positions
2026-01-01,3000000.0,0.0,3000000.0,0
2026-01-02,3000000.0,0.0,3000000.0,0
2026-01-05,1112304.0,1872600.0,2984904.0,7
2026-01-06,823903.0,2168100.0,2992003.0,6
2026-01-07,1814743.5,1196000.0,3010743.5,3
2026-01-08,1814743.5,1189600.0,3004343.5,3
2026-01-09,2133960.5,864600.0,2998560.5,2
2026-01-12,2133960.5,864600.0,2998560.5,2
2026-01-13,2133960.5,881600.0,3015560.5,2
2026-01-14,2233532.0,796300.0,3029832.0,2
2026-01-15,2480481.5,557000.0,3037481.5,1
2026-01-16,2024239.0,1016000.0,3040239.0,2
2026-01-19,2468239.0,551000.0,3019239.0,1
2026-01-20,2468239.0,542000.0,3010239.0,1
2026-01-21,3002109.0,0.0,3002109.0,0
2026-01-22,2117232.0,885000.0,3002232.0,1
2026-01-23,1799089.5,1211500.0,3010589.5,1
2026-01-26,2941589.5,0.0,2941589.5,0
2026-01-27,1086169.5,1832800.0,2918969.5,1
2026-01-28,2891477.5,0.0,2891477.5,0
2026-01-29,2891477.5,0.0,2891477.5,0
2026-01-30,2891477.5,0.0,2891477.5,0
2026-02-02,1754757.5,1127400.0,2882157.5,4
2026-02-03,2176757.5,719200.0,2895957.5,3
2026-02-04,2266991.0,637950.0,2904941.0,3
2026-02-05,469386.0,2408100.0,2877486.0,2
2026-02-06,469386.0,2449100.0,2918486.0,2
2026-02-09,2812986.0,168500.0,2981486.0,1
2026-02-10,2812986.0,168500.0,2981486.0,1
2026-02-11,2812986.0,168500.0,2981486.0,1
2026-02-12,2315433.0,670200.0,2985633.0,2
2026-02-13,2315433.0,653500.0,2968933.0,2
2026-02-16,2485445.5,506100.0,2991545.5,1
2026-02-17,2999137.0,0.0,2999137.0,0
2026-02-18,2999137.0,0.0,2999137.0,0
2026-02-19,2999137.0,0.0,2999137.0,0
2026-02-20,2999137.0,0.0,2999137.0,0
2026-02-23,2999137.0,0.0,2999137.0,0
2026-02-24,2999137.0,0.0,2999137.0,0
2026-02-25,2999137.0,0.0,2999137.0,0
2026-02-26,2999137.0,0.0,2999137.0,0
2026-02-27,232653.0,2813200.0,3045853.0,2
2026-03-02,232653.0,2730200.0,2962853.0,2
2026-03-03,2921900.0,0.0,2921900.0,0
2026-03-04,2921900.0,0.0,2921900.0,0
2026-03-05,266900.0,2643000.0,2909900.0,2
2026-03-06,2902900.0,0.0,2902900.0,0
2026-03-09,2902900.0,0.0,2902900.0,0
2026-03-10,2980700.0,0.0,2980700.0,0
