ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
3289.T,225/不動産,不動産業,2026-01-05,2026-01-06,200,1450.435,1468.0,3513.000000000011,1.211016005543164,sell_signal
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-06,2026-01-09,400,1080.975,1070.0,-4389.999999999964,-1.0152871250491358,sell_signal
8344.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-06,100,1963.01,2005.32,4230.9999999999945,2.1553634469513527,early_take_profit_top
8600.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-06,100,795.7599999999999,816.0,2024.0000000000123,2.5434804463657645,early_take_profit_top
5697.T,鉄鋼/鉄鋼,鉄鋼,2026-01-05,2026-01-16,600,754.0,808.86,32916.00000000001,7.275862068965511,early_take_profit_top
5105.T,ゴム/タイヤ・ゴム,ゴム製品,2026-01-16,2026-01-19,100,4562.424999999999,4421.625,-14079.999999999927,-3.0860781273116644,early_stop_top
7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,2026-01-05,2026-01-09,600,825.0,851.7,16020.000000000027,3.236363636363637,early_take_profit_top
6343.T,機械/住宅建設,機械,2026-01-05,2026-01-15,800,167.475,171.36,3108.0000000000155,2.319749216300959,early_take_profit_top
5105.T,ゴム/タイヤ・ゴム,ゴム製品,2026-01-22,2026-01-23,200,4424.384999999999,4446.0,4323.000000000138,0.48854247539489304,sell_signal
7184.T,銀行/地方銀行,銀行業,2026-01-23,2026-01-26,500,2414.685,2285.0,-64842.49999999997,-5.370679819520974,stop_loss
3388.T,卸売/電子部品・産業用電子機器,卸売業,2026-01-05,2026-01-27,100,2403.52,2365.0,-3851.999999999998,-1.6026494474770336,sell_signal
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-14,2026-01-27,500,1099.245,1059.0,-20122.499999999945,-3.661149243344286,sell_signal
9405.T,大幅増額/情報通信,情報・通信業,2026-01-06,2026-01-28,500,860.7199999999999,813.0,-23859.999999999956,-5.544195557207909,stop_loss
9531.T,225/電気ガス,電気・ガス業,2026-01-09,2026-01-22,100,6325.48,6691.2,36572.00000000003,5.781695618356242,early_take_profit_top
9405.T,大幅増額/情報通信,情報・通信業,2026-02-02,2026-02-03,500,842.4499999999999,844.0,775.0000000000341,0.1839871802481019,sell_signal
7184.T,銀行/地方銀行,銀行業,2026-01-27,2026-01-28,800,2319.275,2233.725,-68440.00000000015,-3.688652703969997,early_stop_top
1938.T,建設/設備工事,建設業,2026-02-02,2026-02-04,100,2328.0,2391.9,6390.000000000009,2.7448453608247547,early_take_profit_top
7231.T,輸送用機器/自動車部品,輸送用機器,2026-02-02,2026-02-06,100,3176.95,3274.2000000000003,9725.000000000045,3.0611120729001184,early_take_profit_top
3352.T,小売/他消費財小売り,小売業,2026-02-02,2026-02-16,100,1650.0,1708.5,5850.0,3.5454545454545405,early_take_profit_top
7241.T,輸送用機器/自動車部品,輸送用機器,2026-02-05,2026-02-09,2100,1084.0,1116.0,67200.0,2.9520295202952074,early_take_profit_top
3289.T,225/不動産,不動産業,2026-02-04,2026-02-05,100,1477.84,1512.15,3431.0000000000173,2.3216315704000623,early_take_profit_top
1768.T,建設/建設・土木,建設業,2026-02-12,2026-02-17,300,1658.5099999999998,1720.74,18669.000000000073,3.7521630861436117,early_take_profit_top
1879.T,建設/建設・土木,建設業,2026-02-27,2026-03-03,700,2175.145,2082.6,-64781.50000000005,-4.254658884809981,early_stop_top
4619.T,化学/タイヤ・ゴム,化学,2026-02-27,2026-03-03,500,2487.765,2408.25,-39757.499999999935,-3.196242410356276,early_stop_top
7456.T,卸売/非鉄金属・金属製品,卸売業,2026-03-05,2026-03-06,100,8110.0,7751.25,-35875.0,-4.423551171393337,early_stop_top
8393.T,銀行/地方銀行,銀行業,2026-03-05,2026-03-06,200,9220.0,9270.0,10000.0,0.5422993492407713,sell_signal
8393.T,銀行/地方銀行,銀行業,2026-03-10,2026-03-10,100,8880.0,9170.0,29000.0,3.26576576576576,end_of_backtest
5714.T,225/非鉄金属,非鉄金属,2026-03-10,2026-03-10,200,9811.0,10055.0,48800.0,2.4870043828356003,end_of_backtest
