ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
3352.T,小売/他消費財小売り,小売業,2026-01-05,2026-01-08,200,1619.0,1610.0,-1800.0,-0.5558987029030238,sell_signal
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-05,2026-01-08,400,1065.0,1042.0,-9200.0,-2.1596244131455444,sell_signal
9791.T,大幅強気/増額,サービス業,2026-01-05,2026-01-19,100,1413.0,1397.0,-1600.0,-1.132342533616415,sell_signal
3352.T,小売/他消費財小売り,小売業,2026-01-09,2026-01-22,100,1624.0,1640.0,1600.0,0.9852216748768461,sell_signal
7184.T,銀行/地方銀行,銀行業,2026-01-22,2026-01-23,100,2379.0,2423.0,4400.0,1.8495166036149646,sell_signal
8154.T,卸売/電子部品・産業用電子機器,卸売業,2026-01-05,2026-01-26,100,3915.0,3870.0,-4500.0,-1.1494252873563204,sell_signal
9034.T,前号並み/陸運,陸運業,2026-01-23,2026-01-26,100,1608.0,1582.0,-2600.0,-1.6169154228855676,sell_signal
9405.T,大幅増額/情報通信,情報・通信業,2026-01-05,2026-01-27,400,848.0,826.0,-8800.0,-2.594339622641506,sell_signal
7231.T,輸送用機器/自動車部品,輸送用機器,2026-01-05,2026-01-28,100,3155.0,3085.0,-7000.0,-2.2187004754358197,sell_signal
3352.T,小売/他消費財小売り,小売業,2026-01-23,2026-01-28,100,1639.0,1586.0,-5300.0,-3.2336790726052445,sell_signal
9405.T,大幅増額/情報通信,情報・通信業,2026-01-28,2026-01-29,1100,813.0,816.0,3300.0,0.36900369003689537,sell_signal
9405.T,大幅増額/情報通信,情報・通信業,2026-01-30,2026-02-02,500,830.0,839.0,4500.0,1.0843373493975905,sell_signal
8515.T,その他金融/リース・消費者金融,その他金融業,2026-01-05,2026-02-03,200,548.0,543.0,-1000.0,-0.9124087591240837,sell_signal
7184.T,銀行/地方銀行,銀行業,2026-01-26,2026-02-04,200,2285.0,2417.0,26400.0,5.776805251641148,sell_signal
9791.T,大幅強気/増額,サービス業,2026-02-02,2026-02-05,300,1400.0,1398.0,-600.0,-0.14285714285714457,sell_signal
6357.T,機械/外食・娯楽サービス,機械,2026-02-06,2026-02-09,100,2545.0,2490.0,-5500.0,-2.16110019646365,sell_signal
8346.T,銀行/地方銀行,銀行業,2026-01-05,2026-02-12,100,548.0,763.0,21500.0,39.23357664233578,sell_signal
7971.T,増額/化学,化学,2026-02-20,2026-02-24,100,770.0,770.0,0.0,0.0,sell_signal
1768.T,建設/建設・土木,建設業,2026-02-10,2026-03-03,200,1634.0,1567.0,-13400.0,-4.100367197062427,sell_signal
9791.T,大幅強気/増額,サービス業,2026-02-20,2026-03-03,100,1447.0,1406.0,-4100.0,-2.833448514167247,sell_signal
