date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason
2026-01-06,8515.T,その他金融/リース・消費者金融,その他金融業,BUY,556.2199999999999,200,2888756.0,0.5530985781094292,2026-01-05,buy_breakout_up
2026-01-06,7184.T,銀行/地方銀行,銀行業,BUY,1853.3899999999999,100,2703417.0,0.5218833477089202,2026-01-05,buy_breakout_up
2026-01-06,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3202.325,100,2383184.5,0.48815455351538867,2026-01-05,buy_breakout_up
2026-01-06,5697.T,鉄鋼/鉄鋼,鉄鋼,BUY,759.0,700,1851884.5,0.4709072638091291,2026-01-05,buy_breakout_up
2026-01-06,9405.T,大幅増額/情報通信,情報・通信業,BUY,860.7199999999999,700,1249380.5,0.46063067891706116,2026-01-05,buy_breakout_up
2026-01-06,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1080.975,500,708893.0,0.4579380613272659,2026-01-05,buy_breakout_up
2026-01-09,8515.T,その他金融/リース・消費者金融,その他金融業,SELL,562.0,200,821293.0,0.47881570995531986,2026-01-08,sell_signal
2026-01-09,7184.T,銀行/地方銀行,銀行業,SELL,1941.0,100,1015393.0,0.4927295317876351,2026-01-08,sell_signal
2026-01-09,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3270.0,100,1342393.0,0.4053957638622771,2026-01-08,sell_signal
2026-01-09,5697.T,鉄鋼/鉄鋼,鉄鋼,SELL,742.0,700,1861793.0,0.43252909270889595,2026-01-08,sell_signal
2026-01-09,9405.T,大幅増額/情報通信,情報・通信業,SELL,856.0,700,2460993.0,0.3761898003164233,2026-01-08,sell_signal
2026-01-09,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1070.0,500,2995993.0,0.34536378112617605,2026-01-08,sell_signal
2026-01-13,3289.T,225/不動産,不動産業,BUY,1490.0,100,2846993.0,0.51116416480816,2026-01-09,buy_breakout_up
2026-01-13,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,865.795,300,2587254.5,0.5015586922711228,2026-01-09,buy_breakout_up
2026-01-13,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3319.0499999999997,100,2255349.5,0.48574183505110924,2026-01-09,buy_breakout_up
2026-01-13,9405.T,大幅増額/情報通信,情報・通信業,BUY,871.0,500,1819849.5,0.4637763803547621,2026-01-09,buy_breakout_up
2026-01-13,1879.T,建設/建設・土木,建設業,BUY,2099.0,400,980249.5,0.42609760121816664,2026-01-09,buy_breakout_up
2026-01-13,8154.T,卸売/電子部品・産業用電子機器,卸売業,BUY,3990.0,200,182249.5,0.4251604558335669,2026-01-09,buy_breakout_up
