date,cash,market_value,equity,positions
2026-01-05,2758362.5,240500.0,2998862.5,3
2026-01-06,1575380.0,1419100.0,2994480.0,6
2026-01-07,1575380.0,1422700.0,2998080.0,6
2026-01-08,1575380.0,1412800.0,2988180.0,6
2026-01-09,105736.00000000023,2869400.0,2975136.0,6
2026-01-13,105736.00000000023,2926000.0,3031736.0,6
2026-01-14,105736.00000000023,2964400.0,3070136.0,6
2026-01-15,105736.00000000023,2972100.0,3077836.0,6
2026-01-16,189236.00000000023,2907100.0,3096336.0,5
2026-01-19,189236.00000000023,2908100.0,3097336.0,5
2026-01-20,189236.00000000023,2887900.0,3077136.0,5
2026-01-21,189236.00000000023,2881000.0,3070236.0,5
2026-01-22,278436.00000000023,2851300.0,3129736.0,4
2026-01-23,127467.50000000023,3014900.0,3142367.5,4
2026-01-26,355967.50000000023,2750500.0,3106467.5,3
2026-01-27,124040.00000000026,2932300.0,3056340.0000000005,4
2026-01-28,530540.0000000002,2527200.0,3057740.0,3
2026-01-29,842540.0000000002,2241600.0,3084140.0,2
2026-01-30,2896340.0,222300.0,3118640.0,1
2026-02-02,1117062.5,1983800.0,3100862.5,6
2026-02-03,833462.5,2323400.0,3156862.5,6
2026-02-04,584483.0,2640050.0,3224533.0,8
2026-02-05,71683.0,3129800.0,3201483.0,8
2026-02-06,324283.0,2928050.0,3252333.0,7
2026-02-09,433583.0,2848200.0,3281783.0,6
2026-02-10,676423.0000000001,2656550.0,3332973.0,5
2026-02-12,13019.000000000233,3331800.0,3344819.0,6
2026-02-13,404219.00000000023,2897100.0,3301319.0,5
2026-02-16,1229219.0000000002,1965300.0,3194519.0,4
2026-02-17,1627219.0000000002,1648850.0,3276069.0,3
2026-02-18,381219.00000000023,2869100.0,3250319.0,4
2026-02-19,381219.00000000023,2883800.0,3265019.0,4
2026-02-20,1598219.0000000002,1603400.0,3201619.0,3
2026-02-24,1598219.0000000002,1604200.0,3202419.0,3
2026-02-25,1598219.0000000002,1616150.0,3214369.0,3
2026-02-26,1098692.0000000002,2118350.0,3217042.0,5
2026-02-27,85890.00000000023,3212950.0,3298840.0,6
2026-03-02,85890.00000000023,3117800.0,3203690.0,6
2026-03-03,1887890.0000000002,1222400.0,3110290.0,3
2026-03-04,3044390.0,0.0,3044390.0,0
2026-03-05,389390.0,2643000.0,3032390.0,2
2026-03-06,3033390.0,0.0,3033390.0,0
2026-03-09,3033390.0,0.0,3033390.0,0
2026-03-10,183190.0,2928000.0,3111190.0,2
