date,cash,market_value,equity,positions
2026-01-05,2758362.5,240500.0,2998862.5,3
2026-01-06,1575380.0,1419100.0,2994480.0,6
2026-01-07,2420280.0,581200.0,3001480.0,3
2026-01-08,2420280.0,575300.0,2995580.0,3
2026-01-09,402788.0,2569400.0,2972188.0,2
2026-01-13,402788.0,2632900.0,3035688.0,2
2026-01-14,1997467.5,1075300.0,3072767.5,2
2026-01-15,392752.5,2702900.0,3095652.5,4
2026-01-16,366533.50000000047,2721000.0,3087533.5000000005,1
2026-01-19,391127.50000000093,2685000.0,3076127.500000001,1
2026-01-20,391127.50000000093,2678100.0,3069227.500000001,1
2026-01-21,3096008.500000001,0.0,3096008.500000001,0
2026-01-22,441377.5000000014,2655000.0,3096377.5000000014,1
2026-01-23,225305.5000000014,2907600.0,3132905.5000000014,1
2026-01-26,2967305.5000000014,0.0,2967305.5000000014,0
2026-01-27,184175.50000000186,2749200.0,2933375.500000002,1
2026-01-28,2878391.500000002,0.0,2878391.500000002,0
2026-01-29,2878391.500000002,0.0,2878391.500000002,0
2026-01-30,2878391.500000002,0.0,2878391.500000002,0
2026-02-02,1099114.0000000019,1763200.0,2862314.000000002,5
2026-02-03,1150314.0000000019,1756900.0,2907214.000000002,4
2026-02-04,1225433.5000000019,1728950.0,2954383.500000002,4
2026-02-05,53183.50000000186,2883600.0,2936783.500000002,1
2026-02-06,53183.50000000186,2934900.0,2988083.500000002,1
2026-02-09,3066383.500000002,0.0,3066383.500000002,0
2026-02-10,191903.50000000233,2910000.0,3101903.5000000023,1
2026-02-12,145685.5000000028,3011400.0,3157085.500000003,1
2026-02-13,145685.5000000028,2916000.0,3061685.500000003,1
2026-02-16,145685.5000000028,3036600.0,3182285.500000003,1
2026-02-17,1539830.0000000028,1646700.0,3186530.000000003,2
2026-02-18,1012830.0000000028,2199700.0,3212530.000000003,2
2026-02-19,614496.0000000028,2630400.0,3244896.000000003,4
2026-02-20,2700165.000000003,515600.0,3215765.000000003,1
2026-02-24,2700165.000000003,515800.0,3215965.000000003,1
2026-02-25,2700165.000000003,513200.0,3213365.000000003,1
2026-02-26,1701111.0000000028,1516600.0,3217711.000000003,3
2026-02-27,149617.5000000028,3139100.0,3288717.500000003,3
2026-03-02,149617.5000000028,3046800.0,3196417.500000003,3
2026-03-03,2615885.500000003,525000.0,3140885.500000003,1
2026-03-04,3120885.500000003,0.0,3120885.500000003,0
2026-03-05,465885.5000000028,2643000.0,3108885.500000003,2
2026-03-06,3098985.500000003,0.0,3098985.500000003,0
2026-03-09,3098985.500000003,0.0,3098985.500000003,0
2026-03-10,248785.5000000028,2928000.0,3176785.500000003,2
