date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,macro_confirm_score,macro_corr_score,signal_basis_date,reason
2026-01-05,6343.T,機械/住宅建設,機械,BUY,167.475,500,2916262.5,0.5008117367223045,0.0,0.0,2025-12-30,buy_breakout_up
2026-01-05,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,825.0,100,2833762.5,0.4292508515324612,0.0,0.0,2025-12-30,buy_breakout_up
2026-01-05,5697.T,鉄鋼/鉄鋼,鉄鋼,BUY,754.0,100,2758362.5,0.4236233749443153,0.0,0.0,2025-12-30,buy_breakout_up
2026-01-06,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3202.325,100,2438130.0,0.43972316331024847,0.0,0.0,2026-01-05,buy_breakout_up
2026-01-06,9405.T,大幅増額/情報通信,情報・通信業,BUY,860.7199999999999,500,2007770.0,0.4166600859644206,0.0,0.0,2026-01-05,buy_breakout_up
2026-01-06,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1080.975,400,1575380.0,0.4118235266703493,0.0,0.0,2026-01-05,buy_breakout_up
2026-01-07,6343.T,機械/住宅建設,機械,SELL,162.68,500,1656720.0,0.4984465947606321,,,2026-01-06,early_stop_top
2026-01-07,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3237.05,100,1980425.0,0.4467632131421429,,,2026-01-06,early_take_profit_top
2026-01-07,9405.T,大幅増額/情報通信,情報・通信業,SELL,879.71,500,2420280.0,0.4450055595245899,,,2026-01-06,early_take_profit_top
2026-01-09,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,847.0,100,2504980.0,0.454249928918464,,,2026-01-08,early_take_profit_top
2026-01-09,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1070.0,400,2932980.0,0.38763988603524807,,,2026-01-08,sell_signal
2026-01-09,9531.T,225/電気ガス,電気・ガス業,BUY,6325.48,400,402788.0,0.44394770769961206,0.0,0.0,2026-01-08,buy_breakout_up
2026-01-14,9531.T,225/電気ガス,電気・ガス業,SELL,6460.0,400,2986788.0,0.4397697845455073,,,2026-01-13,early_take_profit_top
2026-01-14,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1099.245,900,1997467.5,0.41262577529416605,0.0,0.0,2026-01-13,buy_breakout_up
2026-01-15,8393.T,銀行/地方銀行,銀行業,BUY,7267.4,100,1270727.5,0.7602304761022816,0.0,0.0,2026-01-14,buy_breakout_up
2026-01-15,3020.T,増額/小売,小売業,BUY,4389.875,200,392752.5,0.422956798380914,0.0,0.0,2026-01-14,buy_breakout_up
2026-01-16,5697.T,鉄鋼/鉄鋼,鉄鋼,SELL,802.0,100,472952.5,0.5172545854709957,,,2026-01-15,early_take_profit_top
2026-01-16,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1125.14,900,1485578.5,0.4481250917219,,,2026-01-15,early_take_profit_top
2026-01-16,8393.T,銀行/地方銀行,銀行業,SELL,7484.1,100,2233988.5,0.7873076950428843,,,2026-01-15,early_take_profit_top
2026-01-16,3020.T,増額/小売,小売業,SELL,4350.0,200,3103988.5,0.4366624143122053,,,2026-01-15,sell_signal
2026-01-16,5105.T,ゴム/タイヤ・ゴム,ゴム製品,BUY,4562.424999999999,600,366533.50000000047,0.4780050939661949,0.0,0.0,2026-01-15,buy_breakout_up
2026-01-19,5105.T,ゴム/タイヤ・ゴム,ゴム製品,SELL,4440.0,600,3030533.5000000005,0.503345713349494,,,2026-01-16,early_stop_top
2026-01-19,5714.T,225/非鉄金属,非鉄金属,BUY,8798.019999999999,300,391127.50000000093,0.6929296189498545,0.0,0.0,2026-01-16,buy_breakout_up
2026-01-21,5714.T,225/非鉄金属,非鉄金属,SELL,9016.27,300,3096008.500000001,0.6987373840761223,,,2026-01-20,early_take_profit_top
