ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
6343.T,機械/住宅建設,機械,2026-01-05,2026-01-07,500,167.475,162.68,-2397.4999999999936,-2.8631138975966475,early_stop_top
7231.T,輸送用機器/自動車部品,輸送用機器,2026-01-06,2026-01-07,100,3202.325,3237.05,3472.5000000000364,1.0843683885926714,early_take_profit_top
9405.T,大幅増額/情報通信,情報・通信業,2026-01-06,2026-01-07,500,860.7199999999999,879.71,9495.000000000062,2.2062924063574796,early_take_profit_top
7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,2026-01-05,2026-01-09,100,825.0,847.0,2200.0,2.6666666666666616,early_take_profit_top
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-06,2026-01-09,400,1080.975,1070.0,-4389.999999999964,-1.0152871250491358,sell_signal
9531.T,225/電気ガス,電気・ガス業,2026-01-09,2026-01-14,400,6325.48,6460.0,53808.000000000175,2.126637029917111,early_take_profit_top
5697.T,鉄鋼/鉄鋼,鉄鋼,2026-01-05,2026-01-16,100,754.0,802.0,4800.0,6.366047745358094,early_take_profit_top
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-14,2026-01-16,900,1099.245,1125.14,23305.50000000019,2.3557077812498717,early_take_profit_top
8393.T,銀行/地方銀行,銀行業,2026-01-15,2026-01-16,100,7267.4,7484.1,21670.000000000073,2.981809175220862,early_take_profit_top
3020.T,増額/小売,小売業,2026-01-15,2026-01-16,200,4389.875,4350.0,-7975.0,-0.9083402146985997,sell_signal
5105.T,ゴム/タイヤ・ゴム,ゴム製品,2026-01-16,2026-01-19,600,4562.424999999999,4440.0,-73454.99999999956,-2.683331780796383,early_stop_top
5714.T,225/非鉄金属,非鉄金属,2026-01-19,2026-01-21,300,8798.019999999999,9016.27,65475.000000000546,2.4806717875158535,early_take_profit_top
5105.T,ゴム/タイヤ・ゴム,ゴム製品,2026-01-22,2026-01-23,600,4424.384999999999,4469.25,26919.000000000415,1.014039239351927,early_take_profit_top
7184.T,銀行/地方銀行,銀行業,2026-01-23,2026-01-26,1200,2414.685,2285.0,-155621.99999999994,-5.370679819520974,stop_loss
7184.T,銀行/地方銀行,銀行業,2026-01-27,2026-01-28,1200,2319.2749999999996,2245.18,-88913.99999999977,-3.1947483588621317,early_stop_top
3352.T,小売/他消費財小売り,小売業,2026-02-02,2026-02-03,200,1650.0,1674.0,4800.0,1.454545454545464,early_take_profit_top
9405.T,大幅増額/情報通信,情報・通信業,2026-02-02,2026-02-03,600,842.4499999999999,844.0,930.0000000000409,0.1839871802481019,sell_signal
5901.T,金属製品/飲料,金属製品,2026-02-02,2026-02-04,100,3933.1249999999995,4008.69,7556.500000000051,1.92124582869857,early_take_profit_top
