ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-06,2026-01-09,400,1080.975,1070.0,-4389.999999999964,-1.0152871250491358,sell_signal
5697.T,鉄鋼/鉄鋼,鉄鋼,2026-01-05,2026-01-16,100,754.0,835.0,8100.0,10.742705570291777,take_profit
7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,2026-01-05,2026-01-22,100,825.0,892.0,6700.0,8.121212121212128,take_profit
6343.T,機械/住宅建設,機械,2026-01-05,2026-01-23,500,167.475,181.0,6762.500000000003,8.075832213763245,take_profit
7184.T,銀行/地方銀行,銀行業,2026-01-23,2026-01-26,100,2414.685,2285.0,-12968.499999999995,-5.370679819520974,stop_loss
7231.T,輸送用機器/自動車部品,輸送用機器,2026-01-06,2026-01-27,100,3202.325,3136.0,-6632.499999999982,-2.0711514290398303,early_stop_top
9405.T,大幅増額/情報通信,情報・通信業,2026-01-06,2026-01-28,500,860.7199999999999,813.0,-23859.999999999956,-5.544195557207909,stop_loss
9531.T,225/電気ガス,電気・ガス業,2026-01-09,2026-01-30,300,6325.48,6846.0,156156.00000000012,8.228940728608736,take_profit
9405.T,大幅増額/情報通信,情報・通信業,2026-02-02,2026-02-03,700,842.4499999999999,844.0,1085.0000000000477,0.1839871802481019,sell_signal
7184.T,銀行/地方銀行,銀行業,2026-01-27,2026-02-05,200,2319.2749999999996,2460.0,28145.000000000073,6.067628892649668,sell_signal
1938.T,建設/設備工事,建設業,2026-02-02,2026-02-06,100,2328.0,2526.0,19800.0,8.505154639175249,take_profit
7722.T,精密機器/自動車部品,精密機器,2026-02-04,2026-02-09,100,1011.9549999999999,1093.0,8104.500000000007,8.008755330029516,take_profit
8387.T,銀行/地方銀行,銀行業,2026-02-04,2026-02-09,100,2146.725,2383.0,23627.500000000007,11.006300294634851,take_profit
7231.T,輸送用機器/自動車部品,輸送用機器,2026-02-02,2026-02-10,100,3176.95,3440.0,26305.00000000002,8.279954043972992,take_profit
7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,2026-02-03,2026-02-10,200,3950.0,4285.0,67000.0,8.481012658227849,take_profit
1718.T,建設/建設・土木,建設業,2026-02-10,2026-02-16,100,9581.599999999999,8250.0,-133159.99999999985,-13.89747015112297,stop_loss
3352.T,小売/他消費財小売り,小売業,2026-02-02,2026-02-17,200,1650.0,1990.0,68000.0,20.606060606060606,take_profit
3289.T,225/不動産,不動産業,2026-02-04,2026-02-18,100,1477.84,1533.5,5566.000000000008,3.7663075840415727,early_take_profit_top
7887.T,その他製品/住宅設備・機器,その他製品,2026-02-18,2026-02-20,100,12460.0,12170.0,-29000.0,-2.32744783306581,sell_signal
7241.T,輸送用機器/自動車部品,輸送用機器,2026-02-05,2026-02-27,900,1084.0,1173.0,80100.0,8.210332103321027,take_profit
1768.T,建設/建設・土木,建設業,2026-02-12,2026-03-03,500,1658.5099999999998,1598.3799999999999,-30064.99999999994,-3.6255434094458194,early_stop_top
1879.T,建設/建設・土木,建設業,2026-02-27,2026-03-03,500,2175.145,2054.0,-60572.49999999999,-5.569513756554157,stop_loss
8387.T,銀行/地方銀行,銀行業,2026-02-26,2026-03-04,100,2338.0,2161.0,-17700.0,-7.57057313943541,stop_loss
8344.T,銀行/地方銀行,銀行業,2026-02-26,2026-03-04,100,2657.2699999999995,2387.0,-27026.999999999953,-10.1709649376992,stop_loss
4619.T,化学/タイヤ・ゴム,化学,2026-02-27,2026-03-04,300,2487.765,2339.0,-44629.49999999996,-5.979865461568911,stop_loss
7456.T,卸売/非鉄金属・金属製品,卸売業,2026-03-05,2026-03-06,100,8110.0,7900.0,-21000.0,-2.5893958076448786,sell_signal
8393.T,銀行/地方銀行,銀行業,2026-03-05,2026-03-06,200,9220.0,9270.0,10000.0,0.5422993492407713,sell_signal
8393.T,銀行/地方銀行,銀行業,2026-03-10,2026-03-10,100,8880.0,9170.0,29000.0,3.26576576576576,end_of_backtest
5714.T,225/非鉄金属,非鉄金属,2026-03-10,2026-03-10,200,9811.0,10055.0,48800.0,2.4870043828356003,end_of_backtest
