date,cash,market_value,equity,positions
2026-01-05,16833.0,2982000.0,2998833.0,4
2026-01-06,2668833.0,368400.0,3037233.0,3
2026-01-07,1371933.0,1675700.0,3047633.0,4
2026-01-08,1371933.0,1687350.0,3059283.0,4
2026-01-09,1371933.0,1691400.0,3063333.0,4
2026-01-13,85725.0,3011900.0,3097625.0,5
2026-01-14,85725.0,3022450.0,3108175.0,5
2026-01-15,85725.0,3035400.0,3121125.0,5
2026-01-16,228125.0,2887600.0,3115725.0,4
2026-01-19,228125.0,2884000.0,3112125.0,4
2026-01-20,228125.0,2884500.0,3112625.0,4
2026-01-21,228125.0,2861200.0,3089325.0,4
2026-01-22,228125.0,2875450.0,3103575.0,4
2026-01-23,1539325.0,1549900.0,3089225.0,3
2026-01-26,91252.0,2976600.0,3067852.0,5
2026-01-27,47407.0,3026400.0,3073807.0,5
2026-01-28,47407.0,2969450.0,3016857.0,5
2026-01-29,2106957.0,911800.0,3018757.0,3
2026-01-30,2106957.0,902600.0,3009557.0,3
2026-02-02,2106957.0,892100.0,2999057.0,3
2026-02-03,2106957.0,929400.0,3036357.0,3
2026-02-04,2215557.0,850000.0,3065557.0,2
2026-02-05,2953557.0,127900.0,3081457.0,1
2026-02-06,2953557.0,128000.0,3081557.0,1
2026-02-09,182052.0,2866800.0,3048852.0,2
2026-02-10,2927652.0,129300.0,3056952.0,1
2026-02-12,3061652.0,0.0,3061652.0,0
2026-02-13,121652.0,2889600.0,3011252.0,1
2026-02-16,99914.0,2981800.0,3081714.0,2
2026-02-17,99914.0,2900000.0,2999914.0,2
2026-02-18,99914.0,2969600.0,3069514.0,2
2026-02-19,99914.0,3024700.0,3124614.0,2
2026-02-20,99914.0,3029600.0,3129514.0,2
2026-02-24,1569514.0,1540000.0,3109514.0,1
2026-02-25,3115514.0,0.0,3115514.0,0
2026-02-26,135614.0,2978500.0,3114114.0,1
2026-02-27,135614.0,3052000.0,3187614.0,1
2026-03-02,135614.0,3080000.0,3215614.0,1
2026-03-03,135614.0,2929500.0,3065114.0,1
2026-03-04,2942614.0,0.0,2942614.0,0
2026-03-05,2942614.0,0.0,2942614.0,0
2026-03-06,47415.0,2905000.0,2952415.0,7
2026-03-09,127215.0,2706200.0,2833415.0,6
2026-03-10,2438815.0,451200.0,2890015.0,1
