ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
1879.T,建設/建設・土木,建設業,2026-01-05,2026-01-06,1300,2014.65,2040.0,32954.99999999988,1.2582830764648945,sell_signal
6343.T,機械/住宅建設,機械,2026-01-05,2026-01-16,800,163.35,178.0,11720.000000000004,8.968472604836242,take_profit
3352.T,小売/他消費財小売り,小売業,2026-01-13,2026-01-23,800,1607.76,1639.0,24992.000000000007,1.9430760810071224,sell_signal
9034.T,前号並み/陸運,陸運業,2026-01-26,2026-01-27,400,1591.92,1587.0,-1968.000000000029,-0.309060756821955,sell_signal
3289.T,225/不動産,不動産業,2026-01-07,2026-01-29,900,1441.0,1409.5,-28350.0,-2.1859819569743255,sell_signal
3352.T,小売/他消費財小売り,小売業,2026-01-26,2026-01-29,500,1622.61,1582.0,-20304.99999999995,-2.5027579023918167,sell_signal
8515.T,その他金融/リース・消費者金融,その他金融業,2026-01-05,2026-02-04,200,553.41,543.0,-2081.9999999999936,-1.8810646717623447,sell_signal
7184.T,銀行/地方銀行,銀行業,2026-01-27,2026-02-05,300,2262.15,2460.0,59354.99999999997,8.746104369736752,take_profit
6357.T,機械/外食・娯楽サービス,機械,2026-02-09,2026-02-10,1100,2519.55,2496.0,-25905.0000000002,-0.9346907185807107,sell_signal
4977.T,化学/食品,化学,2026-01-05,2026-02-12,100,1227.6,1340.0,11240.00000000001,9.156076898012389,take_profit
4043.T,225/化学,化学,2026-02-13,2026-02-16,700,4200.0,4164.0,-25200.0,-0.8571428571428563,sell_signal
8344.T,銀行/地方銀行,銀行業,2026-02-16,2026-02-24,500,2628.45,2683.0,27275.00000000009,2.0753676120907727,sell_signal
8387.T,銀行/地方銀行,銀行業,2026-02-16,2026-02-24,700,2317.59,2361.0,30386.999999999898,1.8730664181326295,sell_signal
7971.T,増額/化学,化学,2026-02-24,2026-02-25,2000,762.3,773.0,21400.00000000009,1.40364685819232,sell_signal
8154.T,卸売/電子部品・産業用電子機器,卸売業,2026-02-26,2026-03-04,700,4257.0,4010.0,-172900.0,-5.802208127789521,stop_loss
1814.T,大幅増額/建設,建設業,2026-03-06,2026-03-09,100,4070.0,3810.0,-26000.0,-6.3882063882063855,stop_loss
1946.T,建設/設備工事,建設業,2026-03-06,2026-03-09,100,2148.0,1990.0,-15800.0,-7.355679702048413,stop_loss
7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,2026-03-06,2026-03-09,100,3890.0,3685.0,-20500.0,-5.26992287917738,stop_loss
6743.T,電気機器/設備機器・部品,電気機器,2026-03-06,2026-03-10,500,824.0,817.0,-3500.0,-0.8495145631068013,sell_signal
1808.T,225/建設,建設業,2026-03-06,2026-03-10,100,3168.99,3121.0,-4798.999999999978,-1.514362620267018,sell_signal
7231.T,輸送用機器/自動車部品,輸送用機器,2026-03-06,2026-03-10,100,3345.0,3335.0,-1000.0,-0.2989536621823663,sell_signal
8154.T,卸売/電子部品・産業用電子機器,卸売業,2026-03-06,2026-03-10,200,4105.0,4045.0,-12000.0,-1.461632155907433,sell_signal
9063.T,陸運/陸運,陸運業,2026-03-09,2026-03-10,100,4385.0,4485.0,10000.0,2.2805017103762815,sell_signal
1768.T,建設/建設・土木,建設業,2026-03-09,2026-03-10,300,1434.0,1504.0,21000.0,4.881450488145056,end_of_backtest
