date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason
2026-01-05,7971.T,増額/化学,化学,BUY,741.0,100,2925900.0,0.5388581393175802,2025-12-30,buy_signal_limit
2026-01-05,8600.T,銀行/地方銀行,銀行業,BUY,787.0,100,2847200.0,0.5227983399750034,2025-12-30,buy_signal_limit
2026-01-05,8515.T,その他金融/リース・消費者金融,その他金融業,BUY,556.0,100,2791600.0,0.5110649969784565,2025-12-30,buy_signal_limit
2026-01-05,6343.T,機械/住宅建設,機械,BUY,165.0,800,2659600.0,0.5008117367223045,2025-12-30,buy_signal_limit
2026-01-05,8344.T,銀行/地方銀行,銀行業,BUY,1943.6699999999998,100,2465233.0,0.4728592278442018,2025-12-30,buy_signal_limit
2026-01-05,7184.T,銀行/地方銀行,銀行業,BUY,1807.0,100,2284533.0,0.46921791556680553,2025-12-30,buy_signal_limit
2026-01-05,3289.T,225/不動産,不動産業,BUY,1436.1449999999998,100,2140918.5,0.4681452944934523,2025-12-30,buy_signal_limit
2026-01-05,3388.T,卸売/電子部品・産業用電子機器,卸売業,BUY,2368.0,100,1904118.5,0.4565211822362958,2025-12-30,buy_signal_limit
2026-01-05,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,816.06,500,1496088.5,0.4292508515324612,2025-12-30,buy_signal_limit
2026-01-05,5697.T,鉄鋼/鉄鋼,鉄鋼,BUY,743.6999999999999,600,1049868.5,0.4236233749443153,2025-12-30,buy_signal_limit
2026-01-05,1879.T,建設/建設・土木,建設業,BUY,2045.1749999999997,500,27281.000000000116,0.38802987203448935,2025-12-30,buy_signal_limit
2026-01-06,3289.T,225/不動産,不動産業,SELL,1468.0,100,174081.00000000012,0.4662371613822116,2026-01-05,sell_signal
2026-01-06,1879.T,建設/建設・土木,建設業,SELL,2040.0,500,1194081.0,0.38539312522012376,2026-01-05,sell_signal
2026-01-06,9791.T,大幅強気/増額,サービス業,BUY,1411.0,100,1052981.0,0.48568754658838287,2026-01-05,buy_signal_limit
2026-01-06,3352.T,小売/他消費財小売り,小売業,BUY,1620.0,100,890981.0,0.42759850266657845,2026-01-05,buy_signal_limit
2026-01-06,9405.T,大幅増額/情報通信,情報・通信業,BUY,850.0,300,635981.0,0.4166600859644206,2026-01-05,buy_signal_limit
2026-01-06,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1070.3249999999998,200,421916.0,0.4118235266703493,2026-01-05,buy_signal_limit
2026-01-06,8154.T,卸売/電子部品・産業用電子機器,卸売業,BUY,3934.5749999999994,100,28458.50000000006,0.39736200106090647,2026-01-05,buy_signal_limit
2026-01-09,3352.T,小売/他消費財小売り,小売業,SELL,1624.0,100,190858.50000000006,0.4163909637653241,2026-01-08,sell_signal
2026-01-09,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1070.0,200,404858.50000000006,0.38763988603524807,2026-01-08,sell_signal
2026-01-13,8344.T,銀行/地方銀行,銀行業,SELL,2130.0,100,617858.5,0.552669782721649,2026-01-09,take_profit
2026-01-13,7184.T,銀行/地方銀行,銀行業,SELL,1975.0,100,815358.5,0.5448372144671368,2026-01-09,take_profit
2026-01-13,3352.T,小売/他消費財小売り,小売業,BUY,1630.0,500,358.5,0.42042910752315493,2026-01-09,buy_signal_limit
2026-01-15,8600.T,銀行/地方銀行,銀行業,SELL,852.0,100,85558.5,0.5624522385102487,2026-01-14,take_profit
2026-01-16,5697.T,鉄鋼/鉄鋼,鉄鋼,SELL,835.0,600,586558.5,0.5172545854709957,2026-01-15,take_profit
2026-01-16,5105.T,ゴム/タイヤ・ゴム,ゴム製品,BUY,4495.0,100,137058.5,0.4780050939661949,2026-01-15,buy_signal_limit
2026-01-20,6343.T,機械/住宅建設,機械,SELL,179.0,800,280258.5,0.5955399917233098,2026-01-19,take_profit
2026-01-20,9791.T,大幅強気/増額,サービス業,SELL,1388.0,100,419058.5,0.46016311910329477,2026-01-19,sell_signal
2026-01-21,5105.T,ゴム/タイヤ・ゴム,ゴム製品,SELL,4359.0,100,854958.5,0.4586836214116318,2026-01-20,sell_signal
2026-01-21,1814.T,大幅増額/建設,建設業,BUY,3850.0,200,84958.5,0.752231757211272,2026-01-20,buy_signal_limit
2026-01-22,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,892.0,500,530958.5,0.49741944705569396,2026-01-21,take_profit
2026-01-23,3352.T,小売/他消費財小売り,小売業,SELL,1639.0,500,1350458.5,0.4246380945299412,2026-01-22,sell_signal
2026-01-26,9791.T,大幅強気/増額,サービス業,BUY,1402.0,300,929858.5,0.4584191545012323,2026-01-23,buy_signal_limit
2026-01-26,9034.T,前号並み/陸運,陸運業,BUY,1608.0,200,608258.5,0.45021926318261496,2026-01-23,buy_signal_limit
2026-01-26,3352.T,小売/他消費財小売り,小売業,BUY,1626.0,300,120458.5,0.4293536283856753,2026-01-23,buy_signal_limit
2026-01-27,3388.T,卸売/電子部品・産業用電子機器,卸売業,SELL,2365.0,100,356958.5,0.4497103781496906,2026-01-26,sell_signal
2026-01-27,8154.T,卸売/電子部品・産業用電子機器,卸売業,SELL,3870.0,100,743958.5,0.3865930891789888,2026-01-26,sell_signal
2026-01-27,9791.T,大幅強気/増額,サービス業,SELL,1400.0,300,1163958.5,0.44196958579435774,2026-01-26,sell_signal
2026-01-27,9034.T,前号並み/陸運,陸運業,SELL,1587.0,200,1481358.5,0.42849941095662114,2026-01-26,sell_signal
2026-01-27,7184.T,銀行/地方銀行,銀行業,BUY,2285.0,600,110358.5,0.7283432207958643,2026-01-26,buy_signal_limit
2026-01-28,9405.T,大幅増額/情報通信,情報・通信業,SELL,813.0,300,354258.5,0.37027111988795824,2026-01-27,sell_signal
2026-01-29,3352.T,小売/他消費財小売り,小売業,SELL,1582.0,300,828858.5,0.4018665460270984,2026-01-28,sell_signal
2026-01-29,9405.T,大幅増額/情報通信,情報・通信業,BUY,811.0,1000,17858.5,0.36257491875438974,2026-01-28,buy_signal_limit
2026-01-30,9405.T,大幅増額/情報通信,情報・通信業,SELL,830.0,1000,847858.5,0.3553572349424774,2026-01-29,sell_signal
2026-02-02,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3140.0,100,533858.5,0.39953278231423134,2026-01-30,buy_signal_limit
2026-02-03,1814.T,大幅増額/建設,建設業,SELL,3785.0,200,1290858.5,0.5601867058295631,2026-02-02,sell_signal
2026-02-03,9791.T,大幅強気/増額,サービス業,BUY,1400.0,900,30858.5,0.4333849037033157,2026-02-02,buy_signal_limit
2026-02-04,8515.T,その他金融/リース・消費者金融,その他金融業,SELL,543.0,100,85158.5,0.46585739891848704,2026-02-03,sell_signal
2026-02-05,7971.T,増額/化学,化学,SELL,809.0,100,166058.5,0.5321500642655596,2026-02-04,take_profit
2026-02-05,7184.T,銀行/地方銀行,銀行業,SELL,2460.0,600,1642058.5,0.7837235720815908,2026-02-04,sell_signal
2026-02-05,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1066.3049999999998,1500,42601.00000000023,0.3651726030277763,2026-02-04,buy_signal_limit
2026-02-06,9791.T,大幅強気/増額,サービス業,SELL,1391.0,900,1294501.0000000002,0.4233148802190094,2026-02-05,sell_signal
2026-02-09,6357.T,機械/外食・娯楽サービス,機械,BUY,2557.725,500,15638.500000000233,0.43873308825645585,2026-02-06,buy_signal_limit
2026-02-10,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3440.0,100,359638.50000000023,0.4313113446930446,2026-02-09,take_profit
2026-02-10,6357.T,機械/外食・娯楽サービス,機械,SELL,2496.0,500,1607638.5000000002,0.4167409294670387,2026-02-09,sell_signal
2026-02-10,1718.T,建設/建設・土木,建設業,BUY,9470.0,100,660638.5000000002,0.542462375103981,2026-02-09,buy_signal_limit
2026-02-12,1768.T,建設/建設・土木,建設業,BUY,1632.0,400,7838.500000000233,0.7244132145758443,2026-02-10,buy_signal_limit
2026-02-16,1718.T,建設/建設・土木,建設業,SELL,8250.0,100,832838.5000000002,0.5658982438794022,2026-02-13,stop_loss
2026-02-16,8344.T,銀行/地方銀行,銀行業,BUY,2659.0,100,566938.5000000002,0.7858046070139827,2026-02-13,buy_signal_limit
2026-02-16,8387.T,銀行/地方銀行,銀行業,BUY,2352.705,200,96397.50000000023,0.6879937291199096,2026-02-13,buy_signal_limit
2026-02-19,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1165.0,1500,1843897.5000000002,0.3773238748729147,2026-02-18,take_profit
2026-02-19,6743.T,電気機器/設備機器・部品,電気機器,BUY,902.0,500,1392897.5000000002,0.5090518092720071,2026-02-18,buy_signal_limit
2026-02-19,5901.T,金属製品/飲料,金属製品,BUY,4000.0,100,992897.5000000002,0.48825498114498583,2026-02-18,buy_signal_limit
2026-02-19,9063.T,陸運/陸運,陸運業,BUY,4460.0,200,100897.50000000023,0.4368791144525147,2026-02-18,buy_signal_limit
2026-02-24,8344.T,銀行/地方銀行,銀行業,SELL,2683.0,100,369197.50000000023,0.701034096101539,2026-02-20,sell_signal
2026-02-24,8387.T,銀行/地方銀行,銀行業,SELL,2361.0,200,841397.5000000002,0.7234924877833045,2026-02-20,sell_signal
2026-02-24,7971.T,増額/化学,化学,BUY,769.0,500,456897.50000000023,0.4440921658411411,2026-02-20,buy_signal_limit
2026-02-24,9791.T,大幅強気/増額,サービス業,BUY,1449.0,300,22197.500000000233,0.4383384411066488,2026-02-20,buy_signal_limit
2026-02-25,9063.T,陸運/陸運,陸運業,SELL,4825.0,200,987197.5000000002,0.5024069673573326,2026-02-24,take_profit
2026-02-25,7971.T,増額/化学,化学,SELL,773.0,500,1373697.5000000002,0.44221856583978647,2026-02-24,sell_signal
2026-02-25,9034.T,前号並み/陸運,陸運業,BUY,1722.0,700,168297.50000000023,0.4710185219676791,2026-02-24,buy_signal_limit
2026-03-03,6743.T,電気機器/設備機器・部品,電気機器,SELL,834.0,500,585297.5000000002,0.5266332439652672,2026-03-02,stop_loss
