date,cash,market_value,equity,positions
2026-01-05,12350.0,2965250.0,2977600.0,11
2026-01-06,11150.0,2994900.0,3006050.0,14
2026-01-07,11150.0,3010200.0,3021350.0,14
2026-01-08,11150.0,2999300.0,3010450.0,14
2026-01-09,387550.0,2647800.0,3035350.0,12
2026-01-13,146050.0,2914600.0,3060650.0,11
2026-01-14,37050.0,3063200.0,3100250.0,12
2026-01-15,122250.0,2985200.0,3107450.0,11
2026-01-16,173750.0,2976800.0,3150550.0,11
2026-01-19,173750.0,2952300.0,3126050.0,11
2026-01-20,455750.0,2642500.0,3098250.0,9
2026-01-21,121650.0,2981900.0,3103550.0,9
2026-01-22,125650.0,3034500.0,3160150.0,9
2026-01-23,22850.0,3143600.0,3166450.0,8
2026-01-26,75550.0,2966500.0,3042050.0,10
2026-01-27,31350.0,3005500.0,3036850.0,6
2026-01-28,275250.0,2724100.0,2999350.0,5
2026-01-29,19950.0,2990100.0,3010050.0,5
2026-01-30,766950.0,2230900.0,2997850.0,4
2026-02-02,15412.5,2948900.0,2964312.5,6
2026-02-03,128885.0,2937700.0,3066585.0,6
2026-02-04,183185.0,2959200.0,3142385.0,5
2026-02-05,17021.0,3127400.0,3144421.0,4
2026-02-06,851621.0,2323100.0,3174721.0,3
2026-02-09,245621.0,2913300.0,3158921.0,3
2026-02-10,297021.0,2920900.0,3217921.0,3
2026-02-12,133821.0,3098400.0,3232221.0,4
2026-02-13,133821.0,3118900.0,3252721.0,4
2026-02-16,219121.0,2887000.0,3106121.0,5
2026-02-17,179121.0,2950000.0,3129121.0,5
2026-02-18,179121.0,2968000.0,3147121.0,5
2026-02-19,234321.0,3017200.0,3251521.0,8
2026-02-20,234321.0,2982200.0,3216521.0,8
2026-02-24,78721.0,3144000.0,3222721.0,8
2026-02-25,164021.0,3056500.0,3220521.0,7
2026-02-26,164021.0,3054900.0,3218921.0,7
2026-02-27,164021.0,3085800.0,3249821.0,7
2026-03-02,164021.0,3051600.0,3215621.0,7
2026-03-03,323221.0,2804600.0,3127821.0,7
2026-03-04,2979921.0,0.0,2979921.0,0
2026-03-05,2979921.0,0.0,2979921.0,0
2026-03-06,84021.0,2905000.0,2989021.0,7
2026-03-09,163821.0,2706200.0,2870021.0,6
2026-03-10,2475421.0,451200.0,2926621.0,1
